"Time (s)","X (hPa)"
1.072379937E2,9.798858643E2
1.083046497E2,9.798777771E2
1.093711787E2,9.798685455E2
1.104377687E2,9.798612213E2
1.115043737E2,9.798566437E2
1.125710307E2,9.798497009E2
1.136376497E2,9.798461914E2
1.147042517E2,9.798406982E2
1.157708327E2,9.798387909E2
1.168374747E2,9.798380280E2
1.179041527E2,9.798374176E2
1.189708217E2,9.798362732E2
1.200374357E2,9.798358917E2
1.211039907E2,9.798358917E2
1.221705417E2,9.798374176E2
1.232371267E2,9.798444366E2
1.243036787E2,9.798477936E2
1.253701597E2,9.798531342E2
1.264366717E2,9.798558044E2
1.275032397E2,9.798558044E2
1.285698627E2,9.798525238E2
1.296364697E2,9.798504639E2
1.307030607E2,9.798463440E2
1.317696647E2,9.798438263E2
1.328362387E2,9.798402405E2
1.339028417E2,9.798402405E2
1.349694677E2,9.798410034E2
1.360360217E2,9.798463440E2
1.371025897E2,9.798500061E2
1.381691917E2,9.798549652E2
1.392357987E2,9.798550415E2
1.403023777E2,9.798550415E2
1.413689727E2,9.798545074E2
1.424355887E2,9.798511505E2
1.435021927E2,9.798499298E2
1.445688127E2,9.798482513E2
1.456354737E2,9.798473358E2
1.467020197E2,9.798461914E2
1.477685657E2,9.798445129E2
1.488351047E2,9.798444366E2
1.499016797E2,9.798437500E2
1.509683847E2,9.798434448E2
1.520350377E2,9.798434448E2
1.531015957E2,9.798434448E2
1.541682057E2,9.798429871E2
1.552348077E2,9.798420715E2
1.563013997E2,9.798420715E2
1.573680267E2,9.798406219E2
1.584345777E2,9.798404694E2
1.595011457E2,9.798394012E2
1.605677657E2,9.798381042E2
1.616343817E2,9.798374939E2
1.627009767E2,9.798361206E2
1.637675727E2,9.798356628E2
1.648341297E2,9.798336029E2
1.659006907E2,9.798336029E2
1.669672907E2,9.798331451E2
1.680338837E2,9.798327637E2
1.691005197E2,9.798325348E2
1.701670977E2,9.798305511E2
1.712337317E2,9.798295593E2
1.723003857E2,9.798273468E2
1.733669267E2,9.798258972E2
1.744335177E2,9.798238373E2
1.755001267E2,9.798238373E2
1.765667657E2,9.798235321E2
1.776333917E2,9.798239899E2
1.787000087E2,9.798235321E2
1.797665847E2,9.798230743E2
1.808331527E2,9.798225403E2
1.818997517E2,9.798203278E2
1.829663557E2,9.798197937E2
1.840329807E2,9.798181152E2
1.850995937E2,9.798171997E2
1.861662287E2,9.798168182E2
1.872328247E2,9.798157501E2
1.882994357E2,9.798156738E2
1.893660317E2,9.798145294E2
1.904326517E2,9.798136139E2
1.914992637E2,9.798133850E2
1.925658617E2,9.798127747E2
1.936325047E2,9.798130035E2
1.946990897E2,9.798120117E2
1.957656317E2,9.798110962E2
1.968321877E2,9.798092651E2
1.978988467E2,9.798087311E2
1.989654827E2,9.798042297E2
2.000320827E2,9.798006439E2
2.010986827E2,9.797942352E2
2.021653417E2,9.797883606E2
2.032320177E2,9.797786713E2
2.042986207E2,9.797681427E2
2.053651797E2,9.797609711E2
2.064318117E2,9.797601318E2
2.074984887E2,9.797498322E2
2.085651387E2,9.797475433E2
2.096317957E2,9.797475433E2
2.106983947E2,9.797475433E2
2.117649897E2,9.797460938E2
2.128315337E2,9.797384644E2
2.138981297E2,9.797351837E2
2.149647357E2,9.797282410E2
2.160313217E2,9.797261047E2
2.170978997E2,9.797282410E2
2.181644137E2,9.797344971E2
2.192310117E2,9.797722626E2
2.202976377E2,9.797925568E2
2.213642737E2,9.797997284E2
2.224309077E2,9.797997284E2
2.234975207E2,9.797937012E2
2.245640927E2,9.797519684E2
2.256307377E2,9.797451782E2
2.266973907E2,9.797448730E2
2.277640007E2,9.797448730E2
2.288306377E2,9.797598267E2
2.298972707E2,9.797611237E2
2.309638607E2,9.797697449E2
2.320304097E2,9.797703552E2
2.330969677E2,9.797870636E2
2.341635397E2,9.797889709E2
2.352300647E2,9.798012543E2
2.362967247E2,9.798170471E2
2.373633507E2,9.798223877E2
2.384299097E2,9.798247528E2
