"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.890875006E-3,-4.980592804E0,5.723946991E0,6.934180298E0
1.192287500E-2,-5.024301910E0,5.820645905E0,7.114255829E0
2.195487500E-2,-4.908891907E0,5.811365204E0,7.262447662E0
3.198687501E-2,-4.858446808E0,5.656886444E0,7.460485840E0
4.201887500E-2,-4.799469452E0,5.511239319E0,7.450606384E0
5.205087501E-2,-4.602479095E0,5.570366364E0,7.816595306E0
6.208287500E-2,-4.339176636E0,5.567222900E0,8.152646484E0
7.211487500E-2,-4.409829712E0,5.561235352E0,8.036038971E0
8.214687501E-2,-4.367467804E0,5.638923798E0,7.964038696E0
9.217887500E-2,-4.374952240E0,5.517975311E0,7.841144257E0
1.022108750E-1,-4.404590607E0,5.338947601E0,7.879165192E0
1.122428750E-1,-5.132676544E0,5.197192383E0,8.208181000E0
1.222748750E-1,-5.170547791E0,5.157674561E0,8.187074890E0
1.323068750E-1,-4.422553253E0,4.964276733E0,8.018226013E0
1.423388750E-1,-3.883374481E0,4.774920502E0,8.590485992E0
1.523708750E-1,-3.494932251E0,4.540208588E0,8.850495300E0
1.624028750E-1,-2.736309814E0,4.317322083E0,8.371192017E0
1.724348750E-1,-1.969304810E0,4.451592865E0,8.211773529E0
1.824668750E-1,-2.372266846E0,4.559817810E0,8.731043701E0
1.924988750E-1,-2.368674316E0,4.619543610E0,9.081914063E0
2.025308750E-1,-1.531016235E0,4.224664764E0,9.186845856E0
2.125628750E-1,-1.107097778E0,3.995790710E0,9.019344177E0
2.225948750E-1,-1.258582764E0,4.093088379E0,8.951385498E0
2.326268750E-1,-1.403182068E0,4.308789825E0,9.073531494E0
2.426588750E-1,-1.415755920E0,4.352049866E0,9.011560364E0
2.526908750E-1,-1.309626617E0,4.270768890E0,8.866961060E0
2.627228750E-1,-1.208736420E0,3.858825531E0,8.853040009E0
2.727548750E-1,-1.066382446E0,3.280727692E0,9.001231842E0
2.827868750E-1,-1.076411591E0,2.719095612E0,8.868907013E0
2.928188750E-1,-2.111658783E0,1.768721924E0,9.388626251E0
3.028508750E-1,-2.708168335E0,1.237326965E0,7.916287994E0
3.128828750E-1,-3.102598114E0,8.219407654E-1,5.464985504E0
3.229148750E-1,-2.976859589E0,1.037492523E0,4.614304504E0
3.329468750E-1,-2.110311584E0,2.276016998E0,5.260959778E0
3.429788750E-1,-1.654509430E0,2.848127289E0,6.019133148E0
3.530108750E-1,-1.231638794E0,3.020868073E0,7.661966858E0
3.630428750E-1,-4.354444885E-1,3.710933075E0,1.006087830E1
