"Time (s)","X (hPa)"
-5.648085417E-1,9.951152039E2
4.359874583E-1,9.951134491E2
1.436346458E0,9.951152039E2
2.436919458E0,9.951154327E2
3.437499458E0,9.951178741E2
4.438074458E0,9.951178741E2
4.989024458E0,9.951171112E2
5.989598458E0,9.951123810E2
6.990178458E0,9.951123810E2
7.990754458E0,9.951123810E2
8.991330458E0,9.951081848E2
9.991904458E0,9.951081848E2
1.099248746E1,9.951091766E2
1.199306546E1,9.951091766E2
1.299363746E1,9.951081848E2
1.399421246E1,9.951081848E2
1.499478746E1,9.951093292E2
1.599536346E1,9.951093292E2
1.699594046E1,9.951093292E2
1.799651846E1,9.951099396E2
1.899709146E1,9.951108551E2
1.999767146E1,9.951111603E2
2.099824846E1,9.951125336E2
2.199882246E1,9.951154327E2
2.299939846E1,9.951177979E2
2.399997446E1,9.951192474E2
2.500055346E1,9.951232147E2
2.600145746E1,9.951242065E2
2.700170646E1,9.951242065E2
2.800228146E1,9.951207733E2
2.900285746E1,9.951207733E2
3.000343646E1,9.951319122E2
3.100401046E1,9.951432037E2
3.200458546E1,9.951496124E2
3.300516746E1,9.951499939E2
3.400573946E1,9.951496124E2
3.500631946E1,9.951357269E2
3.600689346E1,9.951250458E2
3.700746746E1,9.951250458E2
3.800804446E1,9.951296234E2
3.900862446E1,9.951404572E2
4.000920246E1,9.951470947E2
4.100977446E1,9.951470947E2
4.201034846E1,9.951389313E2
4.301092646E1,9.951383972E2
4.401150646E1,9.951277161E2
4.501207446E1,9.951266479E2
4.601266046E1,9.951245117E2
4.701323546E1,9.951229858E2
4.801381246E1,9.951223755E2
4.901439146E1,9.951206207E2
5.001496346E1,9.951179504E2
5.101553746E1,9.951170349E2
5.201611546E1,9.951161194E2
5.301669046E1,9.951045990E2
5.401726946E1,9.950963593E2
5.501785746E1,9.950912476E2
5.601842346E1,9.950863647E2
5.701899946E1,9.950846100E2
5.801957246E1,9.950829315E2
5.902014746E1,9.950829315E2
6.002072946E1,9.950736237E2
6.102130146E1,9.950677490E2
6.202187946E1,9.950592804E2
6.302245546E1,9.950497437E2
6.402303346E1,9.950454712E2
6.502360946E1,9.950444031E2
6.602430946E1,9.950411224E2
6.702475946E1,9.950351715E2
6.802533446E1,9.950286102E2
6.902624846E1,9.950194550E2
7.002648846E1,9.950119781E2
7.102706646E1,9.950048065E2
7.202764046E1,9.949971008E2
