"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.471117189E1,5.058449700E1,8.699879516E0,1.773267714E2,8.166107375E-1,2.567815990E2,7.904817234E0,3.182229452E0
4.571117797E1,5.058447465E1,8.699847184E0,1.778449604E2,2.322359210E0,2.283531858E2,7.680690870E0,3.000000000E0
4.671118417E1,5.058443321E1,8.699798143E0,1.778657622E2,4.234465838E0,2.210767963E2,7.456675507E0,3.000000000E0
4.771119096E1,5.058440284E1,8.699753392E0,1.776573328E2,4.381708277E0,2.228775590E2,7.225047297E0,3.000000000E0
4.871119668E1,5.058436694E1,8.699707067E0,1.777519665E2,4.744376438E0,2.206890968E2,7.034660913E0,3.000000000E0
4.971120312E1,5.058431812E1,8.699644576E0,1.776189838E2,4.463984489E0,2.232254747E2,7.034660895E0,8.810517909E0
5.071121027E1,5.058428699E1,8.699605883E0,1.775574773E2,4.247532368E0,2.214541594E2,7.034660895E0,8.778420214E0
5.171121695E1,5.058424198E1,8.699554234E0,1.774369425E2,5.266716957E0,2.167420030E2,7.034660895E0,8.873076841E0
5.271122315E1,5.058421489E1,8.699514928E0,1.775500665E2,4.427019596E0,2.201867481E2,7.034660895E0,8.972973152E0
5.371123006E1,5.058418218E1,8.699472750E0,1.775700511E2,4.528869629E0,2.166747997E2,7.034660895E0,9.053307317E0
5.471123698E1,5.058415331E1,8.699428747E0,1.777727996E2,4.324147224E0,2.210522821E2,7.034660895E0,9.034078861E0
5.571124389E1,5.058410442E1,8.699376611E0,1.775603877E2,5.574077129E0,2.143235281E2,7.034660895E0,8.952033851E0
5.671124997E1,5.058407560E1,8.699344141E0,1.777381596E2,4.469547749E0,2.164512467E2,7.034660895E0,8.954345578E0
5.771125700E1,5.058402798E1,8.699315100E0,1.778939968E2,5.164715290E0,2.060508654E2,7.034660895E0,8.949310052E0
5.871126392E1,5.058400211E1,8.699308451E0,1.782775113E2,3.681845903E0,1.962464607E2,7.034660895E0,8.992789927E0
5.971127059E1,5.058397143E1,8.699284050E0,1.785193431E2,3.739296675E0,1.991413417E2,7.034660895E0,8.489255496E0
