"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.599183333E-2,3.212394714E1,-2.079492950E1,-2.742745972E1
3.602083334E-2,3.203704834E1,-2.074873352E1,-2.755844116E1
4.604983333E-2,3.180464172E1,-2.075647736E1,-2.782815552E1
5.607883334E-2,3.128304291E1,-2.059358978E1,-2.822232056E1
6.610783334E-2,3.098139954E1,-2.052152252E1,-2.863726807E1
7.613783333E-2,3.056874084E1,-2.029411316E1,-2.930053711E1
8.616683334E-2,3.042060089E1,-1.999295807E1,-2.961199951E1
9.619583334E-2,3.032530975E1,-2.003558350E1,-2.969204712E1
1.062248333E-1,3.013803864E1,-1.998479462E1,-2.964480591E1
1.162538333E-1,3.029918671E1,-1.967671967E1,-3.019769287E1
1.262828333E-1,2.995251465E1,-1.954305267E1,-3.049005127E1
1.363118333E-1,2.985586548E1,-1.977797699E1,-3.031744385E1
1.463418333E-1,2.988221741E1,-1.945831299E1,-3.099438477E1
1.563708333E-1,2.966971588E1,-1.916751862E1,-3.101956177E1
1.663998333E-1,2.933921814E1,-1.912330627E1,-3.152542114E1
1.764288333E-1,2.926114655E1,-1.903671265E1,-3.183474731E1
1.864578333E-1,2.904331970E1,-1.875453186E1,-3.224578857E1
1.964868333E-1,2.905793762E1,-1.856259918E1,-3.257324219E1
2.065158333E-1,2.879689026E1,-1.824716949E1,-3.241854858E1
2.165448333E-1,2.866780090E1,-1.815635681E1,-3.283572388E1
2.265748333E-1,2.834246826E1,-1.793857574E1,-3.312722778E1
2.366038333E-1,2.819458771E1,-1.785010529E1,-3.346353149E1
2.466328333E-1,2.777458191E1,-1.750931549E1,-3.360906982E1
2.566655000E-1,2.736658478E1,-1.756513977E1,-3.383078003E1
2.666945000E-1,2.699974823E1,-1.744404602E1,-3.429931641E1
2.767235000E-1,2.667469788E1,-1.741294098E1,-3.463885498E1
2.867525000E-1,2.655093384E1,-1.716316986E1,-3.508370972E1
2.967825000E-1,2.642752075E1,-1.715467834E1,-3.551437378E1
3.068115000E-1,2.607361603E1,-1.681369781E1,-3.588055420E1
3.168405000E-1,2.600702667E1,-1.680620575E1,-3.571347046E1
3.268695000E-1,2.575110626E1,-1.675015259E1,-3.610311890E1
3.368985000E-1,2.563490295E1,-1.695070648E1,-3.599514771E1
3.469275000E-1,2.505456543E1,-1.715065765E1,-3.642974854E1
3.569565000E-1,2.521968842E1,-1.726356506E1,-3.664578247E1
3.669855000E-1,2.488579559E1,-1.721574402E1,-3.699536133E1
3.770155000E-1,2.456695557E1,-1.699636841E1,-3.663278198E1
3.870445000E-1,2.450105286E1,-1.683509827E1,-3.688171387E1
3.970735000E-1,2.472331238E1,-1.677414703E1,-3.668988037E1
4.071025000E-1,2.493325806E1,-1.690245056E1,-3.700979614E1
4.171315000E-1,2.472351074E1,-1.690743256E1,-3.700997925E1
4.271605000E-1,2.467100525E1,-1.668624115E1,-3.663269043E1
4.371895000E-1,2.427645874E1,-1.687098694E1,-3.735144043E1
4.472195000E-1,2.392750549E1,-1.675306702E1,-3.729635620E1
4.572485000E-1,2.339656067E1,-1.681696320E1,-3.771240234E1
4.672775000E-1,2.269702148E1,-1.667265320E1,-3.752798462E1
4.773065000E-1,2.220394897E1,-1.646138763E1,-3.859045410E1
4.873355000E-1,2.145662689E1,-1.617876434E1,-3.865237427E1
4.973645000E-1,2.121312714E1,-1.586716461E1,-3.917367554E1
5.073935000E-1,2.107959747E1,-1.584311676E1,-3.930450439E1
5.174225000E-1,2.061405945E1,-1.573262787E1,-3.978564453E1
5.274525000E-1,2.043414307E1,-1.600206757E1,-3.962237549E1
5.374815000E-1,2.001511383E1,-1.623066711E1,-4.010153198E1
5.475105000E-1,1.946649170E1,-1.639886475E1,-4.039056396E1
5.575395000E-1,1.870307922E1,-1.698108673E1,-4.020950317E1
5.675685000E-1,1.855918121E1,-1.765235138E1,-3.985629272E1
5.775975000E-1,1.821241760E1,-1.839516449E1,-4.010278320E1
