id,Route,distance,angle,Z_1
2,Run2,0,22.6491273456719,165.250015258789
2,Run2,1,22.6491273456719,165.271011352539
2,Run2,2,22.6491273456719,165.269012451172
2,Run2,3,22.6491273456719,165.231002807617
2,Run2,4,22.6491273456719,165.219009399414
2,Run2,5,22.6491273456719,165.18701171875
2,Run2,6,22.6491273456719,165.172012329102
2,Run2,7,22.6491273456719,165.143005371094
2,Run2,8,22.6491273456719,165.112014770508
2,Run2,9,22.6491273456719,165.110000610352
2,Run2,10,22.6491273456719,165.126007080078
2,Run2,11,22.6491273456719,165.061004638672
2,Run2,12,22.6491273456719,165.033004760742
2,Run2,13,22.6491273456719,165.001007080078
2,Run2,14,22.6491273456719,164.997009277344
2,Run2,15,22.6491273456719,164.999008178711
2,Run2,16,22.6491273456719,164.935012817383
2,Run2,17,22.6491273456719,164.932006835938
2,Run2,18,22.6491273456719,164.886001586914
2,Run2,19,22.6491273456719,164.866012573242
2,Run2,20,22.6491273456719,164.863006591797
2,Run2,21,22.6491273456719,164.816009521484
2,Run2,22,22.6491273456719,164.807006835938
2,Run2,23,22.6491273456719,164.807006835938
2,Run2,24,22.6491273456719,164.756011962891
2,Run2,25,22.6491273456719,164.741012573242
2,Run2,26,22.6491273456719,164.727005004883
2,Run2,27,22.6491273456719,164.710006713867
2,Run2,28,22.6491273456719,164.682006835938
2,Run2,29,22.6491273456719,164.648010253906
2,Run2,30,22.6491273456719,164.629013061523
2,Run2,31,22.6491273456719,164.564010620117
2,Run2,32,22.6491273456719,164.577011108398
2,Run2,33,22.6491273456719,164.57600402832
2,Run2,34,22.6491273456719,164.521011352539
2,Run2,35,22.6491273456719,164.502014160156
2,Run2,36,22.6491273456719,164.502014160156
2,Run2,37,22.6491273456719,164.453002929688
2,Run2,38,22.6491273456719,164.463012695312
2,Run2,39,22.6491273456719,164.404006958008
2,Run2,40,22.6491273456719,164.394012451172
2,Run2,41,22.6491273456719,164.386001586914
2,Run2,42,22.6491273456719,164.32600402832
2,Run2,43,22.6491273456719,164.331008911133
2,Run2,44,22.6491273456719,164.290008544922
2,Run2,45,22.6491273456719,164.269012451172
2,Run2,46,22.6491273456719,164.260009765625
2,Run2,47,22.6491273456719,164.232009887695
2,Run2,48,22.6491273456719,164.207000732422
2,Run2,49,22.6491273456719,164.207000732422
2,Run2,50,22.6491273456719,164.181015014648
2,Run2,51,22.6491273456719,164.146011352539
2,Run2,52,22.6491273456719,164.123001098633
2,Run2,53,22.6491273456719,164.112014770508
2,Run2,54,22.6491273456719,164.091003417969
2,Run2,55,22.6491273456719,164.072006225586
2,Run2,56,22.6491273456719,164.057006835938
2,Run2,57,22.6491273456719,164.010009765625
2,Run2,58,22.6491273456719,163.990005493164
2,Run2,59,22.6491273456719,163.948013305664
2,Run2,60,22.6491273456719,163.920013427734
2,Run2,61,22.6491273456719,163.927001953125
2,Run2,62,22.6491273456719,163.927001953125
2,Run2,63,22.6491273456719,163.891006469727
2,Run2,64,22.6491273456719,163.847015380859
2,Run2,65,22.6491273456719,163.816009521484
2,Run2,66,22.6491273456719,163.814010620117
2,Run2,67,22.6491273456719,163.789001464844
2,Run2,68,22.6491273456719,163.743011474609
2,Run2,69,22.6491273456719,163.730010986328
2,Run2,70,22.6491273456719,163.650009155273
2,Run2,71,22.6491273456719,163.669006347656
2,Run2,72,22.6491273456719,163.620010375977
2,Run2,73,22.6491273456719,163.574005126953
2,Run2,74,22.6491273456719,163.618011474609
2,Run2,75,22.6491273456719,163.618011474609
2,Run2,76,22.6491273456719,163.551010131836
2,Run2,77,22.6491273456719,163.563003540039
2,Run2,78,22.6491273456719,163.491012573242
2,Run2,79,22.6491273456719,163.511001586914
2,Run2,80,22.6491273456719,163.498001098633
2,Run2,81,22.6491273456719,163.471008300781
2,Run2,82,22.6491273456719,163.460006713867
2,Run2,83,22.6491273456719,163.40901184082
2,Run2,84,22.6491273456719,163.405014038086
2,Run2,85,22.6491273456719,163.387008666992
2,Run2,86,22.6491273456719,163.336013793945
2,Run2,87,22.6491273456719,163.334014892578
2,Run2,88,22.6491273456719,163.334014892578
2,Run2,89,22.6491273456719,163.273010253906
2,Run2,90,22.6491273456719,163.303009033203
2,Run2,91,22.6491273456719,163.250015258789
2,Run2,92,22.6491273456719,163.232009887695
2,Run2,93,22.6491273456719,163.228012084961
2,Run2,94,22.6491273456719,163.190002441406
2,Run2,95,22.6491273456719,163.148010253906
2,Run2,96,22.6491273456719,163.124008178711
2,Run2,97,22.6491273456719,163.134002685547
2,Run2,98,22.6491273456719,163.112014770508
2,Run2,99,22.6491273456719,163.072006225586
2,Run2,100,22.6491273456719,163.061004638672
2,Run2,101,22.6491273456719,163.061004638672
2,Run2,102,22.6491273456719,163.011001586914
2,Run2,103,22.6491273456719,162.982009887695
2,Run2,104,22.6491273456719,162.899002075195
2,Run2,105,22.6491273456719,162.934005737305
2,Run2,106,22.6491273456719,162.916000366211
2,Run2,107,22.6491273456719,162.886001586914
2,Run2,108,22.6491273456719,162.906005859375
2,Run2,109,22.6491273456719,162.848007202148
2,Run2,110,22.6491273456719,162.834014892578
2,Run2,111,22.6491273456719,162.830001831055
2,Run2,112,22.6491273456719,162.792007446289
2,Run2,113,22.6491273456719,162.783004760742
2,Run2,114,22.6491273456719,162.783004760742
2,Run2,115,22.6491273456719,162.749008178711
2,Run2,116,22.6491273456719,162.731002807617
2,Run2,117,22.6491273456719,162.694000244141
2,Run2,118,22.6491273456719,162.72200012207
2,Run2,119,22.6491273456719,162.692001342773
2,Run2,120,22.6491273456719,162.68000793457
2,Run2,121,22.6491273456719,162.656005859375
2,Run2,122,22.6491273456719,162.636001586914
2,Run2,123,22.6491273456719,162.639007568359
2,Run2,124,22.6491273456719,162.645004272461
2,Run2,125,22.6491273456719,162.606002807617
2,Run2,126,22.6491273456719,162.592010498047
2,Run2,127,22.6491273456719,162.616012573242
2,Run2,128,22.6491273456719,162.553009033203
2,Run2,129,22.6491273456719,162.552001953125
2,Run2,130,22.6491273456719,162.513000488281
2,Run2,131,22.6491273456719,162.481002807617
2,Run2,132,22.6491273456719,162.500015258789
2,Run2,133,22.6491273456719,162.469009399414
2,Run2,134,22.6491273456719,162.446014404297
2,Run2,135,22.6491273456719,162.396011352539
2,Run2,136,22.6491273456719,162.351013183594
2,Run2,137,22.6491273456719,162.31201171875
2,Run2,138,22.6491273456719,162.233001708984
2,Run2,139,22.6491273456719,162.20100402832
2,Run2,140,22.6491273456719,162.220001220703
2,Run2,141,22.6491273456719,162.227005004883
2,Run2,142,22.6491273456719,162.22200012207
2,Run2,143,98.4785519735175,162.247009277344
2,Run2,144,98.4785519735175,162.275009155273
2,Run2,145,98.4785519735175,162.293014526367
2,Run2,146,98.4785519735175,162.338012695312
2,Run2,147,98.4785519735175,162.359008789062
2,Run2,148,98.4785519735175,162.390014648438
2,Run2,149,98.4785519735175,162.411010742188
2,Run2,150,98.4785519735175,162.414001464844
2,Run2,151,98.4785519735175,162.455001831055
2,Run2,152,98.4785519735175,162.464004516602
2,Run2,153,98.4785519735175,162.485000610352
2,Run2,154,98.4785519735175,162.513000488281
2,Run2,155,98.4785519735175,162.525009155273
2,Run2,156,98.4785519735175,162.537002563477
2,Run2,157,98.4785519735175,162.579010009766
2,Run2,158,98.4785519735175,162.595001220703
2,Run2,159,98.4785519735175,162.598007202148
2,Run2,160,98.4785519735175,162.638000488281
2,Run2,161,98.4785519735175,162.642013549805
2,Run2,162,98.4785519735175,162.674011230469
2,Run2,163,98.4785519735175,162.723007202148
2,Run2,164,98.4785519735175,162.754013061523
2,Run2,165,98.4785519735175,162.760009765625
2,Run2,166,98.4785519735175,162.800003051758
2,Run2,167,98.4785519735175,162.834014892578
2,Run2,168,98.4785519735175,162.869003295898
2,Run2,169,98.4785519735175,162.876007080078
2,Run2,170,98.4785519735175,162.946014404297
2,Run2,171,98.4785519735175,162.954010009766
2,Run2,172,98.4785519735175,162.98600769043
2,Run2,173,98.4785519735175,163.012008666992
2,Run2,174,98.4785519735175,163.041000366211
2,Run2,175,98.4785519735175,163.037002563477
2,Run2,176,98.4785519735175,163.118011474609
2,Run2,177,98.4785519735175,163.134002685547
2,Run2,178,98.4785519735175,163.179000854492
2,Run2,179,98.4785519735175,163.203002929688
2,Run2,180,98.4785519735175,163.198013305664
2,Run2,181,98.4785519735175,163.22900390625
2,Run2,182,98.4785519735175,163.264007568359
2,Run2,183,98.4785519735175,163.272003173828
2,Run2,184,98.4785519735175,163.334014892578
2,Run2,185,98.4785519735175,163.350006103516
2,Run2,186,98.4785519735175,163.383010864258
2,Run2,187,98.4785519735175,163.435012817383
2,Run2,188,98.4785519735175,163.481002807617
2,Run2,189,98.4785519735175,163.491012573242
2,Run2,190,98.4785519735175,163.521011352539
2,Run2,191,98.4785519735175,163.575012207031
2,Run2,192,98.4785519735175,163.598007202148
2,Run2,193,98.4785519735175,163.602005004883
2,Run2,194,98.4785519735175,163.665008544922
2,Run2,195,98.4785519735175,163.681015014648
2,Run2,196,98.4785519735175,163.738006591797
2,Run2,197,98.4785519735175,163.765014648438
2,Run2,198,98.4785519735175,163.791000366211
2,Run2,199,98.4785519735175,163.810012817383
2,Run2,200,98.4785519735175,163.850006103516
2,Run2,201,98.4785519735175,163.887008666992
2,Run2,202,98.4785519735175,163.919006347656
2,Run2,203,98.4785519735175,163.940002441406
2,Run2,204,98.4785519735175,164.010009765625
2,Run2,205,98.4785519735175,164.026000976562
2,Run2,206,98.4785519735175,164.030014038086
2,Run2,207,98.4785519735175,164.063003540039
2,Run2,208,98.4785519735175,164.089004516602
2,Run2,209,98.4785519735175,164.120010375977
2,Run2,210,98.4785519735175,164.158004760742
2,Run2,211,98.4785519735175,164.173004150391
2,Run2,212,98.4785519735175,164.217010498047
2,Run2,213,98.4785519735175,164.244003295898
2,Run2,214,98.4785519735175,164.251007080078
2,Run2,215,98.4785519735175,164.292007446289
2,Run2,216,98.4785519735175,164.335006713867
2,Run2,217,98.4785519735175,164.35400390625
2,Run2,218,98.4785519735175,164.402008056641
2,Run2,219,98.4785519735175,164.403015136719
2,Run2,220,98.4785519735175,164.443008422852
2,Run2,221,98.4785519735175,164.47900390625
2,Run2,222,98.4785519735175,164.513000488281
2,Run2,223,98.4785519735175,164.525009155273
2,Run2,224,98.4785519735175,164.566009521484
2,Run2,225,98.4785519735175,164.582000732422
2,Run2,226,98.4785519735175,164.636001586914
2,Run2,227,98.4785519735175,164.669006347656
