"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.292719167E-1,-2.405946808E0,5.522166595E0,8.017327881E0
9.392999167E-1,-1.887125702E0,5.522166595E0,8.568781128E0
9.493289167E-1,-1.381626892E0,5.565127258E0,9.273665314E0
9.593569167E-1,-1.215771790E0,5.772446136E0,9.496701508E0
9.693859167E-1,-1.079405365E0,5.868546295E0,9.518406372E0
9.794139167E-1,-9.601034546E-1,5.837261353E0,9.559421082E0
9.894429167E-1,-1.065933380E0,5.629643097E0,9.618099060E0
9.994709167E-1,-1.195414124E0,5.132676544E0,9.301357727E0
1.009499917E0,-1.437610474E0,4.920717316E0,8.770561523E0
1.019527917E0,-1.718426514E0,5.460345154E0,8.333470459E0
1.029556917E0,-1.226549377E0,5.787415009E0,8.142018585E0
1.039584917E0,-6.021977234E-1,5.811514893E0,7.970475311E0
1.049613917E0,-3.549119568E-1,5.763015747E0,7.696694641E0
1.059641917E0,-5.345384216E-1,5.762716370E0,7.582631836E0
1.069670917E0,-7.470964050E-1,5.566773834E0,7.415130157E0
1.079698917E0,-8.123606873E-1,5.168601837E0,6.822512512E0
1.089727917E0,-8.824150085E-1,5.310656433E0,6.276747437E0
1.099755917E0,-7.622149658E-1,5.782624969E0,6.101911011E0
1.109784917E0,-6.587800598E-1,6.085744629E0,6.465953979E0
1.119812917E0,-5.213658142E-1,6.184988251E0,7.325167236E0
1.129841917E0,-3.282673645E-1,5.882167969E0,8.040230255E0
1.139869917E0,-3.290158081E-1,5.323379974E0,8.004155273E0
1.149898917E0,-4.559518433E-1,5.319488068E0,7.435038757E0
1.159926917E0,-1.332229614E-1,6.047424316E0,6.981481934E0
1.169955917E0,4.812492371E-1,7.028933258E0,6.945706329E0
1.179983917E0,1.302291870E0,7.733967133E0,6.942413177E0
1.190012917E0,1.652862854E0,7.792345734E0,6.778354340E0
1.200040917E0,1.377435608E0,7.530989227E0,6.601871338E0
1.210069917E0,9.964778137E-1,7.137008514E0,6.072721710E0
1.220097917E0,6.448590088E-1,6.937623138E0,5.780379639E0
1.230126917E0,6.719526672E-1,6.979386292E0,5.958509216E0
1.240154917E0,8.354127502E-1,6.940018158E0,6.180048523E0
1.250183917E0,9.389973450E-1,7.020999756E0,6.596632233E0
1.260211917E0,1.084943848E0,7.142546997E0,7.072193298E0
1.270240917E0,7.979905701E-1,6.852001190E0,7.306605835E0
1.280268917E0,1.032103729E0,7.015311584E0,7.867040405E0
1.290297917E0,1.611548767E0,7.641459503E0,8.146060181E0
1.300325917E0,1.921404419E0,8.432714081E0,8.371641083E0
1.310354917E0,2.310744781E0,9.219627686E0,8.775201874E0
1.320382917E0,2.586920471E0,9.400152283E0,8.421786804E0
1.330411917E0,2.356998596E0,9.023086395E0,7.853269043E0
1.340439917E0,2.251617737E0,8.827892303E0,7.817343750E0
1.350468917E0,2.228715363E0,8.580157471E0,7.852071533E0
1.360496917E0,2.038161621E0,8.110434265E0,7.553741913E0
1.370525917E0,1.591340790E0,7.294481049E0,6.977590027E0
1.380553917E0,1.266665955E0,6.725963287E0,6.675069122E0
1.390582917E0,9.698332214E-1,6.511309662E0,6.632258148E0
1.400610917E0,7.759863281E-1,6.882837067E0,6.588249664E0
1.410639917E0,6.062393188E-1,7.055877228E0,5.635780334E0
1.420667917E0,6.750961304E-1,6.821165314E0,4.755910034E0
1.430696917E0,6.409671021E-1,6.746320953E0,4.593647461E0
1.440724917E0,5.956114197E-1,6.423442383E0,4.408482513E0
1.450753917E0,5.426216125E-1,5.937103729E0,4.139940948E0
1.460781917E0,6.128256226E-1,5.828280029E0,4.314627686E0
1.470810917E0,5.878276062E-1,5.888754272E0,4.756359100E0
1.480838917E0,3.785627747E-1,5.830675049E0,4.992118835E0
1.490867917E0,3.375480652E-1,5.862259369E0,5.018014984E0
1.500896917E0,2.752775574E-1,6.050118713E0,5.367089081E0
1.510924917E0,3.614982605E-1,6.395151215E0,5.991590424E0
1.520953917E0,7.274871826E-1,6.943760376E0,6.417754211E0
1.530981917E0,1.072070618E0,7.354805603E0,6.409820709E0
1.541010917E0,1.691482544E0,7.378755798E0,6.462211761E0
