beta,acc_thresh,gyro_thresh,score,zupt_ratio
0.05,0.1,0.0349065850398866,816.393176237538,0
0.05,0.1,0.0523598775598299,816.393176237538,0
0.05,0.1,0.0698131700797732,816.393176237538,0
0.05,0.15,0.0349065850398866,816.393176237538,0
0.05,0.15,0.0523598775598299,816.393176237538,0
0.05,0.15,0.0698131700797732,816.393176237538,0
0.05,0.2,0.0349065850398866,816.393176237538,0
0.05,0.2,0.0523598775598299,816.393176237538,0
0.05,0.2,0.0698131700797732,816.393176237538,0
0.1,0.1,0.0349065850398866,1010.8297050839,0
0.1,0.1,0.0523598775598299,1010.8297050839,0
0.1,0.1,0.0698131700797732,1010.8297050839,0
0.1,0.15,0.0349065850398866,1010.8297050839,0
0.1,0.15,0.0523598775598299,1010.8297050839,0
0.1,0.15,0.0698131700797732,1010.8297050839,0
0.1,0.2,0.0349065850398866,1010.8297050839,0
0.1,0.2,0.0523598775598299,1010.8297050839,0
0.1,0.2,0.0698131700797732,1010.8297050839,0
0.2,0.1,0.0349065850398866,199.055310306571,0
0.2,0.1,0.0523598775598299,199.055310306571,0
0.2,0.1,0.0698131700797732,199.055310306571,0
0.2,0.15,0.0349065850398866,199.055310306571,0
0.2,0.15,0.0523598775598299,199.055310306571,0
0.2,0.15,0.0698131700797732,199.055310306571,0
0.2,0.2,0.0349065850398866,199.055310306571,0
0.2,0.2,0.0523598775598299,199.055310306571,0
0.2,0.2,0.0698131700797732,199.055310306571,0
0.3,0.1,0.0349065850398866,350.078334474639,0
0.3,0.1,0.0523598775598299,350.078334474639,0
0.3,0.1,0.0698131700797732,350.078334474639,0
0.3,0.15,0.0349065850398866,350.078334474639,0
0.3,0.15,0.0523598775598299,350.078334474639,0
0.3,0.15,0.0698131700797732,350.078334474639,0
0.3,0.2,0.0349065850398866,350.078334474639,0
0.3,0.2,0.0523598775598299,350.078334474639,0
0.3,0.2,0.0698131700797732,350.078334474639,0
