"Time (s)","X (hPa)"
1.670832230E2,9.958444977E2
1.680837970E2,9.958444977E2
1.690843740E2,9.958448029E2
1.700849530E2,9.958427429E2
1.710855260E2,9.958432007E2
1.720861020E2,9.958427429E2
1.730866790E2,9.958432007E2
1.740872590E2,9.958451080E2
1.750878330E2,9.958451080E2
1.760884080E2,9.958425903E2
1.770889880E2,9.958425903E2
1.780895660E2,9.958427429E2
1.790901380E2,9.958427429E2
1.800907140E2,9.958427429E2
1.810912890E2,9.958457184E2
1.820918660E2,9.958457947E2
1.830924470E2,9.958457184E2
1.840930180E2,9.958442688E2
1.850935980E2,9.958415985E2
1.860941710E2,9.958422852E2
1.870947510E2,9.958415985E2
1.880953290E2,9.958422852E2
1.890959060E2,9.958451080E2
1.900966310E2,9.958451080E2
1.910970530E2,9.958442688E2
1.920976350E2,9.958432007E2
1.930982100E2,9.958423615E2
1.940987860E2,9.958336639E2
1.950993620E2,9.958319092E2
1.960999370E2,9.958319092E2
1.971005090E2,9.958332825E2
1.981010870E2,9.958333588E2
1.991016630E2,9.958391571E2
2.001022400E2,9.958405304E2
2.011028130E2,9.958418274E2
2.021033950E2,9.958418274E2
2.031039680E2,9.958418274E2
2.041045390E2,9.958418274E2
2.051051170E2,9.958420563E2
2.061056960E2,9.958418274E2
2.071062700E2,9.958434296E2
2.081068460E2,9.958416748E2
2.091074230E2,9.958434296E2
2.101079990E2,9.958422089E2
2.111085740E2,9.958442688E2
2.121091590E2,9.958462524E2
2.131097330E2,9.958471680E2
2.141103130E2,9.958471680E2
2.151108820E2,9.958477783E2
2.161114560E2,9.958477783E2
2.171120360E2,9.958478546E2
2.181126100E2,9.958537292E2
2.191131850E2,9.958543396E2
2.201137630E2,9.958557892E2
2.211143400E2,9.958557892E2
2.221149150E2,9.958504486E2
2.231154920E2,9.958433533E2
2.241160710E2,9.958406067E2
2.251166470E2,9.958341980E2
2.261172260E2,9.958275604E2
2.271178050E2,9.958205414E2
2.281183750E2,9.958159637E2
2.291189500E2,9.958119965E2
2.301195300E2,9.958100128E2
2.311201340E2,9.958100128E2
2.321206810E2,9.958102417E2
2.331212520E2,9.958102417E2
2.341218350E2,9.958120728E2
2.351224050E2,9.958097076E2
2.361229880E2,9.958128357E2
2.371235590E2,9.958132172E2
2.381241400E2,9.958142090E2
2.391247160E2,9.958184052E2
2.401252900E2,9.958256531E2
2.411258700E2,9.958547211E2
2.421264450E2,9.958768463E2
2.431270200E2,9.959043884E2
2.441275980E2,9.959326935E2
2.451281710E2,9.959557343E2
2.461287500E2,9.959557343E2
2.471293280E2,9.959572601E2
2.481299020E2,9.959553528E2
2.491304750E2,9.959481049E2
2.501310490E2,9.959417725E2
2.511316280E2,9.959333801E2
2.521322080E2,9.959323883E2
2.531327930E2,9.959306335E2
2.541333600E2,9.959262848E2
2.551339330E2,9.959281158E2
2.561345090E2,9.959249878E2
2.571350870E2,9.959246063E2
2.581357180E2,9.959229279E2
2.591362420E2,9.959183502E2
2.601368140E2,9.959183502E2
2.611373920E2,9.959156036E2
2.621379700E2,9.959178925E2
2.631385440E2,9.959135437E2
2.641391200E2,9.959178925E2
2.651396930E2,9.959159088E2
2.661402720E2,9.959182739E2
2.671408470E2,9.959159088E2
2.681414250E2,9.959153748E2
2.691420020E2,9.959149933E2
2.701425770E2,9.959149933E2
2.711431550E2,9.959110260E2
2.721437290E2,9.959061432E2
2.731443080E2,9.959057617E2
2.741448850E2,9.959050751E2
2.751454640E2,9.959050751E2
2.761461240E2,9.959100342E2
2.771466210E2,9.959100342E2
2.781471870E2,9.959082794E2
2.791477680E2,9.959058380E2
2.801483430E2,9.959044647E2
2.811489150E2,9.958955383E2
2.821494930E2,9.958950806E2
2.831500680E2,9.958950806E2
2.841506480E2,9.958977509E2
2.851512200E2,9.958980560E2
2.861518010E2,9.959114838E2
2.871523770E2,9.959136963E2
2.881529500E2,9.959280396E2
2.891535270E2,9.959317780E2
2.901541010E2,9.959366608E2
2.911546780E2,9.959434509E2
2.921552610E2,9.959452057E2
2.931562370E2,9.959443665E2
2.941564140E2,9.959452057E2
2.951569930E2,9.959443665E2
2.961575690E2,9.959503937E2
2.971582390E2,9.959501648E2
2.981587190E2,9.959504700E2
2.991592960E2,9.959534454E2
3.001598640E2,9.959542847E2
3.011604440E2,9.959552765E2
3.021610160E2,9.959557343E2
3.031615930E2,9.959565735E2
3.041621680E2,9.959565735E2
3.051627460E2,9.959574127E2
3.061633220E2,9.959551239E2
3.071639000E2,9.959574127E2
3.081644760E2,9.959587097E2
3.091650490E2,9.959608459E2
3.101656310E2,9.959661865E2
3.111662080E2,9.959684753E2
3.121667790E2,9.959661865E2
3.131673560E2,9.959633636E2
3.141682350E2,9.959622192E2
3.151685120E2,9.959574890E2
3.161690850E2,9.959574890E2
3.171696640E2,9.959577942E2
3.181702440E2,9.959588623E2
3.191708220E2,9.959577942E2
3.201713990E2,9.959592438E2
3.211719730E2,9.959573364E2
3.221725480E2,9.959597015E2
3.231731200E2,9.959576416E2
3.241737000E2,9.959576416E2
3.251742730E2,9.959557343E2
3.261748520E2,9.959540558E2
3.271754240E2,9.959505463E2
3.281760040E2,9.959465027E2
3.291765840E2,9.959455872E2
3.301771600E2,9.959465027E2
3.311777330E2,9.959481049E2
3.321783770E2,9.959485626E2
3.331788890E2,9.959485626E2
3.341794570E2,9.959476471E2
3.351800380E2,9.959466553E2
3.361806140E2,9.959451294E2
3.371816440E2,9.959442902E2
3.381817690E2,9.959442902E2
3.391823440E2,9.959442902E2
3.401829230E2,9.959439850E2
3.411834970E2,9.959446716E2
3.421840680E2,9.959432983E2
3.431846550E2,9.959412384E2
3.441852230E2,9.959403229E2
3.451858030E2,9.959384155E2
3.461863740E2,9.959369659E2
3.471869490E2,9.959384155E2
3.481875310E2,9.959370422E2
3.491881120E2,9.959413147E2
3.501886820E2,9.959397125E2
3.511892640E2,9.959397125E2
