"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.328125001E-3,9.522682190E0,-5.359954834E-1,-4.972079468E1
1.735612500E-2,9.111595154E0,-6.848144531E-1,-4.911770630E1
2.738512500E-2,8.472686768E0,-7.487640381E-1,-4.960537720E1
3.741312500E-2,7.869209290E0,-5.503387451E-1,-4.979724121E1
4.744212500E-2,7.174880981E0,-2.267608643E-1,-4.942822266E1
5.747012500E-2,6.562446594E0,1.202087402E-1,-4.985836792E1
6.749812500E-2,5.877090454E0,8.524475098E-1,-4.983865356E1
7.752712500E-2,5.375907898E0,1.502838135E0,-5.014904785E1
8.755512500E-2,5.063270569E0,2.012695312E0,-4.991058350E1
9.758312500E-2,4.942504883E0,2.257843018E0,-5.026226807E1
1.076121250E-1,4.986679077E0,2.800537109E0,-5.011972046E1
1.176401250E-1,5.207931519E0,2.947021484E0,-5.036462402E1
1.276691250E-1,4.672729492E0,3.371948242E0,-4.995898438E1
1.376971250E-1,4.761062622E0,3.514663696E0,-5.008673096E1
1.477251250E-1,4.795707703E0,3.573608398E0,-4.984359741E1
1.577541250E-1,4.424636841E0,3.840286255E0,-4.996966553E1
1.677821250E-1,4.239509583E0,3.964385986E0,-5.021847534E1
1.778111250E-1,3.938957214E0,4.381622314E0,-4.995855713E1
1.878391250E-1,3.680229187E0,4.975173950E0,-4.983297729E1
1.978671250E-1,3.276000977E0,5.333801270E0,-4.966189575E1
2.078961250E-1,2.757774353E0,5.631423950E0,-4.967227173E1
2.179241250E-1,2.197341919E0,5.898544312E0,-4.988970947E1
2.279531250E-1,1.971656799E0,5.896957397E0,-4.989743042E1
2.379811250E-1,1.835914612E0,5.994247437E0,-5.002456665E1
2.480091250E-1,1.378768921E0,6.423141479E0,-4.981103516E1
2.580381250E-1,1.146621704E0,6.704910278E0,-4.973989868E1
2.680661250E-1,8.514022827E-1,6.964447021E0,-4.981887817E1
2.780951250E-1,7.089233398E-2,7.543350220E0,-4.966036987E1
2.881231250E-1,-6.460189819E-1,8.134002686E0,-4.959786987E1
2.981511250E-1,-1.664215088E0,8.763458252E0,-4.920086670E1
3.081801250E-1,-2.565055847E0,9.775695801E0,-4.917257690E1
3.182081250E-1,-3.796638489E0,1.085664368E1,-4.893524170E1
3.282371250E-1,-4.856529236E0,1.228486633E1,-4.832092285E1
3.382651250E-1,-5.478385925E0,1.343650818E1,-4.832586670E1
3.482931250E-1,-5.803771973E0,1.439059448E1,-4.738018799E1
3.583221250E-1,-5.574668884E0,1.540397644E1,-4.721270752E1
3.683501250E-1,-5.377426147E0,1.592942810E1,-4.696209717E1
3.783791250E-1,-5.317497253E0,1.643008423E1,-4.690670776E1
3.884071250E-1,-4.921424866E0,1.655856323E1,-4.693460083E1
3.984361250E-1,-4.568778992E0,1.680831909E1,-4.666329956E1
4.084641250E-1,-3.753295898E0,1.674896240E1,-4.644375610E1
4.184921250E-1,-3.742393494E0,1.612213135E1,-4.710870361E1
4.285211250E-1,-4.073394775E0,1.502613831E1,-4.770431519E1
4.385491250E-1,-4.101074219E0,1.385746765E1,-4.777590942E1
4.485781250E-1,-5.106918335E0,1.239442444E1,-4.827392578E1
4.586061250E-1,-5.756278992E0,1.120883179E1,-4.877066040E1
4.686341250E-1,-6.781478882E0,9.707901001E0,-4.876715088E1
4.786631250E-1,-8.442039490E0,8.801651001E0,-4.842190552E1
4.886911250E-1,-1.007099152E1,7.864929199E0,-4.823059082E1
4.987201250E-1,-1.194435883E1,6.969787598E0,-4.779598999E1
5.087481250E-1,-1.304699707E1,6.589813232E0,-4.723666382E1
5.187761250E-1,-1.383132172E1,6.626663208E0,-4.724960327E1
5.288051250E-1,-1.395226288E1,6.683486938E0,-4.773660278E1
5.388331250E-1,-1.372391510E1,6.819946289E0,-4.762744141E1
5.488621250E-1,-1.332933044E1,7.175338745E0,-4.759063721E1
5.588901250E-1,-1.339392090E1,7.284866333E0,-4.764849854E1
5.689181250E-1,-1.344783783E1,7.506698608E0,-4.788113403E1
5.789471250E-1,-1.332856750E1,7.912673950E0,-4.804284668E1
5.889751250E-1,-1.386759186E1,7.973495483E0,-4.741946411E1
5.990041250E-1,-1.452738190E1,7.957168579E0,-4.769735718E1
6.090321250E-1,-1.507760620E1,7.755325317E0,-4.705087280E1
6.190601250E-1,-1.512719727E1,7.326736450E0,-4.722274780E1
6.290891250E-1,-1.519933319E1,6.819213867E0,-4.720840454E1
6.391171250E-1,-1.504946136E1,6.787597656E0,-4.681805420E1
6.491461250E-1,-1.458293915E1,6.525772095E0,-4.762704468E1
6.591741250E-1,-1.430162048E1,6.251693726E0,-4.784042358E1
6.692021250E-1,-1.394083405E1,6.315124512E0,-4.802502441E1
6.792311250E-1,-1.354688263E1,6.699188232E0,-4.805300903E1
6.892591250E-1,-1.313567352E1,6.450027466E0,-4.831631470E1
6.992881250E-1,-1.262761688E1,6.509933472E0,-4.810571289E1
7.093161250E-1,-1.255555725E1,6.325164795E0,-4.809161377E1
7.193451250E-1,-1.238567352E1,5.946823120E0,-4.791513062E1
7.293731250E-1,-1.216036987E1,5.765609741E0,-4.799380493E1
7.394011250E-1,-1.191778564E1,5.659317017E0,-4.868258667E1
7.494301250E-1,-1.179448700E1,5.497131348E0,-4.878890991E1
7.594581250E-1,-1.132300568E1,5.473129272E0,-4.890954590E1
7.694871250E-1,-1.077320862E1,5.270828247E0,-4.908697510E1
7.795150000E-1,-1.059626007E1,5.309204102E0,-4.882757568E1
7.895430000E-1,-1.034096527E1,5.125961304E0,-4.898251343E1
7.995720000E-1,-1.011209869E1,5.164535522E0,-4.916784668E1
8.096000000E-1,-1.005646515E1,4.980529785E0,-4.953311157E1
8.196290000E-1,-9.924987793E0,4.664230347E0,-4.905444336E1
8.296570000E-1,-9.696235657E0,4.456863403E0,-4.874322510E1
8.396850000E-1,-9.897018433E0,4.237716675E0,-4.925378418E1
8.497140000E-1,-9.718467712E0,4.336868286E0,-4.876364136E1
8.597420000E-1,-9.485885620E0,4.082809448E0,-4.901675415E1
8.697710000E-1,-9.547317505E0,3.757293701E0,-4.929156494E1
8.797990000E-1,-9.223274231E0,3.685241699E0,-4.955142212E1
8.898280000E-1,-9.119071960E0,3.559280396E0,-4.915002441E1
8.998560000E-1,-9.190361023E0,3.263153076E0,-4.938009644E1
9.098840000E-1,-9.664176941E0,2.997100830E0,-4.902435303E1
9.199130000E-1,-1.011980438E1,2.983810425E0,-4.916961670E1
9.299410000E-1,-1.035459137E1,3.487106323E0,-4.902377319E1
9.399700000E-1,-1.039234161E1,3.500778198E0,-4.904437256E1
9.499980000E-1,-1.036177063E1,3.504409790E0,-4.882186890E1
9.600260000E-1,-1.013665009E1,3.578430176E0,-4.867153931E1
9.700550000E-1,-1.045516968E1,3.766571045E0,-4.878851318E1
9.800830000E-1,-1.032548523E1,3.800796509E0,-4.889501953E1
9.901120000E-1,-1.062014008E1,3.771972656E0,-4.877572632E1
1.000140000E0,-1.059410095E1,3.724441528E0,-4.884945679E1
1.010168000E0,-1.057646942E1,3.526809692E0,-4.865713501E1
1.020197000E0,-1.059017181E1,3.700469971E0,-4.876419067E1
1.030225000E0,-1.064617920E1,3.810531616E0,-4.885009766E1
1.040254000E0,-1.036217499E1,3.651763916E0,-4.880749512E1
1.050282000E0,-1.037437439E1,3.541183472E0,-4.892193604E1
1.060311000E0,-1.042525482E1,3.564437866E0,-4.875964355E1
1.070339000E0,-1.027903748E1,3.412750244E0,-4.837417603E1
1.080367000E0,-1.010604095E1,3.334030151E0,-4.858462524E1
1.090396000E0,-1.008293915E1,3.220581055E0,-4.855474854E1
1.100424000E0,-1.003178406E1,3.525588989E0,-4.890933228E1
1.110453000E0,-9.880432129E0,3.560012817E0,-4.861206055E1
1.120481000E0,-1.007068634E1,2.988891602E0,-4.869577026E1
1.130509000E0,-1.016613007E1,2.904266357E0,-4.891415405E1
1.140538000E0,-9.869766235E0,2.731384277E0,-4.880950928E1
1.150566000E0,-1.015892029E1,2.775299072E0,-4.921633911E1
1.160595000E0,-1.048172760E1,2.530975342E0,-4.878738403E1
1.170623000E0,-1.060836792E1,2.430892944E0,-4.868341064E1
1.180652000E0,-1.075394440E1,2.455566406E0,-4.877313232E1
1.190680000E0,-1.075531769E1,2.292007446E0,-4.887854004E1
1.200708000E0,-1.101889038E1,2.579605103E0,-4.869833374E1
1.210737000E0,-1.098731995E1,2.640335083E0,-4.895480347E1
1.220765000E0,-1.106144714E1,2.416473389E0,-4.892709351E1
1.230794000E0,-1.110308075E1,2.276535034E0,-4.891308594E1
1.240822000E0,-1.144902802E1,1.911849976E0,-4.909231567E1
1.250850000E0,-1.165457153E1,2.079513550E0,-4.894000244E1
1.260879000E0,-1.157950592E1,2.043441772E0,-4.841635132E1
1.270907000E0,-1.148011017E1,2.111968994E0,-4.862695312E1
1.280936000E0,-1.170748138E1,2.106353760E0,-4.922927856E1
1.290964000E0,-1.157788849E1,2.185195923E0,-4.900134277E1
1.300993000E0,-1.150938416E1,2.376266479E0,-4.876589966E1
1.311021000E0,-1.130230713E1,2.150421143E0,-4.859017944E1
1.321049000E0,-1.144016266E1,2.099136353E0,-4.855426025E1
1.331078000E0,-1.167807007E1,2.316787720E0,-4.828482056E1
1.341106000E0,-1.146691132E1,2.145553589E0,-4.889083862E1
1.351135000E0,-1.112313080E1,2.180755615E0,-4.926852417E1
1.361163000E0,-1.114647675E1,2.378143311E0,-4.853192139E1
1.371192000E0,-1.104193115E1,1.976379395E0,-4.882321167E1
1.381220000E0,-1.103684235E1,1.872573853E0,-4.908718872E1
1.391248000E0,-1.107499695E1,1.864318848E0,-4.868728638E1
1.401277000E0,-1.135077667E1,1.548568726E0,-4.905371094E1
1.411305000E0,-1.111666870E1,1.635543823E0,-4.916925049E1
1.421334000E0,-1.099795532E1,1.423889160E0,-4.912091064E1
1.431362000E0,-1.076936340E1,1.422103882E0,-4.906982422E1
1.441391000E0,-1.073893738E1,1.085647583E0,-4.885845947E1
1.451419000E0,-1.095215607E1,1.060699463E0,-4.924765015E1
1.461447000E0,-1.058666992E1,9.197540283E-1,-4.882595825E1
1.471476000E0,-1.070404816E1,5.406341553E-1,-4.921368408E1
1.481504000E0,-1.105273438E1,7.028961182E-1,-4.900100708E1
1.491533000E0,-1.108360291E1,-2.584838867E-2,-4.898736572E1
1.501561000E0,-1.133203888E1,1.061859131E-1,-4.877590942E1
1.511589000E0,-1.146427155E1,2.334594727E-3,-4.877282715E1
1.521618000E0,-1.168248749E1,-2.707214355E-1,-4.848001099E1
1.531646000E0,-1.142022705E1,-5.744934082E-2,-4.852731323E1
1.541675000E0,-1.187678528E1,1.915283203E-1,-4.843301392E1
1.551703000E0,-1.213168335E1,3.029632568E-1,-4.832470703E1
1.561732000E0,-1.205802155E1,7.448120117E-1,-4.825772095E1
1.571760000E0,-1.227051544E1,8.121795654E-1,-4.845919800E1
1.581788000E0,-1.231096649E1,9.347534180E-1,-4.918981934E1
1.591817000E0,-1.220912933E1,1.025100708E0,-4.918490601E1
1.601845000E0,-1.218724823E1,1.187316895E0,-4.915695190E1
1.611874000E0,-1.203468323E1,1.011154175E0,-4.901663208E1
1.621902000E0,-1.205361938E1,1.303314209E0,-4.903890991E1
1.631931000E0,-1.203236389E1,1.161148071E0,-4.916921997E1
1.641959000E0,-1.181204987E1,1.438156128E0,-4.869119263E1
1.651987000E0,-1.155602264E1,1.351440430E0,-4.885949707E1
1.662016000E0,-1.147257233E1,1.240737915E0,-4.900866699E1
1.672044000E0,-1.115497589E1,1.216293335E0,-4.922732544E1
1.682073000E0,-1.092816925E1,1.067443848E0,-4.933560181E1
1.692101000E0,-1.089888763E1,1.486923218E0,-4.920626831E1
1.702130000E0,-1.099929047E1,1.420349121E0,-4.951593018E1
1.712158000E0,-1.106394958E1,1.133453369E0,-4.915048218E1
1.722186000E0,-1.087471771E1,1.010742188E0,-4.910214233E1
1.732215000E0,-1.079111481E1,1.160491943E0,-4.913049316E1
1.742243000E0,-1.070915985E1,1.292434692E0,-4.902157593E1
1.752272000E0,-1.081417847E1,1.174331665E0,-4.901068115E1
1.762300000E0,-1.071366119E1,1.064270020E0,-4.884014893E1
1.772326250E0,-1.060420227E1,1.114318848E0,-4.915252686E1
1.782354250E0,-1.061246490E1,1.103439331E0,-4.933435059E1
1.792382250E0,-1.055895996E1,1.116348267E0,-4.922561646E1
1.802411250E0,-1.036127472E1,1.308959961E0,-4.934179688E1
1.812439250E0,-1.058406830E1,1.463241577E0,-4.919644165E1
1.822468250E0,-1.054843140E1,1.081054688E0,-4.925701904E1
1.832496250E0,-1.058863831E1,1.338790894E0,-4.904095459E1
1.842525250E0,-1.049890900E1,1.476898193E0,-4.927310181E1
1.852553250E0,-1.044884491E1,1.313522339E0,-4.921145630E1
1.862581250E0,-1.049504852E1,1.109802246E0,-4.953121948E1
1.872610250E0,-1.024186707E1,1.519744873E0,-4.947885132E1
1.882638250E0,-1.029267120E1,1.552780151E0,-4.972528076E1
1.892667250E0,-1.046431732E1,1.650680542E0,-4.974288940E1
1.902695250E0,-1.037586212E1,1.732940674E0,-4.983007812E1
1.912724250E0,-1.033647919E1,1.711593628E0,-4.939816284E1
1.922752250E0,-1.052631378E1,1.748565674E0,-4.971881104E1
1.932781250E0,-1.062386322E1,1.861770630E0,-4.958383179E1
1.942809250E0,-1.069862366E1,1.939468384E0,-4.911264038E1
1.952837250E0,-1.054977417E1,1.668594360E0,-4.964358521E1
1.962866250E0,-1.089493561E1,1.576293945E0,-4.973229980E1
1.972894250E0,-1.092791748E1,1.639373779E0,-4.936035156E1
1.982923250E0,-1.113525391E1,1.441787720E0,-4.943453979E1
1.992951250E0,-1.100812531E1,1.086807251E0,-4.923818970E1
2.002980250E0,-1.117336273E1,9.938507080E-1,-4.976434326E1
2.013008250E0,-1.120622253E1,9.354858398E-1,-4.950183105E1
2.023036250E0,-1.107384491E1,1.314407349E0,-4.904409790E1
2.033065250E0,-1.093470764E1,1.404510498E0,-4.894686890E1
2.043093250E0,-1.078154755E1,1.436203003E0,-4.906979370E1
2.053122250E0,-1.069074249E1,1.513610840E0,-4.908111572E1
2.063150250E0,-1.065522003E1,1.509490967E0,-4.899371338E1
2.073179250E0,-1.066688538E1,1.673278809E0,-4.885879517E1
2.083207250E0,-1.063143921E1,1.754547119E0,-4.866091919E1
2.093235250E0,-1.076225281E1,1.960906982E0,-4.861914062E1
2.103264250E0,-1.050543213E1,1.629379272E0,-4.908526611E1
2.113292250E0,-1.068805695E1,1.515365601E0,-4.896890259E1
2.123321250E0,-1.055092621E1,1.718887329E0,-4.908929443E1
2.133349250E0,-1.059718323E1,1.722457886E0,-4.896658325E1
2.143378250E0,-1.059284210E1,1.583587646E0,-4.913967896E1
2.153406250E0,-1.055561066E1,1.612625122E0,-4.903472900E1
2.163435250E0,-1.041944885E1,1.668853760E0,-4.962167358E1
2.173463250E0,-1.037494659E1,1.574722290E0,-4.950128174E1
2.183491250E0,-1.030319977E1,1.478347778E0,-4.961859131E1
2.193520250E0,-1.031751251E1,1.672897339E0,-4.949932861E1
2.203548250E0,-1.039010620E1,1.907714844E0,-4.949914551E1
2.213577250E0,-1.039611816E1,1.770843506E0,-4.915597534E1
2.223605250E0,-1.050817108E1,1.804733276E0,-4.940545654E1
2.233634250E0,-1.026864624E1,1.493881226E0,-4.908248901E1
2.243662250E0,-1.026259613E1,1.513839722E0,-4.914712524E1
2.253690250E0,-1.023749542E1,1.726486206E0,-4.905514526E1
2.263719250E0,-1.021107483E1,1.650909424E0,-4.904650879E1
2.273747250E0,-1.015806580E1,1.429550171E0,-4.939044189E1
2.283776250E0,-1.053870392E1,1.613357544E0,-4.923223877E1
2.293804250E0,-1.019447327E1,1.452636719E0,-4.926602173E1
2.303833250E0,-1.040980530E1,1.539199829E0,-4.949877930E1
2.313861250E0,-1.056072998E1,1.475860596E0,-4.930566406E1
2.323890250E0,-1.039597321E1,1.598037720E0,-4.906683350E1
2.333918250E0,-1.027841187E1,1.411605835E0,-4.957949829E1
2.343946250E0,-1.020206451E1,1.555816650E0,-4.932846069E1
2.353975250E0,-9.763496399E0,1.512664795E0,-4.951574707E1
