Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),DGM_Height_m
0.3120764494,49.51325318,10.9586229,304.295101,0.4311531782,349.546507,7.526890607,6.966507515,
1.262070894,49.51325941,10.95862017,304.2215712,0.4311531782,350.9058544,7.41050583,6.969089227,
2.212084532,49.51326851,10.9586161,304.1838489,0.3629232049,323.2749636,8.7399069,8.279160657,
3.161775708,49.513277,10.95861329,304.2137361,0.3629232049,342.277991,6.962879974,6.960523196,
4.11176312,49.51328761,10.95860849,304.2258381,0.4705856144,356.5307221,6.017777625,6.847457773,
5.062091708,49.51329722,10.9586009,304.2572185,0.8299916983,341.0638879,6.68312874,7.889344236,
6.012079716,49.51330681,10.95859164,304.3123985,1.049658537,343.0716663,6.396110784,7.492192553,
6.961772084,49.51331637,10.95858044,304.3771152,0.9551051259,344.2214959,11.08829465,12.81391379,
7.911784291,49.51332456,10.9585769,304.4699531,0.9551051259,348.0210831,7.871380112,8.810459435,
8.861775756,49.51333254,10.9585743,304.4699532,0.9551051259,348.0210811,7.871380112,8.810459435,
9.811792493,49.51333923,10.95857416,304.5652543,0.7591543794,351.7846088,10.6309411,11.3889634,
10.7617861,49.51335011,10.95857527,304.6771848,0.8912627101,358.1570677,11.34854263,11.55591729,
11.711779,49.51336344,10.9585768,304.7809261,1.039548039,0.8963670792,11.03310263,10.71975454,
12.66177309,49.51337772,10.95857946,304.8704198,1.039548039,4.256326914,11.0405987,10.29611043,
13.63376486,49.51339454,10.95857592,304.9545286,1.188356042,358.0010906,11.42644516,10.32044887,
14.63375688,49.51341462,10.95857622,305.0208604,1.328676224,358.1509892,12.0777961,10.7236129,
15.63374877,49.51344053,10.95856718,305.089351,1.758948803,355.6677444,14.34383184,12.59706705,
16.63374078,49.5134653,10.9585645,305.1501165,2.010665894,355.2271463,12.27462808,10.62461499,
17.63373184,49.513488,10.95856048,305.2117588,2.010665894,354.9829012,10.23192762,8.722281241,
18.63372242,49.51351317,10.958557,305.2761488,2.138226271,354.7789129,10.87034998,9.229267603,
19.63371348,49.5135327,10.95855884,305.3432688,2.138226271,356.0987489,10.28864905,8.71937514,
20.63370347,49.51356088,10.95855477,305.399635,2.300806522,356.7373298,8.005517203,6.822505579,
21.63369429,49.51358762,10.95855364,305.4659852,2.385794401,355.7493596,8.048459581,6.822569649,
22.63368344,49.51361191,10.95854618,305.5571906,2.385794401,354.8605526,8.083993943,6.80854116,
23.63367391,49.5136404,10.95854837,305.5908985,2.500908375,357.4188374,8.044180546,6.81069462,
24.63366342,49.51365732,10.95855207,305.5971277,2.500908375,357.1716894,8.016567584,6.819817733,
25.63365269,49.51368166,10.95854304,305.6327448,2.313274622,354.44014,8.050632952,6.839681572,
26.63364303,49.5137042,10.95854075,305.6612938,2.36645627,352.315784,8.07539161,6.844255745,
27.63363218,49.51372276,10.95854426,305.6357148,2.313274622,357.9256305,8.063767047,6.860735762,
28.6336205,49.51374482,10.95853378,305.6133881,1.976956512,359.9729607,7.354500856,3.0,
29.63360941,49.51376535,10.95852665,305.4122157,2.157203854,357.1111683,7.316651727,3.0,
30.63359904,49.51378603,10.9585233,305.1853149,2.14682789,354.7801732,7.090763705,3.0,
31.633587,49.51379625,10.9585205,305.0714868,2.114650814,351.7369843,6.660280725,3.0,
32.63357651,49.51381689,10.95851826,304.7026904,2.136712626,352.4119621,6.594674319,3.0,
33.63356841,49.51383625,10.95850955,305.7179999,2.177814051,347.897663,6.513846258,3.0,
34.63355255,49.51385557,10.95850436,305.8127887,2.131535443,350.3616009,6.413381372,3.0,
35.63354075,49.51387854,10.95849636,304.6413089,2.147832755,347.6057243,6.341349196,3.0,
36.63352919,49.5139017,10.95849057,305.0881052,2.160222542,351.1087716,6.215138168,3.0,
37.63351667,49.5139235,10.95847963,304.9984048,2.192822964,348.3914604,6.13184826,3.0,
38.63350844,49.51394333,10.95846975,305.0174351,2.189492533,347.1193281,6.062108668,3.0,
39.63349354,49.51396041,10.95846239,305.260509,2.184898041,346.3054224,6.016097322,3.0,
40.63348138,49.51397941,10.95846512,304.6125865,2.195657961,351.0338619,5.979478673,3.0,
41.63346934,49.51399988,10.95846007,305.1834073,2.190892915,351.2104549,5.941017906,3.0,
42.63345623,49.5140207,10.95845212,305.4981218,2.16673635,349.6578987,5.929535632,3.0,
43.63344395,49.51403829,10.95844917,306.3245979,2.111805888,349.9698294,5.95703869,3.0,
44.63343191,49.5140596,10.95844319,305.2840339,2.197993895,350.3700897,6.008575351,3.0,
45.63341975,49.51407737,10.9584308,304.9401169,2.152949786,346.2821625,6.060928148,3.0,
46.63340712,49.51409885,10.95843057,305.9346878,2.158123858,350.6545271,6.091301392,3.0,
47.63339484,49.51411927,10.95842831,305.3074615,2.157644296,354.2482312,6.111512748,3.0,
48.63338161,49.51413915,10.95842141,305.5595022,2.152050442,351.8808124,6.110274119,3.0,
49.63336968,49.51416037,10.9584141,305.597237,2.180603793,351.6848546,6.070653084,3.0,
50.63335693,49.51418135,10.95840718,305.7581376,2.159421826,348.4610651,6.005950471,3.0,
51.63334548,49.51420296,10.95839928,306.2572559,2.180857454,346.8262676,5.967766163,3.0,
52.63333237,49.51422275,10.958393,305.6766601,2.227515992,347.5505785,5.94160966,3.0,
53.63331914,49.51424493,10.95838718,306.0184945,2.241676672,348.9855147,5.899850117,3.0,
54.63330662,49.51426604,10.95838566,306.1222136,2.225746782,351.9220812,5.889329869,3.0,
55.63329387,49.51428749,10.95838347,305.79951,2.240109749,355.688784,5.908800772,3.0,
56.63328052,49.51430845,10.95838027,305.9864733,2.238212289,356.3279491,5.976066445,3.0,
57.63326788,49.51432982,10.95838038,305.8890173,2.207539825,358.0172886,6.095772563,3.0,
58.63325536,49.51434999,10.95837434,306.1463149,2.161306603,356.9540472,6.194734269,3.0,
59.63324201,49.51437006,10.95836646,305.7406134,2.134731023,356.5794393,6.187744875,3.0,
60.63322973,49.51439182,10.9583673,305.4646586,2.149117932,356.415671,6.108038592,3.0,
61.63321674,49.51441252,10.95836434,305.5398544,2.149417328,356.3518746,6.029840236,3.0,
62.63320398,49.5144334,10.95835717,306.2184261,2.163068327,351.2950089,5.992589519,3.0,
63.63319087,49.51445108,10.95835368,305.2615861,2.170187983,348.6612974,5.93679804,3.0,
64.63317859,49.5144708,10.9583521,305.3121979,2.223892505,348.5027238,5.878778265,3.0,
65.63316584,49.5144887,10.95834938,305.1360544,2.232665483,349.5417862,5.809186821,3.0,
66.63315237,49.51451138,10.95834631,306.0159131,2.14726589,354.7612991,5.762118471,3.0,
67.63313985,49.51453249,10.95833979,305.5057989,2.214867535,354.1488345,5.672928692,3.0,
68.63312697,49.51455393,10.95833614,305.312039,2.222610121,353.4184138,5.586166159,3.0,
69.63311362,49.5145758,10.95833101,305.7373931,2.207634094,353.6356974,5.621032392,3.0,
70.63310063,49.5145977,10.95833148,305.3719489,2.177248804,357.1111227,5.652646853,3.0,
71.63308918,49.51461949,10.9583265,305.7377276,2.146564745,355.1241191,5.661669322,3.0,
72.63307512,49.51464022,10.95831854,305.3857407,2.071006272,353.778952,5.621008923,3.0,
73.63306141,49.51466123,10.95831193,305.4097181,2.141079848,352.9543335,5.610622883,3.0,
74.63304973,49.51468392,10.95830759,305.456335,2.228005606,350.946389,5.770367049,3.0,
75.6330359,49.5147023,10.95830793,305.7593803,2.230784232,351.1953343,5.773560181,3.0,
76.63302326,49.51472259,10.95829387,305.5611459,2.26670055,345.1022894,5.694545443,3.0,
77.63301039,49.51474272,10.95828739,305.493459,2.253359253,347.6161205,5.616642257,3.0,
78.63299668,49.5147664,10.95828346,305.6945601,2.305145611,350.0247806,5.709590274,3.0,
79.63298345,49.51478605,10.9582801,305.5912443,2.237925934,350.7794818,5.524110761,3.0,
80.63297129,49.51480841,10.95827266,305.6311921,2.26303375,348.3076711,5.654351089,3.0,
81.63295805,49.51483042,10.95826839,305.4078877,2.108452324,352.6953307,5.685403533,3.0,
82.6329459,49.51485229,10.95826769,305.2350575,2.12636809,353.8697751,5.711417157,3.0,
83.63293183,49.51487224,10.95826346,305.1984401,2.116004814,352.3612444,5.69313708,3.0,
84.63291919,49.51489238,10.95825606,305.3955459,2.145740672,349.8535663,5.639946728,3.0,
85.63290596,49.51491189,10.95824361,304.7783609,2.216547884,344.3967102,5.507404058,3.0,
86.6328932,49.51493337,10.95823851,305.2488239,2.286090744,344.4495692,5.49934907,3.0,
87.63287926,49.51495512,10.95823925,304.9599565,2.324721936,351.4690262,5.497145342,3.0,
88.63286722,49.51497902,10.95824076,305.9667069,2.326114733,356.2241076,5.541718989,3.0,
89.63285363,49.51500059,10.95823568,304.7103134,2.280205012,355.8996535,5.517177969,3.0,
90.63284063,49.51502204,10.95822977,306.007808,2.215818322,355.5979259,5.456394571,3.0,
91.6328274,49.51504173,10.95822831,305.4022764,2.227789028,355.9563976,5.361492689,3.0,
92.63281691,49.51506303,10.95822341,305.0189909,2.25418656,351.6787245,5.331566063,3.0,
93.63280094,49.51508589,10.95822156,305.3030686,2.171712739,355.792437,5.310995243,3.0,
94.63278878,49.51511031,10.95821367,305.5118173,2.258894049,353.6120685,5.294036113,3.0,
95.63277531,49.51513156,10.95821605,305.5258481,2.285167178,357.2019773,5.287835534,3.0,
96.63276279,49.51515268,10.95820559,304.9845542,2.324084548,352.0470313,5.472379497,3.0,
97.63274992,49.51517375,10.95819601,305.2760222,2.27706744,348.2686803,5.41380713,3.0,
98.63273728,49.51519619,10.95819043,305.5961316,2.338824863,346.6066669,5.274108187,3.0,
99.63272369,49.51521774,10.95819063,305.1109363,2.334332951,348.4756358,5.309260776,3.0,
100.6327099,49.51523626,10.95818536,305.2443219,2.19173105,348.5419696,5.363584503,3.0,
101.6326967,49.51525888,10.95817994,305.7875727,2.32118738,349.0367652,5.428769031,3.0,
102.6326842,49.51527784,10.95817673,306.6118426,2.148180175,353.9647399,5.491915773,3.0,
103.6326721,49.5153021,10.95817423,305.0331291,2.365979449,354.8266481,5.398149674,3.0,
104.6326575,49.51532337,10.95817128,305.0791971,2.350903278,354.0779751,5.311351883,3.0,
