id,Route8,distance,angle,Z_1
,Run8,0,350.389320330878,304.536010742188
,Run8,1,350.389320330878,304.513000488281
,Run8,2,350.389320330878,304.441009521484
,Run8,3,350.389320330878,304.372009277344
,Run8,4,350.389320330878,304.555023193359
,Run8,5,350.389320330878,304.542022705078
,Run8,6,350.389320330878,304.527008056641
,Run8,7,350.389320330878,304.521026611328
,Run8,8,350.389320330878,304.502014160156
,Run8,9,350.389320330878,304.533020019531
,Run8,10,350.389320330878,304.60302734375
,Run8,11,350.389320330878,304.558013916016
,Run8,12,350.389320330878,304.599029541016
,Run8,13,350.389320330878,304.5830078125
,Run8,14,350.389320330878,304.555023193359
,Run8,15,350.389320330878,304.490020751953
,Run8,16,350.389320330878,304.601013183594
,Run8,17,350.389320330878,304.571014404297
,Run8,18,350.389320330878,304.576019287109
,Run8,19,350.389320330878,304.508026123047
,Run8,20,350.389320330878,304.467010498047
,Run8,21,350.389320330878,304.439025878906
,Run8,22,350.389320330878,304.632019042969
,Run8,23,350.389320330878,304.618011474609
,Run8,24,350.389320330878,304.588012695312
,Run8,25,350.389320330878,304.563018798828
,Run8,26,350.389320330878,304.560028076172
,Run8,27,350.389320330878,304.523010253906
,Run8,28,350.389320330878,304.623016357422
,Run8,29,350.389320330878,304.631011962891
,Run8,30,350.389320330878,304.622009277344
,Run8,31,350.389320330878,304.569000244141
,Run8,32,350.389320330878,304.539001464844
,Run8,33,350.389320330878,304.472015380859
,Run8,34,350.389320330878,304.620025634766
,Run8,35,350.389320330878,304.607025146484
,Run8,36,350.389320330878,304.607025146484
,Run8,37,350.389320330878,304.596008300781
,Run8,38,350.389320330878,304.535003662109
,Run8,39,350.389320330878,304.535003662109
,Run8,40,350.389320330878,304.633026123047
,Run8,41,350.389320330878,304.626007080078
,Run8,42,350.389320330878,304.641021728516
,Run8,43,350.389320330878,304.631011962891
,Run8,44,350.389320330878,304.595001220703
,Run8,45,350.389320330878,304.555999755859
,Run8,46,350.389320330878,304.632019042969
,Run8,47,350.389320330878,304.652008056641
,Run8,48,350.389320330878,304.649017333984
,Run8,49,350.389320330878,304.638000488281
,Run8,50,350.389320330878,304.64501953125
,Run8,51,350.389320330878,304.608001708984
,Run8,52,350.389320330878,304.644012451172
,Run8,53,350.389320330878,304.672027587891
,Run8,54,350.389320330878,304.639007568359
,Run8,55,350.389320330878,304.641021728516
,Run8,56,350.389320330878,304.650024414062
,Run8,57,350.389320330878,304.6240234375
,Run8,58,350.389320330878,304.673004150391
,Run8,59,350.389320330878,304.695007324219
,Run8,60,350.389320330878,304.690002441406
,Run8,61,350.389320330878,304.679016113281
,Run8,62,350.389320330878,304.685028076172
,Run8,63,350.389320330878,304.653015136719
,Run8,64,350.389320330878,304.714019775391
,Run8,65,350.389320330878,304.703002929688
,Run8,66,350.389320330878,304.693023681641
,Run8,67,350.389320330878,304.696014404297
,Run8,68,350.389320330878,304.702026367188
,Run8,69,350.389320330878,304.679016113281
,Run8,70,350.389320330878,304.731018066406
,Run8,71,350.389320330878,304.688018798828
,Run8,72,350.389320330878,304.718017578125
,Run8,73,350.389320330878,304.719024658203
,Run8,74,350.389320330878,304.700012207031
,Run8,75,350.389320330878,304.678009033203
,Run8,76,350.389320330878,304.705017089844
,Run8,77,350.389320330878,304.710021972656
,Run8,78,350.389320330878,304.696014404297
,Run8,79,350.389320330878,304.715026855469
,Run8,80,350.389320330878,304.697021484375
,Run8,81,350.389320330878,304.710021972656
,Run8,82,350.389320330878,304.705017089844
,Run8,83,350.389320330878,304.720001220703
,Run8,84,350.389320330878,304.7080078125
,Run8,85,350.389320330878,304.712005615234
,Run8,86,350.389320330878,304.678009033203
,Run8,87,350.389320330878,304.679016113281
,Run8,88,350.389320330878,304.706024169922
,Run8,89,350.389320330878,304.709014892578
,Run8,90,350.389320330878,304.684020996094
,Run8,91,350.389320330878,304.694000244141
,Run8,92,350.389320330878,304.672027587891
,Run8,93,350.389320330878,304.631011962891
,Run8,94,350.389320330878,304.689025878906
,Run8,95,350.389320330878,304.676025390625
,Run8,96,350.389320330878,304.689025878906
,Run8,97,350.389320330878,304.68701171875
,Run8,98,350.389320330878,304.657012939453
,Run8,99,350.389320330878,304.595001220703
,Run8,100,350.389320330878,304.661010742188
,Run8,101,350.389320330878,304.688018798828
,Run8,102,350.389320330878,304.692016601562
,Run8,103,350.389320330878,304.684020996094
,Run8,104,350.389320330878,304.659027099609
,Run8,105,350.389320330878,304.596008300781
,Run8,106,350.389320330878,304.682006835938
,Run8,107,350.389320330878,304.693023681641
,Run8,108,350.389320330878,304.680999755859
,Run8,109,350.389320330878,304.689025878906
,Run8,110,350.389320330878,304.689025878906
,Run8,111,350.389320330878,304.653015136719
,Run8,112,350.389320330878,304.660003662109
,Run8,113,350.389320330878,304.685028076172
,Run8,114,350.389320330878,304.683013916016
,Run8,115,350.389320330878,304.680023193359
,Run8,116,350.389320330878,304.68701171875
,Run8,117,350.389320330878,304.663024902344
,Run8,118,350.389320330878,304.674011230469
,Run8,119,350.389320330878,304.68701171875
,Run8,120,350.389320330878,304.684020996094
,Run8,121,350.389320330878,304.663024902344
,Run8,122,350.389320330878,304.689025878906
,Run8,123,350.389320330878,304.663024902344
,Run8,124,350.389320330878,304.688018798828
,Run8,125,350.389320330878,304.673004150391
,Run8,126,350.389320330878,304.679016113281
,Run8,127,350.389320330878,304.663024902344
,Run8,128,350.389320330878,304.675018310547
,Run8,129,350.389320330878,304.677001953125
,Run8,130,350.389320330878,304.660003662109
,Run8,131,350.389320330878,304.656005859375
,Run8,132,350.389320330878,304.659027099609
,Run8,133,350.389320330878,304.683013916016
,Run8,134,350.389320330878,304.689025878906
,Run8,135,350.389320330878,304.661010742188
,Run8,136,350.389320330878,304.673004150391
,Run8,137,350.389320330878,304.689025878906
,Run8,138,350.389320330878,304.659027099609
,Run8,139,350.389320330878,304.678009033203
,Run8,140,350.389320330878,304.665008544922
,Run8,141,350.389320330878,304.678009033203
,Run8,142,350.389320330878,304.673004150391
,Run8,143,350.389320330878,304.669006347656
,Run8,144,350.389320330878,304.653015136719
,Run8,145,350.389320330878,304.663024902344
,Run8,146,350.389320330878,304.673004150391
,Run8,147,350.389320330878,304.666015625
,Run8,148,350.389320330878,304.680999755859
,Run8,149,350.389320330878,304.680023193359
,Run8,150,350.389320330878,304.680999755859
,Run8,151,350.389320330878,304.680023193359
,Run8,152,350.389320330878,304.699005126953
,Run8,153,350.389320330878,304.678009033203
,Run8,154,350.389320330878,304.676025390625
,Run8,155,350.389320330878,304.683013916016
,Run8,156,350.389320330878,304.682006835938
,Run8,157,350.389320330878,304.695007324219
,Run8,158,350.389320330878,304.680023193359
,Run8,159,350.389320330878,304.674011230469
,Run8,160,350.389320330878,304.688018798828
,Run8,161,350.389320330878,304.699005126953
,Run8,162,350.389320330878,304.720001220703
,Run8,163,350.389320330878,304.732025146484
,Run8,164,350.389320330878,304.705017089844
,Run8,165,350.389320330878,304.707000732422
,Run8,166,350.389320330878,304.699005126953
,Run8,167,350.389320330878,304.725006103516
,Run8,168,350.389320330878,304.713012695312
,Run8,169,350.389320330878,304.723022460938
,Run8,170,350.389320330878,304.724029541016
,Run8,171,350.389320330878,304.741027832031
,Run8,172,350.389320330878,304.748016357422
,Run8,173,350.389320330878,304.739013671875
,Run8,174,350.389320330878,304.743011474609
,Run8,175,350.389320330878,304.775024414062
,Run8,176,350.389320330878,304.766021728516
,Run8,177,350.389320330878,304.739013671875
,Run8,178,350.389320330878,304.736022949219
,Run8,179,350.389320330878,304.736999511719
,Run8,180,350.389320330878,304.736999511719
,Run8,181,350.389320330878,304.736999511719
,Run8,182,350.389320330878,304.7080078125
,Run8,183,350.389320330878,304.711029052734
,Run8,184,350.389320330878,304.685028076172
,Run8,185,350.389320330878,304.630004882812
,Run8,186,350.389320330878,304.615020751953
,Run8,187,350.389320330878,304.602020263672
,Run8,188,350.389320330878,304.594024658203
,Run8,189,350.389320330878,304.581024169922
,Run8,190,350.389320330878,304.541015625
,Run8,191,350.389320330878,304.523010253906
,Run8,192,350.389320330878,304.218017578125
,Run8,193,350.389320330878,303.814025878906
,Run8,194,350.389320330878,303.394012451172
,Run8,195,350.389320330878,303.568023681641
,Run8,196,350.389320330878,304.051025390625
,Run8,197,350.389320330878,304.530029296875
,Run8,198,350.389320330878,304.548004150391
,Run8,199,350.389320330878,304.574005126953
,Run8,200,350.389320330878,304.60400390625
,Run8,201,350.389320330878,304.626007080078
,Run8,202,350.389320330878,304.636016845703
,Run8,203,350.389320330878,304.637023925781
,Run8,204,350.389320330878,304.648010253906
,Run8,205,350.389320330878,304.674011230469
,Run8,206,350.389320330878,304.717010498047
,Run8,207,350.389320330878,304.704010009766
,Run8,208,350.389320330878,304.702026367188
,Run8,209,350.389320330878,304.720001220703
,Run8,210,350.389320330878,304.719024658203
,Run8,211,350.389320330878,304.731018066406
,Run8,212,350.389320330878,304.741027832031
,Run8,213,350.389320330878,304.769012451172
,Run8,214,350.389320330878,304.765014648438
,Run8,215,350.389320330878,304.755004882812
,Run8,216,350.389320330878,304.75
,Run8,217,350.389320330878,304.747009277344
,Run8,218,350.389320330878,304.756011962891
,Run8,219,350.389320330878,304.779022216797
,Run8,220,350.389320330878,304.7490234375
,Run8,221,350.389320330878,304.7490234375
,Run8,222,350.389320330878,304.760009765625
,Run8,223,350.389320330878,304.763000488281
,Run8,224,350.389320330878,304.778015136719
,Run8,225,350.389320330878,304.783020019531
,Run8,226,350.389320330878,304.785003662109
,Run8,227,350.389320330878,304.778015136719
,Run8,228,350.389320330878,304.771026611328
,Run8,229,350.389320330878,304.780029296875
,Run8,230,350.389320330878,304.765014648438
,Run8,231,350.389320330878,304.781005859375
,Run8,232,350.389320330878,304.805999755859
,Run8,233,350.389320330878,304.792999267578
,Run8,234,350.389320330878,304.785003662109
,Run8,235,350.389320330878,304.799011230469
,Run8,236,350.389320330878,304.787017822266
,Run8,237,350.389320330878,304.813018798828
,Run8,238,350.389320330878,304.813018798828
,Run8,239,350.389320330878,304.814025878906
,Run8,240,350.389320330878,304.801025390625
,Run8,241,350.389320330878,304.796020507812
,Run8,242,350.389320330878,304.786010742188
,Run8,243,350.389320330878,304.81201171875
,Run8,244,350.389320330878,304.818023681641
,Run8,245,350.389320330878,304.819000244141
,Run8,246,350.389320330878,304.81201171875
,Run8,247,350.389320330878,304.808013916016
,Run8,248,350.389320330878,304.802001953125
,Run8,249,350.389320330878,304.834014892578
,Run8,250,350.389320330878,304.813018798828
,Run8,251,350.389320330878,304.840026855469
,Run8,252,350.389320330878,304.805023193359
,Run8,253,350.389320330878,304.805023193359
,Run8,254,350.389320330878,304.807006835938
,Run8,255,350.389320330878,304.836029052734
,Run8,256,350.389320330878,304.830017089844
,Run8,257,350.389320330878,304.822021484375
,Run8,258,350.389320330878,304.802001953125
,Run8,259,350.389320330878,304.815002441406
,Run8,260,350.389320330878,304.788024902344
,Run8,261,350.389320330878,304.823028564453
,Run8,262,350.389320330878,304.837005615234
,Run8,263,350.389320330878,304.835021972656
,Run8,264,350.389320330878,304.816009521484
,Run8,265,350.389320330878,304.817016601562
,Run8,266,350.389320330878,304.822021484375
,Run8,267,350.389320330878,304.838012695312
,Run8,268,350.389320330878,304.831024169922
,Run8,269,350.389320330878,304.805999755859
,Run8,270,350.389320330878,304.830017089844
,Run8,271,350.389320330878,304.828002929688
,Run8,272,350.389320330878,304.798004150391
,Run8,273,350.389320330878,304.830017089844
,Run8,274,350.389320330878,304.820007324219
,Run8,275,350.389320330878,304.846008300781
,Run8,276,350.389320330878,304.813018798828
,Run8,277,350.389320330878,304.829010009766
,Run8,278,350.389320330878,304.805023193359
,Run8,279,350.389320330878,304.861022949219
,Run8,280,350.389320330878,304.813018798828
,Run8,281,350.389320330878,304.834014892578
,Run8,282,350.389320330878,304.814025878906
,Run8,283,350.389320330878,304.818023681641
,Run8,284,350.389320330878,304.805023193359
,Run8,285,350.389320330878,304.835021972656
,Run8,286,350.389320330878,304.841003417969
,Run8,287,350.389320330878,304.828002929688
,Run8,288,350.389320330878,304.818023681641
,Run8,289,350.389320330878,304.825012207031
,Run8,290,350.389320330878,304.808013916016
,Run8,291,350.389320330878,304.839019775391
,Run8,292,350.389320330878,304.844024658203
,Run8,293,350.389320330878,304.844024658203
,Run8,294,350.389320330878,304.8330078125
,Run8,295,350.389320330878,304.8330078125
,Run8,296,350.389320330878,304.815002441406
,Run8,297,350.389320330878,304.847015380859
,Run8,298,350.389320330878,304.848022460938
,Run8,299,351.384351815858,304.844024658203
,Run8,300,351.384351815858,304.825012207031
,Run8,301,351.384351815858,304.842010498047
,Run8,302,351.384351815858,304.836029052734
,Run8,303,351.384351815858,304.849029541016
,Run8,304,351.384351815858,304.868011474609
,Run8,305,351.384351815858,304.85400390625
,Run8,306,351.384351815858,304.845001220703
,Run8,307,351.384351815858,304.855010986328
,Run8,308,351.384351815858,304.836029052734
,Run8,309,351.384351815858,304.841003417969
,Run8,310,351.384351815858,304.883026123047
,Run8,311,351.384351815858,304.861022949219
,Run8,312,351.384351815858,304.85400390625
,Run8,313,351.384351815858,304.835021972656
,Run8,314,351.384351815858,304.863006591797
,Run8,315,351.384351815858,304.841003417969
,Run8,316,351.384351815858,304.844024658203
,Run8,317,351.384351815858,304.868011474609
,Run8,318,351.384351815858,304.863006591797
,Run8,319,351.384351815858,304.850006103516
,Run8,320,351.384351815858,304.855010986328
,Run8,321,351.384351815858,304.835021972656
,Run8,322,351.384351815858,304.843017578125
,Run8,323,351.384351815858,304.815002441406
,Run8,324,351.384351815858,304.870025634766
,Run8,325,351.384351815858,304.848022460938
,Run8,326,351.384351815858,304.861022949219
,Run8,327,351.384351815858,304.839019775391
,Run8,328,351.384351815858,304.820007324219
,Run8,329,351.384351815858,304.798004150391
,Run8,330,351.384351815858,304.89501953125
,Run8,331,351.384351815858,304.885009765625
,Run8,332,351.384351815858,304.85302734375
,Run8,333,351.384351815858,304.860015869141
,Run8,334,351.384351815858,304.867004394531
,Run8,335,351.384351815858,304.837005615234
,Run8,336,351.384351815858,304.848022460938
,Run8,337,351.384351815858,304.856018066406
,Run8,338,351.384351815858,304.844024658203
,Run8,339,351.384351815858,304.843017578125
,Run8,340,351.384351815858,304.827026367188
,Run8,341,351.384351815858,304.826019287109
,Run8,342,351.384351815858,304.81201171875
,Run8,343,351.384351815858,304.819000244141
,Run8,344,351.384351815858,304.823028564453
,Run8,345,351.384351815858,304.852020263672
,Run8,346,351.384351815858,304.845001220703
,Run8,347,351.384351815858,304.860015869141
,Run8,348,351.384351815858,304.810028076172
,Run8,349,351.384351815858,304.816009521484
,Run8,350,351.384351815858,304.861999511719
,Run8,351,351.384351815858,304.861022949219
,Run8,352,351.384351815858,304.863006591797
,Run8,353,351.384351815858,304.856018066406
,Run8,354,351.384351815858,304.846008300781
,Run8,355,351.384351815858,304.837005615234
,Run8,356,351.384351815858,304.832000732422
,Run8,357,351.384351815858,304.866027832031
,Run8,358,351.384351815858,304.857025146484
,Run8,359,351.384351815858,304.815002441406
,Run8,360,351.384351815858,304.834014892578
,Run8,361,351.384351815858,304.8330078125
,Run8,362,351.384351815858,304.838012695312
,Run8,363,351.384351815858,304.81201171875
,Run8,364,351.384351815858,304.842010498047
,Run8,365,351.384351815858,304.825012207031
,Run8,366,351.384351815858,304.828002929688
,Run8,367,351.384351815858,304.8330078125
,Run8,368,351.384351815858,304.815002441406
,Run8,369,351.384351815858,304.814025878906
,Run8,370,351.384351815858,304.845001220703
,Run8,371,351.384351815858,304.831024169922
,Run8,372,351.384351815858,304.815002441406
,Run8,373,351.384351815858,304.823028564453
,Run8,374,351.384351815858,304.792999267578
,Run8,375,351.384351815858,304.823028564453
,Run8,376,351.384351815858,304.799011230469
,Run8,377,351.384351815858,304.846008300781
,Run8,378,351.384351815858,304.826019287109
,Run8,379,351.384351815858,304.817016601562
,Run8,380,351.384351815858,304.802001953125
,Run8,381,351.384351815858,304.810028076172
,Run8,382,351.384351815858,304.815002441406
,Run8,383,351.384351815858,304.816009521484
,Run8,384,351.384351815858,304.809020996094
,Run8,385,351.384351815858,304.811004638672
,Run8,386,351.384351815858,304.817016601562
,Run8,387,351.384351815858,304.825012207031
,Run8,388,351.384351815858,304.832000732422
,Run8,389,351.384351815858,304.844024658203
,Run8,390,351.384351815858,304.824005126953
,Run8,391,351.384351815858,304.827026367188
,Run8,392,351.384351815858,304.842010498047
,Run8,393,351.384351815858,304.835021972656
,Run8,394,351.384351815858,304.802001953125
,Run8,395,351.384351815858,304.824005126953
,Run8,396,351.384351815858,304.797027587891
,Run8,397,351.384351815858,304.827026367188
,Run8,398,351.384351815858,304.815002441406
,Run8,399,351.384351815858,304.822021484375
,Run8,400,351.384351815858,304.819000244141
,Run8,401,351.384351815858,304.816009521484
,Run8,402,351.384351815858,304.780029296875
,Run8,403,351.384351815858,304.751007080078
,Run8,404,351.384351815858,304.819000244141
,Run8,405,351.384351815858,304.818023681641
,Run8,406,351.384351815858,304.81201171875
,Run8,407,351.384351815858,304.816009521484
,Run8,408,351.384351815858,304.805023193359
,Run8,409,351.384351815858,304.755004882812
,Run8,410,351.384351815858,304.816009521484
,Run8,411,351.384351815858,304.829010009766
,Run8,412,351.384351815858,304.846008300781
,Run8,413,351.384351815858,304.81201171875
,Run8,414,351.384351815858,304.794006347656
,Run8,415,351.384351815858,304.766021728516
,Run8,416,351.384351815858,304.726013183594
,Run8,417,351.384351815858,304.836029052734
,Run8,418,351.384351815858,304.836029052734
,Run8,419,351.384351815858,304.836029052734
,Run8,420,351.384351815858,304.848022460938
,Run8,421,351.384351815858,304.801025390625
,Run8,422,351.384351815858,304.760009765625
,Run8,423,351.384351815858,304.717010498047
,Run8,424,351.384351815858,304.8330078125
,Run8,425,351.384351815858,304.836029052734
,Run8,426,351.384351815858,304.823028564453
,Run8,427,351.384351815858,304.819000244141
,Run8,428,351.384351815858,304.780029296875
,Run8,429,351.384351815858,304.759002685547
,Run8,430,351.384351815858,304.831024169922
,Run8,431,351.384351815858,304.829010009766
,Run8,432,351.384351815858,304.842010498047
,Run8,433,351.384351815858,304.815002441406
,Run8,434,351.384351815858,304.797027587891
,Run8,435,351.384351815858,304.741027832031
,Run8,436,351.384351815858,304.715026855469
,Run8,437,351.384351815858,304.863006591797
,Run8,438,351.384351815858,304.85302734375
,Run8,439,351.384351815858,304.823028564453
,Run8,440,351.384351815858,304.809020996094
,Run8,441,351.384351815858,304.781005859375
,Run8,442,351.384351815858,304.726013183594
