"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.050111250E-1,1.257385254E-2,1.289418640E0,8.746761017E0
8.150391250E-1,4.604425049E-1,1.177152100E0,8.603209534E0
8.250681250E-1,9.536668396E-1,1.260229340E0,8.865314484E0
8.350961250E-1,1.584006042E0,1.171463928E0,9.489666138E0
8.451241250E-1,1.117426300E0,9.428892517E-1,9.639654236E0
8.551531250E-1,2.079176331E-1,5.330415344E-1,9.132359161E0
8.651811250E-1,-9.265731812E-2,4.568499756E-1,9.010811920E0
8.752101250E-1,7.409591675E-2,7.803273010E-1,8.927884369E0
8.852381250E-1,5.553451538E-1,1.195563812E0,8.682694244E0
8.952671250E-1,8.872050476E-1,1.496138763E0,8.648864594E0
9.052951250E-1,1.024918671E0,1.574276276E0,8.719667358E0
9.153231250E-1,1.107546844E0,1.514999542E0,8.829987946E0
9.253521250E-1,1.076112213E0,1.403032379E0,8.998986511E0
9.353801250E-1,1.007554779E0,1.309776306E0,9.006920013E0
9.454091250E-1,9.830058289E-1,1.393901367E0,8.922794952E0
9.554371250E-1,9.785151672E-1,1.620679779E0,8.660989380E0
9.654651250E-1,1.036444702E0,1.820065155E0,8.646319885E0
9.754941250E-1,1.123862915E0,1.889071655E0,8.708889771E0
9.855221250E-1,1.123413849E0,1.916165314E0,8.576864319E0
9.955511250E-1,1.082249451E0,2.022144928E0,8.509953461E0
1.005579125E0,1.079555054E0,2.298170929E0,8.718918915E0
1.015608125E0,1.488055573E0,2.622097321E0,9.011560364E0
1.025636125E0,1.408271484E0,2.692750397E0,8.510701904E0
1.035664125E0,1.201551361E0,2.663860474E0,7.942932587E0
1.045693125E0,7.161108398E-1,2.678080902E0,8.724607086E0
1.055721125E0,2.974314880E-1,2.787653046E0,9.853559418E0
1.065750125E0,-1.046324158E-1,2.914289703E0,9.731563110E0
1.075778125E0,-5.038522339E-1,2.990780640E0,8.681047668E0
1.085806125E0,-5.999523926E-1,2.831511841E0,8.297844543E0
1.095835125E0,-5.532495117E-1,2.638862457E0,8.747659149E0
1.105863125E0,-4.987628174E-1,2.488724670E0,9.203161926E0
1.115892125E0,-4.342469788E-1,2.453398132E0,9.435778198E0
1.125920125E0,-5.804928589E-1,2.411784668E0,9.991572418E0
1.135949125E0,-1.055455170E0,2.509980469E0,1.115420471E1
1.145977125E0,-1.682800598E0,3.102747803E0,1.169517975E1
1.156005125E0,-2.221380615E0,3.811074829E0,1.187809937E1
1.166034125E0,-2.763702850E0,4.354145508E0,1.228794708E1
1.176062125E0,-3.202440491E0,4.634961548E0,1.259166550E1
1.186091125E0,-3.736380157E0,4.715344391E0,1.252505402E1
1.196119125E0,-3.759432220E0,4.852309570E0,1.196402069E1
1.206147125E0,-3.711232452E0,5.006339264E0,1.116468292E1
1.216176125E0,-4.029021606E0,5.077740784E0,1.026146118E1
1.226204125E0,-4.865931244E0,4.905449066E0,9.180109863E0
1.236233125E0,-5.517226868E0,4.735702057E0,8.239615631E0
1.246261125E0,-5.796695709E0,4.676874390E0,7.888595581E0
1.256290125E0,-6.123166809E0,5.004842377E0,8.527167664E0
1.266318125E0,-6.627019043E0,5.789810028E0,9.388177185E0
1.276346125E0,-6.339766388E0,5.981561279E0,9.735904083E0
1.286375125E0,-5.645510101E0,5.614374847E0,9.713450775E0
1.296403125E0,-5.242997131E0,5.548362122E0,9.610165558E0
1.306432125E0,-4.920867004E0,5.786816254E0,9.616153107E0
1.316460125E0,-4.741988983E0,5.934259644E0,9.967173157E0
1.326489125E0,-4.467160492E0,5.343887329E0,1.059317139E1
1.336517125E0,-3.553011475E0,4.887636108E0,1.207314377E1
1.346545125E0,-4.248016205E0,4.671036530E0,1.038914566E1
1.356574125E0,-3.565285950E0,4.928800507E0,9.463021545E0
1.366602125E0,-3.078797607E0,5.245541840E0,1.003153931E1
1.376631125E0,-4.226610718E0,5.417384491E0,9.944270782E0
1.386659125E0,-4.567901001E0,5.042563934E0,1.030951126E1
1.396688125E0,-4.449048157E0,4.418661346E0,1.033046768E1
1.406716125E0,-4.044439545E0,3.882775726E0,1.046264282E1
1.416744125E0,-3.777394867E0,3.317551117E0,1.034453842E1
1.426773125E0,-3.544628906E0,2.819836121E0,1.018347336E1
1.436801125E0,-3.315006409E0,2.400408325E0,1.003947281E1
1.446830125E0,-3.127147064E0,2.033072205E0,9.428742828E0
1.456858125E0,-2.908002777E0,1.863325195E0,8.752000122E0
1.466887125E0,-2.790197754E0,1.986219635E0,8.172854462E0
1.476915125E0,-3.015329590E0,2.215393066E0,7.715106354E0
1.486943125E0,-3.599564667E0,2.433339844E0,7.264094238E0
1.496972125E0,-4.115541687E0,2.789149933E0,6.609954529E0
1.507000125E0,-4.300856323E0,3.301684113E0,5.893544312E0
1.517033000E0,-4.296964417E0,3.660637665E0,5.400020599E0
1.527061000E0,-4.072730713E0,3.891158295E0,5.050198059E0
1.537090000E0,-3.653302917E0,4.086651764E0,4.822521515E0
1.547118000E0,-3.206482086E0,4.350552979E0,4.692292328E0
1.557146000E0,-2.864293671E0,4.720733185E0,4.766388245E0
1.567175000E0,-2.556383972E0,5.106630707E0,5.023703156E0
1.577203000E0,-2.556533661E0,5.495372314E0,5.595963135E0
1.587232000E0,-2.776576080E0,5.742209015E0,6.609655151E0
1.597260000E0,-2.442321167E0,5.736371155E0,7.190597076E0
1.607289000E0,-2.600841522E0,5.782924347E0,6.580166473E0
1.617317000E0,-2.977757721E0,6.028264160E0,6.208040314E0
1.627345000E0,-2.871029663E0,6.319259033E0,6.005960541E0
1.637374000E0,-2.532583466E0,6.430178375E0,5.960455170E0
1.647402000E0,-2.285297699E0,6.441255341E0,6.107599182E0
1.657431000E0,-1.941762085E0,6.177803192E0,5.756878510E0
1.667459000E0,-1.683399353E0,5.854475555E0,4.936883698E0
1.677488000E0,-1.456022186E0,5.710025940E0,4.547693024E0
1.687516000E0,-1.127605133E0,5.668711853E0,4.516857147E0
1.697544000E0,-9.032217407E-1,5.766458588E0,4.565206604E0
1.707573000E0,-8.051756287E-1,5.772146759E0,4.532275085E0
1.717601000E0,-5.695655823E-1,5.458848267E0,4.338278503E0
1.727630000E0,-2.157014465E-1,5.228627014E0,4.192781067E0
1.737658000E0,1.992356873E-1,5.182073822E0,4.010609894E0
1.747687000E0,2.905458069E-1,5.646557922E0,3.500620422E0
1.757715000E0,-2.314187622E-1,7.509284363E0,2.867437134E0
1.767743000E0,-1.287472687E0,8.645721130E0,3.062780914E0
1.777772000E0,-2.442919922E0,8.142767029E0,2.930156708E0
1.787800000E0,-2.541564789E0,7.904761963E0,4.015250244E0
1.797829000E0,-2.486778717E0,6.736291809E0,5.283413086E0
1.807857000E0,-2.080822906E0,5.651797028E0,5.955515442E0
1.817886000E0,-1.254840546E0,5.347928925E0,6.572831726E0
