"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.262083333E-3,-2.469752502E1,-6.058746338E0,-4.919841003E1
1.228908333E-2,-2.468392944E1,-5.920471191E0,-4.909762573E1
2.231708333E-2,-2.462199402E1,-5.927886963E0,-4.907511902E1
3.234408333E-2,-2.446324158E1,-5.850006104E0,-4.926329041E1
4.237108333E-2,-2.458218384E1,-5.878143311E0,-4.919493103E1
5.239808332E-2,-2.442630005E1,-5.805145264E0,-4.927865601E1
6.242608333E-2,-2.432873535E1,-5.565826416E0,-4.955712891E1
7.245308332E-2,-2.426091003E1,-5.406402588E0,-4.950782776E1
8.248008334E-2,-2.399301147E1,-5.335205078E0,-4.969018555E1
9.250708333E-2,-2.377751160E1,-5.296600342E0,-4.949136353E1
1.025350833E-1,-2.347113037E1,-5.186645508E0,-4.957159424E1
1.125620833E-1,-2.314453125E1,-5.006896973E0,-4.987080383E1
1.225890833E-1,-2.300854492E1,-4.690277100E0,-5.009284973E1
1.326170833E-1,-2.294233704E1,-4.372955322E0,-5.029006958E1
1.426440833E-1,-2.255422974E1,-4.121612549E0,-5.049058533E1
1.526710833E-1,-2.247396851E1,-3.899261475E0,-5.069609070E1
1.626980833E-1,-2.217922974E1,-3.787017822E0,-5.072836304E1
1.727260833E-1,-2.192427063E1,-3.808227539E0,-5.075914001E1
1.827530833E-1,-2.165367126E1,-3.643981934E0,-5.086566162E1
1.927800833E-1,-2.135868835E1,-3.575744629E0,-5.106732178E1
2.028070833E-1,-2.089369202E1,-3.440704346E0,-5.099566650E1
2.128350833E-1,-2.059216309E1,-3.250549316E0,-5.164433289E1
2.228620833E-1,-2.022061157E1,-3.171508789E0,-5.138919067E1
2.328890833E-1,-1.979751587E1,-3.220001221E0,-5.187721252E1
2.429160833E-1,-1.902658081E1,-3.103088379E0,-5.200901794E1
2.529440833E-1,-1.823951721E1,-3.033935547E0,-5.208372498E1
2.629710833E-1,-1.735171509E1,-3.216705322E0,-5.256916809E1
2.729980833E-1,-1.635678101E1,-3.417449951E0,-5.284721375E1
2.830250833E-1,-1.469068909E1,-3.525848389E0,-5.316590881E1
2.930530833E-1,-1.320509338E1,-3.763122559E0,-5.344866943E1
3.030800833E-1,-1.135475159E1,-4.361053467E0,-5.317114258E1
3.131070833E-1,-9.563751221E0,-4.492767334E0,-5.396809387E1
3.231340833E-1,-7.892379761E0,-4.661834717E0,-5.449736023E1
3.331620833E-1,-6.001296997E0,-4.959899902E0,-5.466864014E1
3.431890833E-1,-4.232818604E0,-4.971191406E0,-5.481105042E1
3.532160833E-1,-2.495788574E0,-5.051116943E0,-5.504531860E1
3.632440833E-1,-8.424224854E-1,-4.958770752E0,-5.485897827E1
3.732710833E-1,8.600769043E-1,-4.787963867E0,-5.499809265E1
3.832980833E-1,2.364547729E0,-4.738250732E0,-5.499121094E1
3.933250833E-1,3.884323120E0,-4.585723877E0,-5.467823792E1
4.033530833E-1,5.238357544E0,-4.177978516E0,-5.465785217E1
4.133800833E-1,6.431838989E0,-4.048156738E0,-5.441101074E1
4.234070833E-1,7.416397095E0,-3.941497803E0,-5.429727173E1
4.334340833E-1,8.218429565E0,-3.708160400E0,-5.426373291E1
4.434620833E-1,8.858108521E0,-3.754333496E0,-5.439836121E1
4.534890833E-1,9.346176147E0,-3.801452637E0,-5.423637390E1
4.635160833E-1,9.684722900E0,-3.951965332E0,-5.409149170E1
4.735430833E-1,9.864959717E0,-4.279693604E0,-5.396252441E1
4.835710833E-1,9.840148926E0,-4.783477783E0,-5.390765381E1
4.935973333E-1,9.751342773E0,-5.396575928E0,-5.381625366E1
5.036243333E-1,9.527267456E0,-5.900848389E0,-5.389302063E1
5.136513333E-1,9.229293823E0,-6.486785889E0,-5.401155090E1
5.236793333E-1,8.692886353E0,-7.054443359E0,-5.394723511E1
5.337063333E-1,8.257278442E0,-7.688781738E0,-5.395001221E1
5.437333333E-1,7.969741821E0,-8.383270264E0,-5.394390869E1
5.537613333E-1,7.918075562E0,-9.115142822E0,-5.392018127E1
5.637883333E-1,8.048507690E0,-9.812011719E0,-5.365538025E1
5.738153333E-1,8.297683716E0,-1.045095825E1,-5.364630127E1
5.838423333E-1,8.641769409E0,-1.102191162E1,-5.322080994E1
