"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.087908333E-2,-1.131492615E1,-2.594745636E1,-3.700113678E1
2.090808333E-2,-1.181953430E1,-2.583974457E1,-3.685425568E1
3.093708333E-2,-1.161657715E1,-2.595008850E1,-3.699691010E1
4.096608334E-2,-1.203753662E1,-2.577027130E1,-3.694959259E1
5.099508334E-2,-1.181980896E1,-2.579351807E1,-3.674251556E1
6.102408333E-2,-1.222927856E1,-2.570189667E1,-3.659020233E1
7.105308333E-2,-1.199684143E1,-2.579959106E1,-3.667807770E1
8.108208333E-2,-1.247171021E1,-2.577050018E1,-3.674131012E1
9.111108333E-2,-1.243395996E1,-2.590972900E1,-3.673723602E1
1.011401250E-1,-1.296624756E1,-2.570668793E1,-3.642574310E1
1.111691250E-1,-1.256555176E1,-2.566741943E1,-3.654442596E1
1.211981250E-1,-1.313418579E1,-2.554244995E1,-3.630675507E1
1.312271250E-1,-1.276412964E1,-2.542657471E1,-3.653769684E1
1.412561250E-1,-1.330084229E1,-2.537871552E1,-3.642302704E1
1.512851250E-1,-1.312020874E1,-2.532681274E1,-3.633742523E1
1.613141250E-1,-1.312020874E1,-2.532681274E1,-3.633742523E1
1.713431250E-1,-1.375581360E1,-2.527477264E1,-3.637755585E1
1.813721250E-1,-1.351643372E1,-2.528845215E1,-3.660015106E1
1.914021250E-1,-1.401536560E1,-2.509197235E1,-3.666715240E1
2.014311250E-1,-1.360260010E1,-2.497534180E1,-3.668134308E1
2.114601250E-1,-1.406849670E1,-2.482110596E1,-3.652361298E1
2.214891250E-1,-1.387091064E1,-2.482807159E1,-3.668658447E1
2.315181250E-1,-1.423452759E1,-2.484027100E1,-3.661027527E1
2.415471250E-1,-1.418141174E1,-2.489279938E1,-3.665429688E1
2.515761250E-1,-1.452374268E1,-2.484971619E1,-3.649015808E1
2.616051250E-1,-1.425654602E1,-2.481452179E1,-3.653654480E1
2.716351250E-1,-1.455595398E1,-2.478802490E1,-3.659184265E1
2.816641250E-1,-1.442477417E1,-2.474618530E1,-3.638528442E1
2.916931250E-1,-1.481358337E1,-2.465798187E1,-3.641944885E1
3.017221250E-1,-1.480900574E1,-2.463666534E1,-3.646435547E1
3.117511250E-1,-1.504042053E1,-2.456119537E1,-3.657119751E1
3.217801250E-1,-1.496080017E1,-2.456632996E1,-3.676322937E1
3.318091250E-1,-1.522270203E1,-2.452183533E1,-3.665686035E1
3.418381250E-1,-1.532681274E1,-2.445741272E1,-3.650982666E1
3.518681250E-1,-1.534278870E1,-2.432320404E1,-3.652920532E1
3.618971250E-1,-1.531694031E1,-2.424440765E1,-3.659736633E1
3.719261250E-1,-1.548332214E1,-2.419683838E1,-3.653079224E1
3.819551250E-1,-1.548114014E1,-2.422194672E1,-3.651844788E1
3.919841250E-1,-1.566430664E1,-2.427137756E1,-3.650938416E1
4.020131250E-1,-1.576994324E1,-2.434404755E1,-3.664833069E1
4.120421250E-1,-1.578082275E1,-2.412909698E1,-3.677880859E1
4.220711250E-1,-1.606459045E1,-2.416223145E1,-3.654985046E1
4.321011250E-1,-1.610275269E1,-2.413623810E1,-3.656689453E1
4.421301250E-1,-1.620454407E1,-2.410047150E1,-3.638595581E1
4.521591250E-1,-1.609184265E1,-2.404029846E1,-3.651539612E1
4.621881250E-1,-1.639849854E1,-2.394142151E1,-3.646606445E1
4.722171250E-1,-1.649310303E1,-2.395960999E1,-3.648678589E1
4.822461250E-1,-1.671321106E1,-2.399108124E1,-3.638331604E1
4.922751250E-1,-1.663458252E1,-2.387197113E1,-3.641056824E1
5.023041250E-1,-1.691633606E1,-2.374893951E1,-3.628321838E1
5.123341250E-1,-1.680593872E1,-2.382462311E1,-3.629219055E1
5.223631250E-1,-1.704229736E1,-2.362921143E1,-3.629272461E1
5.323921250E-1,-1.687010193E1,-2.381645966E1,-3.644118500E1
5.424211250E-1,-1.719827271E1,-2.375765991E1,-3.605228424E1
5.524501250E-1,-1.699284363E1,-2.363331604E1,-3.617459869E1
5.624791250E-1,-1.739622498E1,-2.353440857E1,-3.608266449E1
5.725081250E-1,-1.722319031E1,-2.342105865E1,-3.637464142E1
5.825381250E-1,-1.777566528E1,-2.331837463E1,-3.640233612E1
5.925671250E-1,-1.767660522E1,-2.327331543E1,-3.634777069E1
6.025961250E-1,-1.793052673E1,-2.297580719E1,-3.613832855E1
6.126251250E-1,-1.790232849E1,-2.271174622E1,-3.644528961E1
6.226541250E-1,-1.840730286E1,-2.247791290E1,-3.630178070E1
6.326831250E-1,-1.835140991E1,-2.236950684E1,-3.650508118E1
6.427121250E-1,-1.901068115E1,-2.232175446E1,-3.617291260E1
6.527421250E-1,-1.881060791E1,-2.216297150E1,-3.624441528E1
6.627711250E-1,-1.943266296E1,-2.198067474E1,-3.592950439E1
6.728001250E-1,-1.925358582E1,-2.187134552E1,-3.615236664E1
6.828291250E-1,-2.001943970E1,-2.163816071E1,-3.579267120E1
6.928581250E-1,-2.005352783E1,-2.122862244E1,-3.576465607E1
7.028871250E-1,-2.063568115E1,-2.090673065E1,-3.564414215E1
7.129161250E-1,-2.079882812E1,-2.037132263E1,-3.595714569E1
7.229461250E-1,-2.132893372E1,-1.985369873E1,-3.622695160E1
7.329751250E-1,-2.121824646E1,-1.908416748E1,-3.648349762E1
7.430041250E-1,-2.163194275E1,-1.863845825E1,-3.669580841E1
7.530331250E-1,-2.162420654E1,-1.865743256E1,-3.670077515E1
7.630621250E-1,-2.142437744E1,-1.821983337E1,-3.699188232E1
7.730911250E-1,-2.173609924E1,-1.794554138E1,-3.707710266E1
7.831201250E-1,-2.166546631E1,-1.762137604E1,-3.704600525E1
7.931501250E-1,-2.218571472E1,-1.745043945E1,-3.695230865E1
8.031791250E-1,-2.219093323E1,-1.727910614E1,-3.693122101E1
8.132081250E-1,-2.260560608E1,-1.749069214E1,-3.677695465E1
8.232371250E-1,-2.251368713E1,-1.753321838E1,-3.662862396E1
8.332661250E-1,-2.265653992E1,-1.763729858E1,-3.652008820E1
8.432951250E-1,-2.252606201E1,-1.749580383E1,-3.647728729E1
8.533241250E-1,-2.262672424E1,-1.747737122E1,-3.644290924E1
8.633531250E-1,-2.260575867E1,-1.746362305E1,-3.640088654E1
8.733831250E-1,-2.281599426E1,-1.726737976E1,-3.660388947E1
8.834121250E-1,-2.289547729E1,-1.687337494E1,-3.655147552E1
8.934411250E-1,-2.336143494E1,-1.639684296E1,-3.644235992E1
9.034701250E-1,-2.361183167E1,-1.600444794E1,-3.652687836E1
9.134991250E-1,-2.412666321E1,-1.557246399E1,-3.648262024E1
9.235281250E-1,-2.480545044E1,-1.493797302E1,-3.612327576E1
9.335581250E-1,-2.546942139E1,-1.441364288E1,-3.593103790E1
9.435871250E-1,-2.602285767E1,-1.399336243E1,-3.581388092E1
9.536161250E-1,-2.639750671E1,-1.377500916E1,-3.528505707E1
9.636451250E-1,-2.702148438E1,-1.359661102E1,-3.483036041E1
9.736741250E-1,-2.719404602E1,-1.335230255E1,-3.495941162E1
9.837031250E-1,-2.780418396E1,-1.296949768E1,-3.462461853E1
9.937321250E-1,-2.821945190E1,-1.260137177E1,-3.465211487E1
1.003762125E0,-2.909303284E1,-1.214226532E1,-3.433204651E1
1.013791125E0,-2.968037415E1,-1.175492859E1,-3.361218262E1
1.023820125E0,-3.071093750E1,-1.117864227E1,-3.282891846E1
1.033849125E0,-3.127641296E1,-1.083728027E1,-3.267709351E1
1.043878125E0,-3.244653320E1,-1.042333984E1,-3.158132935E1
1.053907125E0,-3.308816528E1,-1.036502075E1,-3.079657745E1
1.063936125E0,-3.405651855E1,-9.919616699E0,-2.982089996E1
1.073966125E0,-3.464979553E1,-9.683120728E0,-2.923650360E1
1.083995125E0,-3.577940369E1,-9.299385071E0,-2.800421143E1
1.094024125E0,-3.626541138E1,-9.165672302E0,-2.750482178E1
1.104053833E0,-3.724147034E1,-8.955970764E0,-2.650167084E1
1.114082833E0,-3.749156189E1,-8.689956665E0,-2.617604828E1
1.124111833E0,-3.794499207E1,-7.954032898E0,-2.552295685E1
1.134141833E0,-3.771537781E1,-7.509269714E0,-2.637989044E1
1.144170833E0,-3.772409058E1,-6.419197083E0,-2.658945465E1
1.154199833E0,-3.732681274E1,-5.615867615E0,-2.738394928E1
1.164228833E0,-3.729022217E1,-4.485023499E0,-2.770533752E1
1.174257833E0,-3.689447021E1,-3.762290955E0,-2.824844360E1
1.184286833E0,-3.705383301E1,-2.641113281E0,-2.837489319E1
1.194315833E0,-3.663262939E1,-1.925643921E0,-2.853396606E1
1.204345833E0,-3.666906738E1,-7.836227417E-1,-2.862689972E1
1.214374833E0,-3.662028503E1,-3.282699585E-1,-2.897498322E1
1.224403833E0,-3.687017822E1,4.910202026E-1,-2.868651581E1
1.234432833E0,-3.689491272E1,9.399795532E-1,-2.861949921E1
1.244461833E0,-3.704454041E1,1.808612823E0,-2.858927917E1
1.254490833E0,-3.651634216E1,2.429588318E0,-2.903562927E1
1.264520833E0,-3.626091003E1,3.590560913E0,-2.928692627E1
1.274549833E0,-3.565205383E1,4.495506287E0,-3.008593750E1
1.284578833E0,-3.550215149E1,5.649295807E0,-3.041708374E1
1.294607833E0,-3.494282532E1,6.558593750E0,-3.092881775E1
1.304636833E0,-3.480439758E1,7.806808472E0,-3.076915741E1
1.314665833E0,-3.468649292E1,8.383968353E0,-3.078499603E1
1.324694833E0,-3.467742920E1,9.256862640E0,-3.079702759E1
1.334724833E0,-3.467742920E1,9.256862640E0,-3.079702759E1
1.344753833E0,-3.487091064E1,9.837482452E0,-3.041179657E1
1.354782833E0,-3.481562805E1,1.071664810E1,-3.015009308E1
1.364811833E0,-3.476519775E1,1.134463501E1,-2.974631500E1
1.374840833E0,-3.473088074E1,1.218530655E1,-2.907018280E1
1.384869833E0,-3.466021729E1,1.296839142E1,-2.863432312E1
1.394899833E0,-3.454493713E1,1.387622070E1,-2.849487305E1
1.404928833E0,-3.438072205E1,1.470345306E1,-2.812163544E1
1.414957833E0,-3.423658752E1,1.543206787E1,-2.778513336E1
1.424986833E0,-3.390890503E1,1.610841370E1,-2.771646881E1
1.435015833E0,-3.349078369E1,1.677785492E1,-2.789057159E1
1.445044833E0,-3.292926025E1,1.753204727E1,-2.779152679E1
1.455074833E0,-3.272290039E1,1.807702637E1,-2.781327057E1
1.465103833E0,-3.261128235E1,1.851961517E1,-2.780229950E1
1.475132833E0,-3.267964172E1,1.858768082E1,-2.759424591E1
1.485161833E0,-3.289443970E1,1.885044479E1,-2.723386383E1
1.495190833E0,-3.294039917E1,1.905038071E1,-2.711310577E1
1.505219833E0,-3.301249695E1,1.939712524E1,-2.688741302E1
1.515249833E0,-3.299929810E1,1.915797043E1,-2.686406708E1
1.525278833E0,-3.281411743E1,1.958523560E1,-2.672366333E1
1.535307833E0,-3.265951538E1,1.975567245E1,-2.708393860E1
1.545336833E0,-3.208779907E1,2.054288483E1,-2.738771820E1
1.555365833E0,-3.107844543E1,2.073844528E1,-2.842633820E1
1.565394833E0,-2.978112793E1,2.155472565E1,-2.891009521E1
1.575423833E0,-2.883436584E1,2.163819885E1,-2.995530701E1
1.585453833E0,-2.782933044E1,2.236977005E1,-3.053344727E1
1.595482833E0,-2.695358276E1,2.205752563E1,-3.103022766E1
1.605511833E0,-2.649279785E1,2.265443039E1,-3.149185181E1
1.615540833E0,-2.629364014E1,2.209594345E1,-3.201182556E1
1.625569833E0,-2.607058716E1,2.254126740E1,-3.209425354E1
1.635598833E0,-2.612269592E1,2.210458374E1,-3.221040344E1
1.645628833E0,-2.583465576E1,2.245697784E1,-3.205025482E1
1.655657833E0,-2.581129456E1,2.222783661E1,-3.212218475E1
1.665686833E0,-2.504963684E1,2.313005829E1,-3.207390594E1
1.675715833E0,-2.472531128E1,2.334004974E1,-3.221834564E1
1.685744833E0,-2.396762085E1,2.435550308E1,-3.210164642E1
1.695773833E0,-2.355561829E1,2.461889267E1,-3.232791138E1
1.705803833E0,-2.285528564E1,2.564917755E1,-3.202513123E1
1.715832833E0,-2.256936646E1,2.574976349E1,-3.209202576E1
1.725861833E0,-2.174888611E1,2.655516052E1,-3.189291382E1
1.735890833E0,-2.128471375E1,2.667764664E1,-3.178816223E1
1.745919833E0,-2.068661499E1,2.722787094E1,-3.189328003E1
1.755949833E0,-2.054779053E1,2.706489563E1,-3.189545441E1
1.765978833E0,-2.010728455E1,2.735803986E1,-3.193892670E1
1.776007833E0,-2.017405701E1,2.722194672E1,-3.214372253E1
1.786036833E0,-2.016487122E1,2.749539185E1,-3.192645264E1
1.796065833E0,-2.042585754E1,2.759963226E1,-3.163021851E1
1.806094833E0,-2.037754822E1,2.802002716E1,-3.150927734E1
1.816123833E0,-2.040335083E1,2.813624191E1,-3.114302826E1
1.826153833E0,-2.019982910E1,2.861726761E1,-3.095093536E1
1.836182833E0,-2.010859680E1,2.883650208E1,-3.061632538E1
1.846211833E0,-1.968061829E1,2.934498978E1,-3.049930573E1
1.856240833E0,-1.956079102E1,2.934239578E1,-3.031896210E1
1.866269833E0,-1.920564270E1,2.983758163E1,-3.029082489E1
1.876299833E0,-1.869985962E1,3.016176224E1,-3.010404205E1
1.886328833E0,-1.810571289E1,3.048913574E1,-3.003003693E1
1.896357833E0,-1.728871155E1,3.084369278E1,-3.051100922E1
1.906386833E0,-1.630532837E1,3.118812943E1,-3.044506073E1
1.916415833E0,-1.534580994E1,3.139557648E1,-3.044503784E1
1.926444833E0,-1.534580994E1,3.139557648E1,-3.044503784E1
1.936474833E0,-1.472796631E1,3.166044617E1,-3.059376526E1
1.946503833E0,-1.430673218E1,3.184562683E1,-3.046156311E1
1.956532833E0,-1.432508850E1,3.184247208E1,-3.048171997E1
1.966561833E0,-1.395623779E1,3.216848755E1,-3.032499695E1
1.976590833E0,-1.376416016E1,3.243790436E1,-3.002725220E1
1.986619833E0,-1.361257935E1,3.272449875E1,-2.967318726E1
1.996649833E0,-1.376002502E1,3.285182571E1,-2.930322266E1
2.006678833E0,-1.327804565E1,3.305806351E1,-2.908702087E1
2.016707833E0,-1.347634888E1,3.298508072E1,-2.915917969E1
2.026736833E0,-1.317810059E1,3.328765106E1,-2.915090942E1
2.036765833E0,-1.334162903E1,3.311855316E1,-2.904139709E1
2.046794833E0,-1.287664795E1,3.326143265E1,-2.891326904E1
2.056824833E0,-1.307479858E1,3.320349503E1,-2.873115540E1
2.066853833E0,-1.266323853E1,3.353982925E1,-2.874819946E1
2.076882833E0,-1.275744629E1,3.346900177E1,-2.860845184E1
2.086911833E0,-1.227339172E1,3.364509583E1,-2.850778961E1
2.096940833E0,-1.248846436E1,3.347941971E1,-2.856629181E1
2.106970833E0,-1.195545959E1,3.377416229E1,-2.841596222E1
2.116999833E0,-1.217341614E1,3.354324722E1,-2.838196564E1
2.127028833E0,-1.138497925E1,3.389542389E1,-2.800469208E1
2.137057833E0,-1.156330872E1,3.375873566E1,-2.823534393E1
2.147086833E0,-1.091038513E1,3.401823044E1,-2.789974213E1
2.157115833E0,-1.113061523E1,3.379048157E1,-2.821824646E1
2.167145833E0,-1.053520203E1,3.413184738E1,-2.800288391E1
2.177174833E0,-1.052148438E1,3.412475586E1,-2.795967102E1
2.187203833E0,-9.937561035E0,3.452165222E1,-2.806359863E1
2.197232833E0,-1.006837463E1,3.458216858E1,-2.786686707E1
2.207261833E0,-9.559204102E0,3.502643967E1,-2.759979248E1
2.217290833E0,-9.766784668E0,3.510127258E1,-2.735388184E1
2.227320833E0,-9.265167236E0,3.541042328E1,-2.684906006E1
2.237349833E0,-9.548339844E0,3.554215240E1,-2.672409058E1
2.247378833E0,-9.059280396E0,3.596670532E1,-2.626251221E1
2.257407833E0,-9.174942017E0,3.611434174E1,-2.600019836E1
2.267436833E0,-8.766357422E0,3.646751404E1,-2.575935364E1
2.277466833E0,-8.804519653E0,3.662387466E1,-2.539358521E1
2.287495833E0,-8.436676025E0,3.714102173E1,-2.496465302E1
2.297524833E0,-8.437423706E0,3.733953094E1,-2.451805878E1
2.307553833E0,-8.042892456E0,3.771784210E1,-2.409362030E1
2.317582833E0,-8.065872192E0,3.798801804E1,-2.371239471E1
2.327611833E0,-7.723419189E0,3.831887054E1,-2.333589172E1
2.337641833E0,-7.656051636E0,3.828602982E1,-2.337863159E1
2.347670833E0,-7.333450317E0,3.854399109E1,-2.335650635E1
2.357699833E0,-7.320938110E0,3.845134735E1,-2.323646545E1
2.367728833E0,-6.965255737E0,3.861591339E1,-2.311611938E1
2.377757833E0,-7.027221680E0,3.858455658E1,-2.292478943E1
2.387787833E0,-6.961883545E0,3.891666794E1,-2.288273621E1
