"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.232371250E-1,3.412570953E-1,1.072487533E-1,2.742911577E-1
8.332661250E-1,1.448178291E-1,1.199866459E-1,2.115550786E-1
8.432951250E-1,-8.204010874E-2,6.556362845E-3,1.846453398E-1
8.533241250E-1,-2.826693356E-1,-1.269963682E-1,2.071240246E-1
8.633531250E-1,-4.288360476E-1,-2.340454906E-1,3.518384695E-1
8.733831250E-1,-4.962020516E-1,-3.733253479E-1,6.297633052E-1
8.834121250E-1,-5.055603385E-1,-4.138509929E-1,1.032360315E0
8.934411250E-1,-4.010046721E-1,-5.258617401E-1,1.454819202E0
9.034701250E-1,-2.386778444E-1,-8.929541707E-1,1.911818981E0
9.134991250E-1,-1.215602178E-2,-9.958448410E-1,2.109624863E0
9.235281250E-1,2.873074114E-1,-8.520122170E-1,2.098338842E0
9.335581250E-1,5.131762028E-1,-7.114069462E-1,1.935412526E0
9.435871250E-1,6.625050306E-1,-5.604985356E-1,1.750532150E0
9.536161250E-1,7.703849077E-1,-3.489253521E-1,1.690265298E0
9.636451250E-1,8.030967116E-1,-1.671047211E-1,1.830787659E0
9.736741250E-1,6.884436011E-1,-3.670892119E-1,2.079329729E0
9.837031250E-1,4.618973434E-1,-7.980353832E-1,2.195375443E0
9.937321250E-1,3.768695295E-1,-1.115917206E0,2.149734735E0
1.003762125E0,3.717580736E-1,-1.476498246E0,2.054624319E0
1.013791125E0,4.383879602E-1,-1.776462913E0,1.998254895E0
1.023820125E0,6.625249386E-1,-1.861672521E0,2.015640736E0
1.033849125E0,9.612591863E-1,-1.982511282E0,2.028917551E0
1.043878125E0,1.137262344E0,-1.959569454E0,1.997090936E0
1.053907125E0,1.181401610E0,-1.921633482E0,1.953427911E0
1.063936125E0,1.285277486E0,-1.948864698E0,1.954275131E0
1.073966125E0,1.543003559E0,-1.996586561E0,2.091012478E0
1.083995125E0,1.852962375E0,-1.968558073E0,2.184654713E0
1.094024125E0,1.946530104E0,-1.600556016E0,2.181681633E0
1.104053833E0,1.712670684E0,-7.918235064E-1,2.177810431E0
1.114082833E0,1.278604388E0,1.227915064E-1,2.276693344E0
1.124111833E0,8.181359172E-1,8.982719183E-1,2.449162960E0
1.134141833E0,3.652352691E-1,1.356378436E0,2.571439505E0
1.144170833E0,1.084743515E-1,1.449510098E0,2.631972313E0
1.154199833E0,1.359294057E-1,1.314877987E0,2.803694248E0
1.164228833E0,3.993144929E-1,1.199020028E0,3.064900875E0
1.174257833E0,8.629772663E-1,1.168736696E0,3.361877203E0
1.184286833E0,1.478751659E0,9.766101837E-1,3.647322655E0
1.194315833E0,2.103958368E0,6.441305280E-1,3.899768353E0
1.204345833E0,2.519760609E0,1.515893191E-1,3.912386417E0
1.214374833E0,2.458513498E0,-2.513336241E-1,3.539068699E0
1.224403833E0,2.112137794E0,-1.672403812E-1,3.174628735E0
1.234432833E0,1.698664784E0,2.401902378E-1,3.098821163E0
1.244461833E0,1.195294499E0,8.140102625E-1,3.096837044E0
1.254490833E0,6.726906896E-1,1.308608294E0,3.009300232E0
1.264520833E0,2.397926450E-1,1.518379807E0,2.865838528E0
1.274549833E0,-2.003227547E-2,1.372753620E0,2.804070950E0
1.284578833E0,-6.881563459E-3,8.176227808E-1,2.890796423E0
1.294607833E0,3.728788197E-1,1.505525708E-1,3.113863707E0
1.304636833E0,9.726706743E-1,-3.348036110E-1,3.181314707E0
1.314665833E0,1.416221142E0,-6.500289440E-1,3.045224905E0
1.324694833E0,1.477281928E0,-8.044705987E-1,2.872316599E0
1.334724833E0,1.334820390E0,-1.002554178E0,2.878010035E0
1.344753833E0,1.222152233E0,-1.196025848E0,2.982589006E0
1.354782833E0,1.039273977E0,-1.364693761E0,3.061790466E0
1.364811833E0,6.563492417E-1,-1.854409337E0,3.125032663E0
1.374840833E0,-1.455165893E-1,-1.153201222E0,2.657999992E0
1.384869833E0,-5.982285738E-1,-6.102696657E-1,2.214015484E0
1.394899833E0,-7.380200624E-1,-6.433541179E-1,1.870411754E0
1.404928833E0,-5.046849847E-1,-2.685940266E-1,1.924463868E0
1.414957833E0,-1.755997241E-1,2.055248022E-1,2.243664026E0
1.424986833E0,8.635818213E-2,-7.963684946E-2,2.560595989E0
1.435015833E0,4.236333966E-1,-1.977813393E-1,2.606832981E0
1.445044833E0,7.305396199E-1,-5.143445730E-1,2.213170767E0
1.455074833E0,6.692235470E-1,-1.000463843E0,1.557940960E0
1.465103833E0,3.921897709E-1,-1.174929500E0,1.245200276E0
1.475132833E0,3.702530265E-1,-1.128225446E0,1.147568464E0
1.485161833E0,4.899746776E-1,-9.193976521E-1,1.069147348E0
1.495190833E0,5.630992651E-1,-8.051187396E-1,9.543520808E-1
1.505219833E0,6.237985492E-1,-6.656674743E-1,9.637905359E-1
1.515249833E0,6.520466805E-1,-2.745090425E-1,1.195497632E0
1.525278833E0,7.232728601E-1,1.497471184E-1,1.695933938E0
1.535307833E0,3.199454248E-1,1.261093855E0,2.396213770E0
1.545336833E0,5.282036066E-1,1.979600430E0,2.559397459E0
1.555365833E0,8.430150747E-1,2.232996464E0,2.529743671E0
1.565394833E0,8.134009838E-1,2.146644354E0,2.317473412E0
1.575423833E0,7.247321010E-1,1.564716935E0,2.025950432E0
1.585453833E0,8.661378622E-1,1.057908535E0,1.857150078E0
1.595482833E0,1.211770654E0,7.588888705E-2,1.903671741E0
1.605511833E0,1.456094384E0,-7.754146457E-1,1.930395126E0
1.615540833E0,1.623364091E0,-1.168800235E0,2.124990463E0
1.625569833E0,1.751052618E0,-1.225159764E0,2.410959959E0
1.635598833E0,1.764860868E0,-1.237736344E0,2.623424053E0
1.645628833E0,1.411445975E0,-1.004108310E0,2.724535465E0
1.655657833E0,9.064773917E-1,-5.820752382E-1,3.045082092E0
1.665686833E0,6.187823415E-1,-4.554479122E-1,3.450211048E0
1.675715833E0,5.267749429E-1,-6.390116215E-1,3.615643978E0
1.685744833E0,4.879315197E-1,-8.422787189E-1,3.576830626E0
1.695773833E0,4.975346327E-1,-9.739896059E-1,3.552083254E0
1.705803833E0,6.165558696E-1,-1.061945319E0,3.617918730E0
1.715832833E0,8.042901158E-1,-1.067178369E0,3.604344368E0
1.725861833E0,9.139763713E-1,-1.126790404E0,3.415511131E0
1.735890833E0,9.137231112E-1,-1.038901567E0,2.992137671E0
1.745919833E0,9.472321272E-1,-8.818348050E-1,2.401229143E0
1.755949833E0,8.095682859E-1,-7.091082931E-1,1.613625407E0
1.765978833E0,4.480574131E-1,-7.010955811E-1,1.104834914E0
1.776007833E0,7.455012202E-2,-9.685586691E-1,9.473454356E-1
1.786036833E0,-1.309468597E-1,-1.134370804E0,9.240916967E-1
1.796065833E0,-2.033952326E-1,-1.049675345E0,9.219795465E-1
1.806094833E0,-2.224865705E-1,-8.877351880E-1,1.074190617E0
1.816123833E0,-2.670207620E-1,-8.107882142E-1,1.269761920E0
1.826153833E0,-3.276214898E-1,-8.695297837E-1,1.641679764E0
1.836182833E0,-1.499534845E-1,-6.053023934E-1,1.637389421E0
1.846211833E0,-1.592988223E-1,-3.118079901E-1,1.500435948E0
1.856240833E0,-1.989727318E-1,-2.214474529E-1,1.373036146E0
1.866269833E0,-2.390368730E-1,6.252854131E-3,1.299378753E0
1.876299833E0,-1.796105653E-1,2.975648642E-1,1.473400354E0
1.886328833E0,-4.126467183E-2,6.695190668E-1,1.864348650E0
1.896357833E0,-1.284903735E-1,9.248411655E-1,2.198605299E0
1.906386833E0,-3.062795699E-1,1.141547084E0,2.297728777E0
1.916415833E0,-1.998212785E-1,5.505242348E-1,1.819086671E0
1.926444833E0,1.631732136E-1,2.882715166E-1,1.091482997E0
1.936474833E0,5.305815488E-3,8.505688608E-2,4.574549794E-1
1.946503833E0,-5.134840012E-1,1.860969067E-1,1.859250516E-1
1.956532833E0,-1.030445576E0,4.714261293E-1,1.865098923E-1
1.966561833E0,-1.309828520E0,5.759135485E-1,1.823670864E-1
1.976590833E0,-1.122032285E0,3.212549388E-1,2.047869116E-1
1.986619833E0,-6.720153093E-1,2.311840057E-1,1.966081858E-1
1.996649833E0,-2.835133970E-1,1.734876931E-1,3.004474938E-1
2.006678833E0,-1.426202208E-1,9.626384079E-2,3.112381399E-1
2.016707833E0,-1.608527601E-1,-3.407978266E-2,3.003244996E-1
2.026736833E0,-2.091518044E-1,-1.201459020E-2,3.990636170E-1
2.036765833E0,-2.404378206E-1,7.466011494E-2,4.676086009E-1
2.046794833E0,-2.825257182E-1,7.245794684E-2,4.108444154E-1
2.056824833E0,-3.282892108E-1,5.314229801E-2,3.696341217E-1
2.066853833E0,-2.268974781E-1,2.531991713E-2,3.746658862E-1
2.076882833E0,-2.579619288E-1,2.885419875E-2,4.148625731E-1
2.086911833E0,-1.063732505E-1,1.829684973E-1,5.286379457E-1
2.096940833E0,-1.261964887E-1,1.890607476E-1,5.795016289E-1
2.106970833E0,-1.202823073E-1,2.139652967E-1,5.549912453E-1
2.116999833E0,-5.602449179E-2,1.657490283E-1,5.630211830E-1
2.127028833E0,-6.067286059E-2,1.666282713E-1,5.592961311E-1
2.137057833E0,-1.045870483E-1,1.072826460E-1,5.775265098E-1
2.147086833E0,-1.521835029E-1,7.935621589E-2,6.256657243E-1
2.157115833E0,-2.112068683E-1,8.942988515E-2,6.909052134E-1
2.167145833E0,-2.998504937E-1,4.743158817E-2,7.949461937E-1
2.177174833E0,-4.207587838E-1,-5.123213679E-2,8.941934109E-1
2.187203833E0,-5.721477866E-1,-2.657869458E-1,9.219346046E-1
2.197232833E0,-7.138335705E-1,-4.372393787E-1,8.933905363E-1
2.207261833E0,-7.266138196E-1,-6.436363459E-1,8.245323300E-1
2.217290833E0,-6.052581072E-1,-6.325165629E-1,7.347153425E-1
2.227320833E0,-5.303949714E-1,-5.873963237E-1,7.011025548E-1
2.237349833E0,-6.426088810E-1,-5.388442278E-1,6.457623243E-1
2.247378833E0,-7.739163637E-1,-4.854127169E-1,6.384417415E-1
2.257407833E0,-8.205856085E-1,-4.929468036E-1,6.668606400E-1
2.267436833E0,-9.729627967E-1,-5.377103686E-1,7.291140556E-1
2.277466833E0,-1.154014468E0,-5.865793824E-1,7.849611044E-1
2.287495833E0,-1.256595969E0,-5.542609096E-1,7.326791286E-1
2.297524833E0,-1.259640455E0,-5.510962605E-1,6.858106852E-1
2.307553833E0,-1.062264562E0,-5.987013578E-1,7.472942472E-1
2.317582833E0,-6.343842745E-1,-5.071895719E-1,8.251182437E-1
2.327611833E0,-2.780394256E-1,-4.961017668E-1,8.295975924E-1
2.337641833E0,-2.955451980E-2,-4.076712132E-1,6.993250251E-1
2.347670833E0,3.926015273E-2,-3.213351071E-1,5.061023831E-1
2.357699833E0,-9.762792289E-2,-2.555238605E-1,4.310728908E-1
2.367728833E0,-3.348920941E-1,-2.771973610E-1,3.968787193E-1
2.377757833E0,-6.765314937E-1,-3.559124172E-1,4.132382572E-1
2.387787833E0,-1.048187613E0,-4.418780506E-1,5.259479284E-1
2.397816833E0,-1.361664295E0,-5.976290107E-1,6.777718067E-1
2.407845833E0,-1.619297147E0,-6.913025975E-1,7.041374445E-1
2.417874833E0,-1.589546680E0,-6.620091200E-1,5.062414408E-1
2.427903833E0,-1.306687832E0,-5.695300698E-1,1.776924133E-1
2.437932833E0,-9.299405217E-1,-3.953539431E-1,-1.548083127E-1
2.447962833E0,-4.241891205E-1,-1.783015877E-1,-3.941922486E-1
2.457991833E0,1.039010510E-1,-5.158706009E-2,-4.077128768E-1
2.468020833E0,4.314526021E-1,6.791094691E-2,-2.277265787E-1
2.478049833E0,5.251242518E-1,1.329511851E-1,5.640262365E-2
2.488078833E0,2.679477930E-1,-6.305722892E-2,2.525944114E-1
2.498108833E0,-7.442713529E-2,-1.928136349E-1,4.924208522E-1
2.508137833E0,-5.587655902E-1,-4.646070004E-1,7.194906473E-1
2.518166833E0,-1.172713637E0,-7.403666377E-1,1.036918402E0
2.528195833E0,-1.790771604E0,-1.118884683E0,1.384858966E0
2.538224833E0,-2.217216730E0,-1.586600542E0,1.688318253E0
2.548254833E0,-2.291883230E0,-1.919558167E0,2.008216143E0
2.558283833E0,-2.069938898E0,-2.072810888E0,2.246858120E0
2.568312833E0,-1.803427339E0,-1.996188760E0,2.423662901E0
2.578341833E0,-1.526126742E0,-1.744417787E0,2.449986219E0
2.588370833E0,-1.144443870E0,-1.343215227E0,2.351408005E0
2.598399833E0,-9.264710546E-1,-1.057801843E0,2.224992275E0
2.608429833E0,-7.966734767E-1,-9.816225171E-1,2.077897787E0
2.618458833E0,-5.939714909E-1,-9.050379992E-1,1.919024944E0
2.628487833E0,-3.393101692E-1,-1.037449598E0,1.742938042E0
2.638516833E0,9.284391254E-2,-1.410670280E0,1.728906393E0
2.648545833E0,-2.393648960E-2,-1.259022355E0,1.679363966E0
2.658575833E0,-1.457926184E-1,-9.089010954E-1,1.385523558E0
2.668604833E0,-4.159955084E-1,-3.750305772E-1,1.057228327E0
2.678633833E0,-3.867316246E-1,-3.377854824E-1,7.928014994E-1
2.688662833E0,-8.030580729E-2,-5.183430910E-1,3.873493671E-1
2.698691833E0,3.339246809E-1,-3.053892255E-1,1.027879342E-1
2.708721833E0,7.894314528E-1,-2.414608300E-1,-2.762786150E-1
2.718750833E0,1.322950482E0,7.644869387E-2,-4.125485718E-1
2.728779833E0,1.867647648E0,4.982403517E-1,-4.644238949E-1
2.738808833E0,2.009103537E0,9.391205907E-1,-4.468068480E-2
2.748837833E0,1.448801041E0,2.097200394E0,8.543856144E-1
2.758867833E0,9.251763225E-1,3.029072762E0,1.861096740E0
2.768896833E0,1.055980921E0,3.067628384E0,2.415950775E0
2.778925833E0,1.412294507E0,2.921758175E0,2.335327625E0
2.788954833E0,2.234285355E0,1.951862097E0,1.645954490E0
2.798983833E0,2.969467640E0,1.112518907E0,6.166997552E-1
2.809012833E0,3.053984880E0,2.010296881E-1,-1.288188696E-1
2.819042833E0,2.025657415E0,-2.123301923E-1,-4.243908525E-1
2.829071833E0,6.001905203E-1,-8.102551699E-1,-4.270213842E-1
2.839100833E0,-2.779402733E-1,-1.095163584E0,-3.852723241E-1
2.849129833E0,-7.166755795E-1,-1.104153275E0,-3.004993200E-1
2.859158833E0,-1.349372864E0,-1.506672025E0,-2.211440504E-1
2.869188833E0,-1.536302209E0,-1.269177675E0,-1.387512088E-1
