"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.990421891E1,5.058461756E1,8.689007472E0,1.621257647E2,2.934054397E0,6.850065142E1,6.472596771E0,4.447408022E0
5.090420043E1,5.058463400E1,8.689066381E0,1.613577903E2,3.295853238E0,6.402681849E1,6.422144903E0,4.320825434E0
5.190420365E1,5.058464012E1,8.689113803E0,1.619882653E2,2.987221535E0,6.922424298E1,6.480252300E0,4.210135983E0
5.290421581E1,5.058464902E1,8.689165243E0,1.628850500E2,3.115251882E0,7.270608141E1,6.483768563E0,4.299253702E0
5.390419674E1,5.058465437E1,8.689212430E0,1.636930505E2,3.050279543E0,7.674815841E1,6.410520583E0,4.185812464E0
5.490419936E1,5.058466848E1,8.689263886E0,1.642217003E2,3.259886410E0,7.294854619E1,6.486269372E0,4.187957952E0
5.590420234E1,5.058468007E1,8.689285558E0,1.633719574E2,2.660205254E0,6.251349734E1,6.469478318E0,4.178080156E0
5.690418231E1,5.058468568E1,8.689332575E0,1.639002675E2,2.772930235E0,6.862794523E1,6.414217584E0,4.038772203E0
5.790419137E1,5.058468993E1,8.689384454E0,1.646180135E2,3.003229458E0,7.415197570E1,6.304410233E0,3.931393938E0
5.890419519E1,5.058470947E1,8.689425910E0,1.637361511E2,3.331018172E0,6.430247181E1,6.127369856E0,3.779385320E0
5.990417647E1,5.058471380E1,8.689467983E0,1.642262293E2,3.172190088E0,6.987107120E1,6.043982839E0,3.658565768E0
6.090418315E1,5.058472342E1,8.689512167E0,1.642593331E2,3.268390118E0,6.910638805E1,6.042435010E0,3.674610119E0
6.190419340E1,5.058473240E1,8.689530383E0,1.635538355E2,2.638164604E0,6.590823952E1,6.011867484E0,3.668348762E0
6.290417576E1,5.058474304E1,8.689570385E0,1.641807457E2,2.767125056E0,6.775111104E1,5.912152486E0,3.533155921E0
6.390415561E1,5.058475575E1,8.689622829E0,1.640837807E2,3.284753206E0,6.952597194E1,5.829096326E0,3.408887455E0
6.490413666E1,5.058475930E1,8.689660410E0,1.646680885E2,3.119741163E0,7.578219394E1,5.769323947E0,3.317163772E0
6.590411782E1,5.058476878E1,8.689714012E0,1.647558819E2,3.122811862E0,7.193615029E1,5.823758179E0,3.379416064E0
6.690409863E1,5.058477927E1,8.689769564E0,1.649309166E2,3.229775949E0,6.997391259E1,5.916828013E0,3.441708844E0
6.790407908E1,5.058478511E1,8.689819732E0,1.645671255E2,3.136949701E0,7.226834367E1,5.869540228E0,3.325984107E0
6.890406084E1,5.058478969E1,8.689866516E0,1.654612976E2,3.104215860E0,7.701790344E1,5.839124899E0,3.374625664E0
6.990404212E1,5.058479992E1,8.689913521E0,1.656398119E2,2.915663165E0,7.273723854E1,5.826315886E0,3.369629642E0
7.090402341E1,5.058480684E1,8.689957807E0,1.655548692E2,2.499300900E0,6.891221601E1,5.779906249E0,3.350902475E0
7.190400565E1,5.058481496E1,8.689992505E0,1.649525759E2,2.502401747E0,6.405073918E1,5.780648598E0,3.451986576E0
7.290398765E1,5.058482666E1,8.690048001E0,1.662328403E2,2.914075897E0,6.630996768E1,5.793983126E0,3.354180206E0
7.390396917E1,5.058483813E1,8.690099532E0,1.663530681E2,3.294579498E0,6.612248492E1,5.611969907E0,3.253853658E0
7.490395105E1,5.058485768E1,8.690138865E0,1.670953935E2,3.499068930E0,6.314898376E1,5.600664872E0,3.246227604E0
7.590393376E1,5.058487136E1,8.690187453E0,1.673946789E2,3.539859198E0,6.381674529E1,5.530822953E0,3.123510313E0
7.690391612E1,5.058487501E1,8.690231664E0,1.672183999E2,3.210493391E0,6.972231986E1,5.499404906E0,3.146621173E0
7.790389776E1,5.058488248E1,8.690282668E0,1.671795169E2,3.161175592E0,7.057918446E1,5.453599400E0,3.168205120E0
7.890388060E1,5.058488591E1,8.690336517E0,1.666842914E2,3.155169036E0,7.303057214E1,5.630542683E0,3.379380805E0
7.990386295E1,5.058489308E1,8.690379712E0,1.677590493E2,3.027812914E0,7.306701372E1,5.747959096E0,3.394569845E0
8.090384519E1,5.058489993E1,8.690434686E0,1.675517664E2,3.162623681E0,7.313813245E1,5.849749853E0,3.373077164E0
8.190382850E1,5.058491230E1,8.690480199E0,1.677613081E2,3.403125529E0,7.155643834E1,5.895463273E0,3.418333246E0
8.290381110E1,5.058491270E1,8.690519096E0,1.685486334E2,3.039311241E0,7.835118644E1,5.877842803E0,3.299382901E0
8.390379357E1,5.058489043E1,8.690553544E0,1.673494523E2,3.016948034E0,1.062106096E2,5.799912606E0,3.282601674E0
8.490377700E1,5.058491575E1,8.690606001E0,1.674148541E2,3.150884751E0,8.111865609E1,5.755947540E0,3.279971075E0
8.590375984E1,5.058492048E1,8.690639054E0,1.674639954E2,2.913627981E0,7.317209593E1,5.783970337E0,3.252827429E0
8.690374255E1,5.058493158E1,8.690671205E0,1.675077216E2,2.920559947E0,6.866413595E1,5.805149710E0,3.264850460E0
8.790372562E1,5.058493543E1,8.690703754E0,1.669612744E2,2.937045407E0,7.195566669E1,5.671463890E0,3.142272774E0
8.890370822E1,5.058493826E1,8.690743667E0,1.671761522E2,2.917960966E0,7.480952074E1,5.679319726E0,3.138400809E0
8.990369201E1,5.058494010E1,8.690771827E0,1.678933885E2,2.576498618E0,7.681972314E1,5.581275909E0,3.076917901E0
9.090367508E1,5.058495913E1,8.690806583E0,1.696005723E2,2.753119787E0,6.342309311E1,5.529491646E0,3.126505143E0
9.190365791E1,5.058497706E1,8.690832459E0,1.690741426E2,2.888264657E0,5.730494638E1,5.450148122E0,3.102707348E0
9.290364134E1,5.058498942E1,8.690885009E0,1.701487557E2,3.408053528E0,6.564884752E1,5.426704650E0,3.031900845E0
9.390362549E1,5.058498966E1,8.690931123E0,1.696810862E2,3.354350438E0,7.264001740E1,5.416602777E0,3.000000000E0
9.490360808E1,5.058498976E1,8.690966947E0,1.698875178E2,3.007449687E0,7.604215879E1,5.302382469E0,3.002114517E0
9.590359068E1,5.058500336E1,8.690980308E0,1.687131805E2,2.493820492E0,6.342747898E1,5.167221996E0,3.000000000E0
9.690357447E1,5.058500462E1,8.691021084E0,1.686272569E2,2.599594081E0,6.555906447E1,5.152474375E0,3.000000000E0
9.790355742E1,5.058502274E1,8.691052699E0,1.679214811E2,2.788514284E0,5.926653121E1,5.275262618E0,3.000000000E0
9.890354049E1,5.058502021E1,8.691107035E0,1.680995941E2,3.040958546E0,7.178841572E1,5.207088322E0,3.000000000E0
9.990352452E1,5.058502188E1,8.691141791E0,1.675364865E2,2.514771291E0,6.878982930E1,5.196898409E0,3.140653119E0
1.009035082E2,5.058503775E1,8.691165926E0,1.666374514E2,2.320399406E0,5.770273854E1,5.115046378E0,3.092758132E0
1.019034915E2,5.058503975E1,8.691193959E0,1.669720339E2,2.249345225E0,6.493485037E1,5.094241209E0,3.000000000E0
1.029034743E2,5.058503452E1,8.691243700E0,1.674867375E2,2.666986455E0,8.088534384E1,5.108484443E0,3.000000000E0
1.039034580E2,5.058503488E1,8.691288942E0,1.683483635E2,2.879778017E0,8.574136849E1,5.225821926E0,3.000000000E0
1.049034415E2,5.058505631E1,8.691319205E0,1.690485363E2,2.797099388E0,6.804194861E1,5.305951791E0,3.099944637E0
1.059034244E2,5.058505823E1,8.691351558E0,1.701114803E2,2.683736952E0,6.925914025E1,5.342486196E0,3.000000000E0
1.069034089E2,5.058506853E1,8.691400737E0,1.707936968E2,3.220692130E0,6.778846817E1,5.451744917E0,3.000000000E0
1.079033918E2,5.058506451E1,8.691450619E0,1.705076087E2,3.328803797E0,7.650991531E1,5.514973042E0,3.000000000E0
1.089033757E2,5.058507084E1,8.691481020E0,1.712727129E2,2.904883549E0,7.127113112E1,5.610869532E0,3.000000000E0
1.099033593E2,5.058508062E1,8.691507626E0,1.706815476E2,2.410159412E0,6.741089712E1,5.744361486E0,3.086330255E0
1.109033422E2,5.058510537E1,8.691532806E0,1.713943524E2,1.937874747E0,4.299724431E1,5.890405568E0,3.259323456E0
1.119033267E2,5.058512992E1,8.691541108E0,1.718053079E2,2.105743879E0,2.793362625E1,5.886084820E0,3.371840680E0
1.129033107E2,5.058514914E1,8.691590998E0,1.714725358E2,2.570508297E0,4.699478136E1,5.855188477E0,3.530385145E0
1.139032934E2,5.058516703E1,8.691622293E0,1.719383490E2,2.782779424E0,5.583703254E1,6.058815332E0,3.809743481E0
1.149032772E2,5.058517298E1,8.691675198E0,1.710880103E2,3.069021469E0,6.273992719E1,6.233300540E0,3.958266354E0
1.159032606E2,5.058516669E1,8.691728687E0,1.712019719E2,2.991203868E0,7.585732605E1,6.150320199E0,4.027443130E0
1.169032446E2,5.058516800E1,8.691767643E0,1.715929954E2,2.656360061E0,7.811646015E1,6.089877859E0,4.178066624E0
1.179032276E2,5.058516460E1,8.691787539E0,1.722027606E2,1.914677055E0,7.875289078E1,5.991718734E0,4.273966213E0
1.189032121E2,5.058514596E1,8.691827614E0,1.713379225E2,2.241432220E0,1.042544537E2,5.999480887E0,4.144198892E0
1.199031955E2,5.058514044E1,8.691855765E0,1.710642632E2,2.210576796E0,1.001254838E2,5.895218885E0,4.186159373E0
1.209031792E2,5.058513939E1,8.691903977E0,1.722662772E2,2.877504957E0,9.367315437E1,5.774436829E0,4.076369786E0
1.219031627E2,5.058515278E1,8.691922515E0,1.720168763E2,2.371978550E0,7.764659992E1,5.780700253E0,4.112040607E0
1.229031467E2,5.058515959E1,8.691942665E0,1.712446781E2,1.960308544E0,7.366605750E1,5.911509637E0,4.344936959E0
1.239031304E2,5.058517072E1,8.691982351E0,1.713389576E2,2.350611629E0,7.223568848E1,6.028627746E0,4.480739784E0
1.249031136E2,5.058517687E1,8.692015204E0,1.710424904E2,2.489499388E0,6.844601968E1,6.121711367E0,4.484893292E0
