"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.869841250E-1,-1.249841675E-1,1.923191249E-1,-1.004594326E0
8.970131250E-1,-1.392070502E-1,5.275956392E-1,-1.303005219E0
9.070421250E-1,-2.442063987E-1,7.353165150E-1,-1.512022614E0
9.170711250E-1,-3.904621601E-1,8.919601440E-1,-1.579435706E0
9.271001250E-1,-4.143786728E-1,9.296200275E-1,-1.467515230E0
9.371291250E-1,-3.946726322E-1,7.438219786E-1,-1.253646374E0
9.471581250E-1,-3.623442352E-1,4.974272549E-1,-9.922034144E-1
9.571871250E-1,-3.050330281E-1,2.815852463E-1,-6.840069890E-1
9.672151250E-1,-1.979646236E-1,1.445006877E-1,-2.139933407E-1
9.772441250E-1,-4.866754636E-2,1.303481162E-1,2.005812079E-1
9.872731250E-1,2.436098307E-1,1.123013124E-1,5.726311207E-1
9.973021250E-1,6.484060287E-1,-3.263484836E-1,8.996523619E-1
1.007331125E0,1.005117536E0,-9.599545002E-1,1.145805120E0
1.017360125E0,1.164283037E0,-1.315403223E0,1.168130398E0
1.027389125E0,9.968357086E-1,-1.656062007E0,7.069294453E-1
1.037418125E0,6.370554566E-1,-1.026650548E0,1.689141393E-1
1.047447125E0,2.334946543E-1,-4.326790571E-1,-3.052324057E-1
1.057476125E0,-1.927582175E-2,-4.911812544E-1,-6.879451275E-1
1.067505125E0,-1.889199913E-1,-6.956038475E-1,-8.508031964E-1
1.077534125E0,-3.159426451E-1,-1.049891114E0,-8.824351430E-1
1.087563125E0,-3.567190766E-1,-1.387279630E0,-8.100435734E-1
1.097592125E0,-3.105475903E-1,-1.631863832E0,-7.911157012E-1
1.107621125E0,-1.201678365E-1,-1.704684496E0,-8.703563213E-1
1.117650125E0,1.254083663E-1,-1.575429678E0,-8.905332685E-1
1.127679125E0,3.267028630E-1,-1.560355902E0,-8.652186394E-1
1.137708125E0,4.616833031E-1,-1.738773584E0,-8.541388512E-1
1.147737125E0,5.891193151E-1,-1.885265827E0,-8.744006753E-1
1.157766125E0,7.965385318E-1,-1.965647459E0,-8.105695248E-1
1.167795125E0,1.045079589E0,-2.264159918E0,-5.285924673E-1
1.177824125E0,1.048039675E0,-2.327351332E0,-4.093664885E-1
1.187853125E0,9.202385545E-1,-1.908542991E0,-4.102766216E-1
1.197882125E0,8.058241010E-1,-1.382763147E0,-4.001619220E-1
1.207910125E0,6.608502269E-1,-9.307312965E-1,-3.751874566E-1
1.217939125E0,5.010565519E-1,-3.330412507E-1,-1.574511528E-1
1.227968125E0,4.091737568E-1,2.536221743E-1,2.697716281E-2
1.237997125E0,3.545230329E-1,1.967130750E-1,-3.739250451E-2
1.248026125E0,3.019780517E-1,1.071491241E-1,2.883328311E-2
1.258055125E0,2.584210038E-1,-1.786951348E-2,9.807973355E-2
1.268084125E0,2.279227227E-1,-8.347079903E-2,1.668835878E-1
1.278113167E0,2.274662554E-1,-1.096197963E-2,2.496447712E-1
1.288142167E0,3.302408457E-1,1.213499010E-1,3.266689479E-1
1.298171167E0,4.553990364E-1,1.620043814E-1,4.066892266E-1
1.308200167E0,5.561431646E-1,4.806096852E-2,4.769862592E-1
1.318229167E0,6.251749396E-1,-1.676521599E-1,4.482065439E-1
1.328258167E0,7.295942903E-1,-3.550025821E-1,2.805585563E-1
1.338287167E0,7.662551403E-1,-2.327653468E-1,8.663915843E-2
1.348316167E0,8.101376295E-1,2.531659976E-2,4.398236796E-2
1.358345167E0,8.078464866E-1,3.508158624E-1,2.081209868E-1
1.368374167E0,7.466588020E-1,6.811369658E-1,4.036431313E-1
1.378403167E0,6.857538819E-1,6.219388843E-1,4.284171760E-1
1.388432167E0,6.808121204E-1,3.762294054E-1,3.945653737E-1
