"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.549912083E-1,7.327359319E-1,-4.383903146E-1,-6.337502599E-2
8.650215833E-1,7.612305284E-1,-7.070930600E-1,1.164355725E-1
8.750505833E-1,8.062760234E-1,-8.749215007E-1,2.647946775E-1
8.850795833E-1,9.024388194E-1,-1.010609984E0,2.646982670E-1
8.951095833E-1,9.217374325E-1,-8.876464963E-1,1.571600884E-1
9.051385833E-1,7.625674605E-1,-5.487873554E-1,-6.333356723E-3
9.151675833E-1,5.370499492E-1,-1.983640790E-1,-1.523435563E-1
9.251975833E-1,3.522325158E-1,3.086692840E-2,-2.370493412E-1
9.352265833E-1,2.566863000E-1,8.899843320E-3,-1.659171134E-1
9.452555833E-1,3.358867466E-1,-3.028327525E-1,-4.592124745E-2
9.552855833E-1,5.823055506E-1,-7.066364288E-1,-2.384657413E-2
9.653145833E-1,8.258045316E-1,-9.141681194E-1,-5.625870824E-2
9.753435833E-1,8.985258341E-1,-7.388232350E-1,-6.508788466E-2
9.853735833E-1,7.722913027E-1,-3.329464793E-1,-6.878680736E-2
9.954025833E-1,5.529720187E-1,1.222303808E-1,-5.049168691E-2
1.005431583E0,3.667808771E-1,3.760071993E-1,-4.483665898E-2
1.015461583E0,2.696314156E-1,4.431960881E-1,-6.355042011E-2
1.025490583E0,2.323378175E-1,4.021543860E-1,-9.208323061E-2
1.035519583E0,2.432921976E-1,3.191950321E-1,-1.272055358E-1
1.045549583E0,2.773742080E-1,3.173583448E-1,-1.722909510E-1
1.055578583E0,3.326268196E-1,2.521487176E-1,-2.040653974E-1
1.065607583E0,3.906257451E-1,1.504320502E-1,-1.892995685E-1
1.075637583E0,4.144946039E-1,6.449982524E-2,-2.133063674E-1
1.085666583E0,4.956339002E-1,-4.676939920E-3,-2.071021348E-1
1.095695583E0,5.167719722E-1,2.715076320E-2,-8.166059107E-2
1.105725583E0,4.028932452E-1,1.765389554E-2,-2.566567063E-2
1.115754583E0,2.987929285E-1,3.023173846E-2,-2.828089148E-2
1.125783583E0,2.182063013E-1,3.844859824E-2,-8.996950835E-2
1.135813583E0,2.290477753E-1,6.189293414E-2,-1.825055778E-1
1.145842583E0,2.852236629E-1,9.365937859E-2,-2.174792290E-1
1.155871583E0,2.838657200E-1,7.163210958E-2,-2.144498825E-1
1.165901583E0,2.625016570E-1,2.388655208E-2,-1.989707649E-1
1.175930583E0,2.361986786E-1,6.491583306E-3,-1.976389289E-1
1.185959583E0,2.076351941E-1,1.185987797E-2,-2.122600377E-1
1.195989583E0,2.006020546E-1,2.134312689E-2,-2.337908894E-1
1.206018583E0,2.119116038E-1,2.178234234E-2,-2.313557416E-1
1.216047583E0,2.057573050E-1,-1.782898419E-2,-2.017587125E-1
1.226077583E0,2.027709633E-1,-6.700076163E-2,-1.529943347E-1
1.236106583E0,2.056327909E-1,-8.228916675E-2,-9.162977338E-2
