"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.023392083E-1,9.879455566E-2,2.449206848E0,9.616602173E0
8.123682083E-1,5.242098999E-1,3.427572327E0,9.398805084E0
8.223982083E-1,1.077758789E-2,1.674418030E0,8.587641907E0
8.324272083E-1,-5.553451538E-1,2.212548981E0,9.511371002E0
8.424562083E-1,2.784210205E-2,2.455344086E0,8.561296692E0
8.524852083E-1,3.391946411E-1,1.929038544E0,8.337661743E0
8.625155833E-1,2.794688416E-1,2.089654541E0,8.910819855E0
8.725445833E-1,1.098715210E-1,1.703158264E0,8.954978027E0
8.825735833E-1,-3.626957703E-1,1.403032379E0,8.966504059E0
8.926035833E-1,-1.342707825E-1,2.045795746E0,9.577683105E0
9.026325833E-1,2.673440552E-1,2.659369812E0,9.707612915E0
9.126615833E-1,1.297801208E-1,2.613265686E0,9.940229187E0
9.226915833E-1,4.059558105E-1,2.416874084E0,9.776918793E0
9.327205833E-1,2.314187622E-1,2.212548981E0,9.638456726E0
9.427495833E-1,1.920506287E-1,2.101629639E0,9.654922485E0
9.527795833E-1,1.613644409E-1,1.997446289E0,9.760153656E0
9.628085833E-1,8.921447754E-2,2.064506836E0,9.921667786E0
9.728375833E-1,4.595443726E-1,2.014510803E0,1.024843826E1
9.828675833E-1,9.648934937E-1,2.072290649E0,1.037073395E1
9.928965833E-1,1.129401398E0,2.245779877E0,1.044063858E1
1.002925583E0,1.110540619E0,2.459235992E0,1.022763153E1
1.012955583E0,1.062789917E0,2.716550903E0,1.008033783E1
1.022984583E0,8.973838806E-1,2.819237366E0,9.736053772E0
1.033013583E0,8.731343079E-1,2.652633820E0,9.546996918E0
1.043043583E0,1.000070343E0,2.449655914E0,9.352102203E0
1.053072583E0,1.045426025E0,2.621348877E0,9.057065735E0
1.063101583E0,9.639953613E-1,2.687960358E0,9.150621185E0
1.073131583E0,7.285350037E-1,2.718496857E0,9.171876984E0
1.083160583E0,6.456074524E-1,2.554887085E0,9.178463287E0
1.093189583E0,4.558021545E-1,3.093167725E0,9.121731262E0
1.103219583E0,2.875520325E-1,3.751947784E0,8.910071411E0
1.113248583E0,2.875520325E-1,3.556454315E0,9.197324066E0
1.123277583E0,3.646417236E-1,3.358416138E0,8.857530670E0
1.133307583E0,3.680845642E-1,3.269501038E0,8.774004364E0
1.143336583E0,2.543211365E-1,3.206631775E0,8.676856384E0
1.153365583E0,3.869453430E-1,3.223845978E0,8.547076263E0
1.163395583E0,3.311114502E-1,3.278182983E0,8.610244904E0
1.173424583E0,2.365081787E-1,3.270698547E0,8.559350739E0
1.183453583E0,3.034190369E-1,3.197650452E0,8.440946960E0
1.193483583E0,3.559597778E-1,3.141816559E0,8.448730774E0
1.203512583E0,3.216810608E-1,3.140918427E0,8.465645599E0
1.213541583E0,3.570075989E-1,3.015628967E0,8.378826141E0
1.223571583E0,2.600093079E-1,2.795885925E0,8.205785980E0
1.233600583E0,3.847000122E-2,2.785856781E0,8.093070374E0
1.243629583E0,8.996292114E-2,2.814447327E0,8.092471619E0
1.253659583E0,1.496887207E-4,2.893183594E0,8.119565277E0
1.263686583E0,-2.430944824E-1,3.012934570E0,8.067623291E0
1.273715583E0,-1.312770081E-1,2.973267059E0,8.068970490E0
1.283745583E0,-2.306703186E-1,3.013832703E0,8.382718048E0
1.293774583E0,-8.681945801E-2,3.082689514E0,8.794062653E0
1.303803583E0,1.585203552E-1,3.102897491E0,9.242230682E0
1.313833583E0,2.103126526E-1,2.999612274E0,9.622589722E0
1.323862583E0,2.839595032E-1,2.881208496E0,1.000025436E1
1.333891583E0,4.999603271E-1,3.007396088E0,1.048569489E1
1.343921583E0,7.869136047E-1,3.032693481E0,1.066502197E1
1.353950583E0,8.898994446E-1,3.243904266E0,1.077743820E1
1.363979583E0,9.430389404E-1,3.509452057E0,1.082114731E1
1.374009583E0,9.322613525E-1,3.550167389E0,1.072654404E1
1.384038583E0,8.122109985E-1,3.790417786E0,1.046683411E1
1.394067583E0,7.833210754E-1,3.973337402E0,1.021221359E1
1.404097583E0,9.340576172E-1,4.027375031E0,9.946366425E0
1.414126583E0,9.415420532E-1,4.139641571E0,9.643695831E0
1.424155583E0,9.171427917E-1,4.128414917E0,9.551337891E0
1.434185583E0,8.399034119E-1,3.960913239E0,9.419911194E0
1.444214583E0,7.670050049E-1,3.779640198E0,9.286089478E0
1.454243583E0,4.752616882E-1,4.077221375E0,9.060059509E0
1.464273583E0,4.071533203E-1,3.809428253E0,9.241482239E0
1.474302583E0,3.814068604E-1,3.649261322E0,9.159153442E0
1.484331583E0,4.010160828E-1,3.555705872E0,9.000184021E0
1.494361583E0,2.707868958E-1,3.487597504E0,8.952433319E0
1.504390583E0,1.463955688E-1,3.484603729E0,8.782835999E0
1.514419583E0,7.753875732E-2,3.318598938E0,8.761729889E0
1.524449583E0,-4.340972900E-3,3.199596405E0,8.772657166E0
1.534478583E0,-5.538482666E-2,3.105741577E0,8.762927399E0
1.544507583E0,-3.397933960E-2,3.043471069E0,8.788374481E0
1.554537583E0,2.484832764E-2,3.068618774E0,8.736133118E0
1.564566583E0,1.107696533E-1,3.104095001E0,8.728199615E0
1.574595583E0,1.607656860E-1,3.133583679E0,8.733588409E0
1.584625583E0,2.308200073E-1,3.118016052E0,8.691376190E0
1.594654583E0,2.236349487E-1,3.015928345E0,8.630153503E0
1.604683583E0,8.726852417E-2,2.916385345E0,8.428822174E0
1.614713583E0,-4.415817261E-2,2.929258575E0,8.246651001E0
1.624742583E0,-4.969665527E-2,2.849175110E0,8.008346558E0
1.634771583E0,-2.559677124E-2,2.947670288E0,7.781867523E0
1.644801583E0,-2.733316040E-1,2.986739044E0,7.501650238E0
1.654830583E0,-3.451821899E-1,3.059787140E0,7.067852325E0
1.664859583E0,-5.081932068E-1,3.149300995E0,6.816524963E0
1.674889583E0,-7.997868347E-1,3.303480377E0,6.935976563E0
