"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.698754166E-2,6.277542114E0,-1.873237610E1,-4.260968781E1
5.701754167E-2,6.053253174E0,-1.855204010E1,-4.284040070E1
6.704654166E-2,5.692764282E0,-1.836943817E1,-4.270821381E1
7.707654167E-2,5.312866211E0,-1.839144135E1,-4.312200165E1
8.710654166E-2,4.975296021E0,-1.818076324E1,-4.315113068E1
9.713554167E-2,4.731719971E0,-1.808353424E1,-4.351883698E1
1.071655417E-1,4.389968872E0,-1.780131149E1,-4.327598572E1
1.171945417E-1,3.887924194E0,-1.777292252E1,-4.359020996E1
1.272245417E-1,3.199417114E0,-1.754043961E1,-4.343180847E1
1.372535417E-1,2.708724976E0,-1.745933914E1,-4.379479980E1
1.472835417E-1,2.067108154E0,-1.704966354E1,-4.380686188E1
1.573125417E-1,1.846359253E0,-1.688995743E1,-4.429283905E1
1.673425417E-1,1.314865112E0,-1.653554916E1,-4.408814240E1
1.773725417E-1,1.202758789E0,-1.645610428E1,-4.431922150E1
1.874015417E-1,1.015457153E0,-1.624847794E1,-4.397658539E1
1.974315417E-1,1.136032104E0,-1.625130844E1,-4.418241119E1
2.074605417E-1,1.156631470E0,-1.620187759E1,-4.411113739E1
2.174905417E-1,1.382888794E0,-1.627564621E1,-4.459775543E1
2.275195417E-1,1.328460693E0,-1.614143753E1,-4.415493011E1
2.375495417E-1,1.495803833E0,-1.628116226E1,-4.436139679E1
2.475785417E-1,1.184051514E0,-1.628131485E1,-4.411441803E1
2.576085417E-1,1.291275024E0,-1.660616684E1,-4.420737457E1
2.676385417E-1,9.132385254E-1,-1.656977463E1,-4.413098907E1
2.776675417E-1,9.975280762E-1,-1.688081741E1,-4.415183258E1
2.876975417E-1,9.914398193E-1,-1.690215683E1,-4.387978363E1
2.977265417E-1,1.001144409E0,-1.737997818E1,-4.380644989E1
3.077565417E-1,1.016128540E0,-1.734356308E1,-4.371239471E1
3.177855417E-1,1.216094971E0,-1.753978348E1,-4.383194733E1
3.278155417E-1,1.098876953E0,-1.748958969E1,-4.376393890E1
3.378445417E-1,1.124465942E0,-1.779462051E1,-4.384745026E1
3.478745417E-1,9.436340332E-1,-1.764091110E1,-4.380101776E1
3.579045417E-1,9.436340332E-1,-1.764091110E1,-4.380101776E1
3.679330000E-1,6.777191162E-1,-1.747867203E1,-4.370584869E1
3.779630000E-1,2.562255859E-1,-1.737761307E1,-4.370944977E1
3.879920000E-1,2.430725098E-1,-1.739054871E1,-4.371495819E1
3.980220000E-1,-3.647460938E-1,-1.707775116E1,-4.402683258E1
4.080510000E-1,-8.924102783E-1,-1.682962418E1,-4.400091553E1
4.180810000E-1,-1.621688843E0,-1.620102310E1,-4.414009094E1
