"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.291211808E1,5.058895377E1,8.688823585E0,1.558990527E2,2.782334267E0,3.591989951E1,8.899205783E0,3.000000000E0
4.391210592E1,5.058897490E1,8.688851567E0,1.563579847E2,2.679093973E0,3.587089305E1,8.817998302E0,3.000000000E0
4.491209364E1,5.058899412E1,8.688870889E0,1.559265355E2,2.623150956E0,3.153275321E1,8.667633915E0,3.000000000E0
4.591208184E1,5.058901258E1,8.688888495E0,1.556207489E2,2.616456226E0,2.897487956E1,8.498155318E0,3.000000000E0
4.691206920E1,5.058903519E1,8.688903413E0,1.568039428E2,2.718609727E0,2.675430519E1,8.521116004E0,3.000000000E0
4.791205680E1,5.058905454E1,8.688916628E0,1.562378417E2,2.618093749E0,2.828272994E1,8.378074629E0,3.000000000E0
4.891204429E1,5.058907103E1,8.688944211E0,1.555265511E2,2.586036782E0,3.212863198E1,8.214149336E0,3.000000000E0
4.991203189E1,5.058909332E1,8.688972054E0,1.565478489E2,2.743708851E0,3.138321710E1,8.137584449E0,3.000000000E0
5.091202009E1,5.058911213E1,8.688999429E0,1.564576631E2,2.826787092E0,3.008271979E1,8.132910078E0,3.000000000E0
5.191200829E1,5.058913423E1,8.689017274E0,1.561073267E2,2.824472580E0,2.395802645E1,8.291217189E0,3.000000000E0
5.291199493E1,5.058915189E1,8.689044096E0,1.569982121E2,2.690395709E0,2.654337811E1,8.228117042E0,3.000000000E0
5.391198325E1,5.058916823E1,8.689071715E0,1.565341999E2,2.489526334E0,3.103220894E1,8.225403441E0,3.000000000E0
5.491197157E1,5.058918596E1,8.689090618E0,1.572039213E2,2.357193332E0,3.042921458E1,8.191376483E0,3.000000000E0
5.591195846E1,5.058920174E1,8.689113961E0,1.572094628E2,2.234049681E0,3.460529390E1,8.126306706E0,3.000000000E0
5.691194630E1,5.058921819E1,8.689134392E0,1.562727357E2,2.180824516E0,3.470948466E1,8.040955026E0,3.000000000E0
5.791193497E1,5.058922970E1,8.689167434E0,1.569869444E2,2.337858421E0,4.158686118E1,7.986671024E0,3.000000000E0
5.891192162E1,5.058924744E1,8.689195113E0,1.567108609E2,2.482656564E0,4.171712766E1,8.014447579E0,3.000000000E0
5.991190958E1,5.058926454E1,8.689221012E0,1.574400866E2,2.626492864E0,4.208480112E1,7.841186594E0,3.000000000E0
6.091189742E1,5.058928347E1,8.689247210E0,1.576733478E2,2.775730865E0,4.094544186E1,7.879438364E0,3.000000000E0
6.191188514E1,5.058930027E1,8.689274265E0,1.575936066E2,2.890114438E0,3.976955260E1,7.751447211E0,3.000000000E0
6.291187298E1,5.058931517E1,8.689300035E0,1.570453689E2,2.890610431E0,4.009855410E1,7.633038672E0,3.000000000E0
6.391186047E1,5.058932992E1,8.689322967E0,1.577990660E2,2.761828702E0,4.093765433E1,7.741865762E0,3.000000000E0
6.491184819E1,5.058933910E1,8.689353133E0,1.579630711E2,2.556373308E0,4.447709531E1,7.625336363E0,3.000000000E0
6.591183650E1,5.058935167E1,8.689379760E0,1.569840085E2,2.450582051E0,4.461976476E1,7.446035576E0,3.000000000E0
6.691182363E1,5.058936900E1,8.689400568E0,1.590760129E2,2.395046212E0,4.175619510E1,7.291407233E0,3.000000000E0
6.791181183E1,5.058938851E1,8.689421537E0,1.577923862E2,2.444068950E0,4.033404842E1,7.134277296E0,3.000000000E0
6.891179943E1,5.058941120E1,8.689434418E0,1.577244145E2,2.417391465E0,3.248898112E1,7.037289527E0,3.000000000E0
6.991178703E1,5.058943187E1,8.689446330E0,1.580517228E2,2.339305323E0,2.706219538E1,6.926100510E0,3.000000000E0
7.091177750E1,5.058945379E1,8.689462645E0,1.572352176E2,2.470175355E0,2.515835869E1,6.927542222E0,3.000000000E0
7.191176224E1,5.058947274E1,8.689480631E0,1.584112296E2,2.528904081E0,2.431505580E1,6.840457890E0,3.000000000E0
7.291175056E1,5.058949212E1,8.689504286E0,1.564470025E2,2.723500524E0,2.594068398E1,6.679382454E0,3.000000000E0
7.391173756E1,5.058951108E1,8.689526805E0,1.577189026E2,2.779930626E0,2.612870006E1,6.583955711E0,3.000000000E0
7.491172528E1,5.058953121E1,8.689542179E0,1.571710073E2,2.736796360E0,2.424296567E1,6.619346369E0,3.000000000E0
7.591171396E1,5.058954858E1,8.689560921E0,1.582500883E2,2.578925988E0,2.653368949E1,6.641229908E0,3.000000000E0
7.691170132E1,5.058956303E1,8.689590239E0,1.566851582E2,2.594113834E0,3.335712768E1,6.581903020E0,3.000000000E0
7.791168928E1,5.058958152E1,8.689611977E0,1.578433179E2,2.618890479E0,3.211000939E1,6.667653970E0,3.000000000E0
7.891167665E1,5.058959688E1,8.689634575E0,1.575956456E2,2.550864802E0,3.442878329E1,6.704635382E0,3.000000000E0
7.991166496E1,5.058961658E1,8.689647766E0,1.563074196E2,2.499205761E0,2.965360516E1,6.674608727E0,3.000000000E0
8.091165173E1,5.058963074E1,8.689667181E0,1.572979670E2,2.329607677E0,3.254836237E1,6.573844712E0,3.000000000E0
8.191164005E1,5.058964348E1,8.689691231E0,1.571553366E2,2.249789653E0,4.039583056E1,6.511115242E0,3.000000000E0
8.291162753E1,5.058965356E1,8.689721698E0,1.577457346E2,2.237961167E0,4.747248625E1,6.379296941E0,3.000000000E0
8.391161513E1,5.058966368E1,8.689746962E0,1.576256418E2,2.294486287E0,4.573888055E1,6.385612478E0,3.000000000E0
8.491160321E1,5.058968065E1,8.689767697E0,1.575865451E2,2.382524720E0,3.904983150E1,6.449603524E0,3.000000000E0
8.591159058E1,5.058970470E1,8.689777973E0,1.575103722E2,2.609316200E0,2.905217182E1,6.402998421E0,3.000000000E0
8.691157889E1,5.058972357E1,8.689799712E0,1.570306056E2,2.750084726E0,2.826926848E1,6.380754260E0,3.000000000E0
8.791156709E1,5.058974262E1,8.689823447E0,1.567192461E2,2.832678357E0,2.905864706E1,6.277633251E0,3.000000000E0
8.891155422E1,5.058976057E1,8.689845280E0,1.581586811E2,2.733604299E0,3.077945590E1,6.246743025E0,3.000000000E0
8.991154277E1,5.058977899E1,8.689866345E0,1.566722084E2,2.664891689E0,3.407757198E1,6.219345449E0,3.000000000E0
9.091152930E1,5.058979324E1,8.689889747E0,1.555255748E2,2.454589465E0,3.935891351E1,6.247613781E0,3.000000000E0
9.191151714E1,5.058980988E1,8.689915745E0,1.578968126E2,2.508419791E0,4.064511759E1,6.306709035E0,3.000000000E0
9.291150570E1,5.058982876E1,8.689930839E0,1.569301993E2,2.570661862E0,3.561257602E1,6.280047328E0,3.000000000E0
9.391149294E1,5.058984707E1,8.689947261E0,1.562035150E2,2.553055340E0,3.376587795E1,6.084615868E0,3.000000000E0
9.491148067E1,5.058986537E1,8.689966206E0,1.574977520E2,2.457412095E0,3.357165497E1,6.016918683E0,3.000000000E0
9.591146863E1,5.058988127E1,8.689984474E0,1.573567227E2,2.316196254E0,3.381171391E1,5.980286961E0,3.000000000E0
9.691145599E1,5.058989522E1,8.690004655E0,1.562726932E2,2.184949296E0,3.504657915E1,5.806669373E0,3.000000000E0
9.791144371E1,5.058991349E1,8.690017304E0,1.564190594E2,2.207389806E0,3.238668017E1,5.796776094E0,3.000000000E0
9.891143227E1,5.058993007E1,8.690039715E0,1.569499652E2,2.231530352E0,3.579604869E1,5.737481543E0,3.000000000E0
9.991141891E1,5.058994433E1,8.690065564E0,1.567886602E2,2.239247555E0,3.625878263E1,5.775096665E0,3.000000000E0
1.009114069E2,5.058995437E1,8.690098887E0,1.563154874E2,2.251601557E0,4.144112844E1,5.878642502E0,3.000000000E0
1.019113952E2,5.058996473E1,8.690132041E0,1.567389659E2,2.266468194E0,4.614318925E1,5.899639973E0,3.000000000E0
1.029113820E2,5.058997149E1,8.690165485E0,1.560385242E2,2.260556475E0,5.221567982E1,5.771869775E0,3.000000000E0
1.039113692E2,5.058999141E1,8.690190696E0,1.569675044E2,2.275308780E0,4.212014377E1,5.741040925E0,3.000000000E0
1.049113572E2,5.059000850E1,8.690214498E0,1.569456799E2,2.337859365E0,3.912325799E1,5.760597701E0,3.000000000E0
1.059113452E2,5.059002726E1,8.690234280E0,1.562493148E2,2.388469352E0,3.509428946E1,5.867496963E0,3.000000000E0
1.069113332E2,5.059004216E1,8.690258680E0,1.571181019E2,2.381177958E0,3.629332797E1,5.904927563E0,3.000000000E0
1.079113201E2,5.059005688E1,8.690282754E0,1.569056430E2,2.351800664E0,3.608052296E1,5.982762488E0,3.000000000E0
1.089113085E2,5.059007099E1,8.690311186E0,1.560653111E2,2.441782038E0,3.814065160E1,5.931959641E0,3.000000000E0
1.099112960E2,5.059008732E1,8.690339323E0,1.573834672E2,2.440918316E0,3.820881888E1,5.977193696E0,3.000000000E0
1.109112836E2,5.059010109E1,8.690362355E0,1.572446534E2,2.288045737E0,3.831034636E1,5.965182201E0,3.000000000E0
1.119112715E2,5.059011744E1,8.690385942E0,1.568866152E2,2.381124156E0,4.069187118E1,6.050010683E0,3.000000000E0
1.129112595E2,5.059013060E1,8.690411996E0,1.564821557E2,2.396075854E0,4.603966799E1,6.050239701E0,3.000000000E0
1.139112467E2,5.059014730E1,8.690428521E0,1.569890010E2,2.289533265E0,4.237738747E1,5.949313730E0,3.000000000E0
1.149112353E2,5.059015950E1,8.690454746E0,1.568975344E2,2.177878229E0,4.488515915E1,5.904920623E0,3.000000000E0
1.159112244E2,5.059017737E1,8.690465654E0,1.549543587E2,1.821573431E0,3.371074635E1,5.812051766E0,3.000000000E0
1.169112107E2,5.059019804E1,8.690486522E0,1.564017905E2,2.052009719E0,2.712412357E1,5.728907971E0,3.000000000E0
1.179111981E2,5.059021719E1,8.690509777E0,1.560522343E2,2.187925773E0,2.976479079E1,5.788802042E0,3.000000000E0
1.189111866E2,5.059023090E1,8.690534263E0,1.559075970E2,2.193580910E0,3.406779253E1,5.713799809E0,3.000000000E0
1.199111731E2,5.059025169E1,8.690560012E0,1.577235150E2,2.415255923E0,3.483778995E1,5.650241366E0,3.000000000E0
1.209111611E2,5.059026526E1,8.690582981E0,1.571574966E2,2.359735797E0,3.719977485E1,5.656640380E0,3.000000000E0
1.219111494E2,5.059028077E1,8.690605959E0,1.564501452E2,2.327386583E0,3.849439356E1,5.698787858E0,3.000000000E0
1.229111378E2,5.059029728E1,8.690634709E0,1.569455263E2,2.556078378E0,4.039298020E1,5.751493424E0,3.000000000E0
1.239111242E2,5.059031320E1,8.690665088E0,1.567019231E2,2.583253034E0,4.233561043E1,5.694070583E0,3.000000000E0
1.249111145E2,5.059032632E1,8.690687837E0,1.568211790E2,2.401060761E0,4.439224515E1,5.681410987E0,3.000000000E0
1.259111000E2,5.059034246E1,8.690712515E0,1.566950435E2,2.255197768E0,4.451144429E1,5.771092141E0,3.000000000E0
1.269110876E2,5.059036144E1,8.690732718E0,1.562827577E2,2.312457258E0,4.234881863E1,5.743866532E0,3.000000000E0
1.279110754E2,5.059037845E1,8.690759077E0,1.564982499E2,2.429565858E0,3.954671716E1,5.902724823E0,3.000000000E0
1.289110632E2,5.059040074E1,8.690781960E0,1.574384398E2,2.606013011E0,3.589589051E1,5.888169171E0,3.000000000E0
1.299110509E2,5.059041876E1,8.690811657E0,1.571709181E2,2.698575193E0,3.744944360E1,5.956933830E0,3.000000000E0
1.309110385E2,5.059043523E1,8.690844953E0,1.573401653E2,2.748944674E0,4.067919204E1,6.115678254E0,3.000000000E0
1.319110264E2,5.059045612E1,8.690864187E0,1.577403077E2,2.714918017E0,3.732720188E1,6.199612920E0,3.000000000E0
1.329110137E2,5.059046698E1,8.690901185E0,1.571998637E2,2.685287257E0,4.583944413E1,6.223083788E0,3.000000000E0
1.339110020E2,5.059048125E1,8.690925611E0,1.580482175E2,2.684368369E0,4.813287794E1,6.211479440E0,3.000000000E0
1.349109895E2,5.059049898E1,8.690948965E0,1.576771043E2,2.707623554E0,4.575225911E1,6.269065245E0,3.000000000E0
1.359109778E2,5.059052113E1,8.690971275E0,1.566959171E2,2.672831585E0,4.304403417E1,6.289410723E0,3.000000000E0
1.369109657E2,5.059054675E1,8.690993354E0,1.576941781E2,2.818554811E0,3.655755599E1,6.357320506E0,3.000000000E0
1.379109533E2,5.059056656E1,8.691018612E0,1.580806559E2,2.764920364E0,3.286226859E1,6.532529602E0,3.000000000E0
1.389109411E2,5.059058149E1,8.691038916E0,1.576300991E2,2.510732638E0,2.950668479E1,6.469970151E0,3.000000000E0
1.399109284E2,5.059059595E1,8.691065551E0,1.559475818E2,2.264039491E0,3.129338232E1,6.656157731E0,3.000000000E0
1.409109155E2,5.059061279E1,8.691099664E0,1.587177262E2,2.296372963E0,3.483510278E1,6.860655083E0,3.000000000E0
1.419109038E2,5.059062523E1,8.691125492E0,1.575523833E2,2.338630988E0,3.671326044E1,6.937377240E0,3.000000000E0
1.429108919E2,5.059063862E1,8.691152896E0,1.569374703E2,2.434980691E0,3.850065846E1,6.907006824E0,3.000000000E0
1.439108789E2,5.059065383E1,8.691184409E0,1.590798901E2,2.541039947E0,4.143883523E1,6.821466138E0,3.000000000E0
1.449108665E2,5.059066979E1,8.691207455E0,1.584803646E2,2.454684874E0,3.714742275E1,6.757503794E0,3.000000000E0
1.459108553E2,5.059068686E1,8.691231938E0,1.579985524E2,2.506847454E0,3.597120812E1,6.719014321E0,3.000000000E0
1.469108429E2,5.059070460E1,8.691260945E0,1.588108472E2,2.602986460E0,3.525105158E1,6.755313772E0,3.000000000E0
1.479108309E2,5.059072699E1,8.691279653E0,1.588705035E2,2.761113584E0,3.175494342E1,6.819075449E0,3.000000000E0
1.489108175E2,5.059074435E1,8.691308307E0,1.584966736E2,2.823539486E0,3.570792613E1,6.740712057E0,3.000000000E0
1.499108057E2,5.059076468E1,8.691318103E0,1.587555125E2,2.706311715E0,2.906788910E1,6.695654860E0,3.000000000E0
1.509107939E2,5.059078205E1,8.691322405E0,1.579583164E2,2.485557528E0,2.112912497E1,6.680810324E0,3.000000000E0
1.519107808E2,5.059079526E1,8.691337059E0,1.590066265E2,2.331812409E0,2.202003389E1,6.765994865E0,3.000000000E0
1.529107691E2,5.059081054E1,8.691359305E0,1.588942179E2,2.373633870E0,2.632235923E1,6.817982959E0,3.000000000E0
1.539107567E2,5.059082963E1,8.691381156E0,1.583311555E2,2.476849316E0,2.719441541E1,6.795995975E0,3.000000000E0
1.549107449E2,5.059084866E1,8.691405032E0,1.590304558E2,2.561486195E0,2.708010883E1,6.769332748E0,3.000000000E0
1.559107323E2,5.059086558E1,8.691439453E0,1.588508903E2,2.753195072E0,3.261879025E1,7.007748268E0,3.000000000E0
1.569107202E2,5.059088124E1,8.691472680E0,1.584624295E2,2.868663855E0,3.704750544E1,7.017019748E0,3.000000000E0
1.579107070E2,5.059089985E1,8.691491832E0,1.603293060E2,2.712591210E0,3.256436324E1,7.044821740E0,3.000000000E0
1.589106954E2,5.059091584E1,8.691522560E0,1.600650491E2,2.591977904E0,3.840529477E1,7.151143266E0,3.000000000E0
1.599106828E2,5.059093594E1,8.691544165E0,1.601519450E2,2.473200814E0,3.411944633E1,7.265633523E0,3.000000000E0
1.609106702E2,5.059095490E1,8.691577088E0,1.601284398E2,2.528842307E0,3.488729978E1,7.289090516E0,3.000000000E0
1.619106581E2,5.059097024E1,8.691602366E0,1.589298662E2,2.420802019E0,3.466949715E1,7.119696704E0,3.000000000E0
1.629106460E2,5.059098810E1,8.691616304E0,1.593113268E2,2.319500834E0,2.715569742E1,7.029025414E0,3.000000000E0
1.639106336E2,5.059100869E1,8.691633934E0,1.591477470E2,2.450946038E0,2.581791278E1,6.979188669E0,3.000000000E0
1.649106209E2,5.059102282E1,8.691660097E0,1.585618442E2,2.440071366E0,3.107287888E1,6.947655131E0,3.000000000E0
1.659106121E2,5.059103948E1,8.691696117E0,1.588962377E2,2.620344851E0,3.721572516E1,6.934883720E0,3.000000000E0
1.669105972E2,5.059105983E1,8.691718075E0,1.606484645E2,2.629099765E0,3.575490010E1,6.830144596E0,3.000000000E0
1.679105843E2,5.059107596E1,8.691745984E0,1.601994489E2,2.683770035E0,3.891821859E1,6.666458441E0,3.000000000E0
1.689105728E2,5.059109206E1,8.691775629E0,1.608768976E2,2.768115516E0,4.276194646E1,6.639538957E0,3.000000000E0
1.699105604E2,5.059110926E1,8.691802828E0,1.598519305E2,2.786515124E0,4.269882949E1,6.524037218E0,3.000000000E0
1.709105481E2,5.059112894E1,8.691825584E0,1.610426251E2,2.814814219E0,3.821345338E1,6.341194448E0,3.000000000E0
1.719105401E2,5.059114178E1,8.691855900E0,1.595221242E2,2.758009625E0,4.155548487E1,6.249953926E0,3.000000000E0
1.729105237E2,5.059115930E1,8.691884146E0,1.613045091E2,2.829300594E0,4.097435093E1,6.102178455E0,3.000000000E0
1.739105115E2,5.059117896E1,8.691905193E0,1.600189664E2,2.776405324E0,3.887170334E1,5.961456923E0,3.000000000E0
1.749104986E2,5.059119803E1,8.691918614E0,1.610019302E2,2.599751550E0,3.185428313E1,5.986398667E0,3.000000000E0
1.759104869E2,5.059121132E1,8.691941344E0,1.601385335E2,2.403281354E0,3.322018156E1,6.002212987E0,3.000000000E0
1.769104745E2,5.059123147E1,8.691954281E0,1.601025658E2,2.476761487E0,2.906048396E1,6.061593596E0,3.000000000E0
1.779104613E2,5.059124660E1,8.691974598E0,1.603007745E2,2.539811045E0,3.098912857E1,6.081650361E0,3.000000000E0
1.789104499E2,5.059125838E1,8.692004241E0,1.591806083E2,2.675707744E0,3.781616683E1,6.342425813E0,3.000000000E0
1.799104375E2,5.059126791E1,8.692039532E0,1.604124798E2,2.709550619E0,4.481507005E1,6.452347766E0,3.000000000E0
1.809104251E2,5.059128035E1,8.692067368E0,1.596174862E2,2.663210900E0,4.470369140E1,6.534506603E0,3.000000000E0
1.819104128E2,5.059129051E1,8.692096729E0,1.592374812E2,2.504010938E0,4.711953332E1,6.573137163E0,3.000000000E0
1.829104007E2,5.059130450E1,8.692122157E0,1.595968872E2,2.550621840E0,4.497780756E1,6.674727826E0,3.000000000E0
1.839103889E2,5.059132565E1,8.692130029E0,1.584033137E2,2.591793117E0,3.549531526E1,6.754041000E0,3.000000000E0
1.849103763E2,5.059133536E1,8.692163190E0,1.594299647E2,2.746158723E0,4.086506652E1,6.750581745E0,3.000000000E0
1.859103639E2,5.059134802E1,8.692187226E0,1.593772855E2,2.772615699E0,4.270094164E1,6.657590406E0,3.000000000E0
1.869103559E2,5.059135876E1,8.692220039E0,1.593641582E2,2.853144879E0,4.687753553E1,6.504980439E0,3.000000000E0
1.879103404E2,5.059136859E1,8.692245925E0,1.588441640E2,2.900417784E0,5.248293260E1,6.458583465E0,3.000000000E0
1.889103279E2,5.059136951E1,8.692279789E0,1.583082924E2,2.842308557E0,6.266718092E1,6.460193454E0,3.000000000E0
1.899103143E2,5.059138603E1,8.692296006E0,1.579305391E2,2.715633733E0,5.709793894E1,6.376626506E0,3.000000000E0
1.909103019E2,5.059139741E1,8.692324494E0,1.591132947E2,2.788956674E0,5.835519420E1,6.402263949E0,3.000000000E0
1.919102905E2,5.059141179E1,8.692354144E0,1.585240819E2,2.788569790E0,5.542006718E1,6.424497565E0,3.000000000E0
1.929102781E2,5.059142305E1,8.692379643E0,1.594982466E2,2.721357305E0,5.286180666E1,6.356611910E0,3.000000000E0
1.939102660E2,5.059143618E1,8.692404584E0,1.589606818E2,2.625307319E0,5.173690363E1,6.379100524E0,3.000000000E0
1.949102534E2,5.059144863E1,8.692430375E0,1.579647330E2,2.564220928E0,5.158303054E1,6.470237388E0,3.000000000E0
1.959102412E2,5.059145464E1,8.692474144E0,1.595841578E2,2.620435931E0,5.597925258E1,6.411471643E0,3.000000000E0
1.969102285E2,5.059146584E1,8.692508682E0,1.581465411E2,2.539506205E0,5.235832932E1,6.285515519E0,3.000000000E0
1.979102161E2,5.059147630E1,8.692538615E0,1.586750268E2,2.520955617E0,4.910451947E1,6.162488133E0,3.000000000E0
1.989102038E2,5.059148638E1,8.692570087E0,1.593490890E2,2.438658192E0,4.432707055E1,6.295824139E0,3.000000000E0
1.999101928E2,5.059149876E1,8.692594738E0,1.589597794E2,2.393920411E0,3.880629040E1,6.350960290E0,3.000000000E0
2.009101803E2,5.059151304E1,8.692622473E0,1.589123713E2,2.441875271E0,4.161150905E1,6.482305020E0,3.000000000E0
2.019101678E2,5.059152335E1,8.692651425E0,1.585881475E2,2.570433391E0,4.828095779E1,6.591546851E0,3.000000000E0
2.029101547E2,5.059153324E1,8.692689026E0,1.576707509E2,2.720463960E0,5.656883316E1,6.563572518E0,3.000000000E0
2.039101439E2,5.059154371E1,8.692719189E0,1.588385739E2,2.769309934E0,5.841938224E1,6.662643231E0,3.000000000E0
2.049101311E2,5.059155211E1,8.692744922E0,1.588955219E2,2.713578924E0,5.873848087E1,6.820781709E0,3.000000000E0
2.059101188E2,5.059155924E1,8.692771519E0,1.587322988E2,2.619738133E0,5.840027009E1,6.734406123E0,3.000000000E0
2.069101064E2,5.059156747E1,8.692802074E0,1.594176723E2,2.618289790E0,5.775589598E1,6.735920220E0,3.000000000E0
2.079100941E2,5.059157666E1,8.692837667E0,1.581843924E2,2.704320577E0,5.772991338E1,6.675479163E0,3.000000000E0
2.089100813E2,5.059158715E1,8.692860219E0,1.589663752E2,2.411894805E0,5.112356243E1,6.885340049E0,3.000000000E0
2.099100689E2,5.059159583E1,8.692878477E0,1.586534243E2,2.087690646E0,4.713899741E1,6.738156761E0,3.000000000E0
2.109100575E2,5.059161292E1,8.692899903E0,1.580589662E2,2.306951549E0,4.006631703E1,6.696529904E0,3.000000000E0
2.119100484E2,5.059163043E1,8.692927042E0,1.583475098E2,2.529837688E0,3.843343398E1,6.710153704E0,3.000000000E0
2.129100326E2,5.059164104E1,8.692957301E0,1.582010693E2,2.560717947E0,4.331960275E1,6.657659912E0,3.000000000E0
2.139100196E2,5.059165387E1,8.692985676E0,1.582308051E2,2.578001077E0,4.446866551E1,6.536573702E0,3.000000000E0
2.149100082E2,5.059166986E1,8.693009224E0,1.581580547E2,2.558330631E0,3.950927171E1,6.445129395E0,3.000000000E0
2.159099963E2,5.059169095E1,8.693016578E0,1.578431438E2,2.410535213E0,2.794841833E1,6.481135868E0,3.000000000E0
