"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.697710000E-1,4.033438265E-1,1.506415904E-1,5.449551344E-1
8.797990000E-1,3.565036058E-1,-1.642950475E-1,5.186055899E-1
8.898280000E-1,3.198392689E-1,-4.374381900E-1,4.209347665E-1
8.998560000E-1,2.656979859E-1,-5.385720134E-1,3.016014397E-1
9.098840000E-1,1.904054582E-1,-4.850542545E-1,2.813802958E-1
9.199130000E-1,7.140156627E-2,-3.339542150E-1,3.315561116E-1
9.299410000E-1,-6.667649001E-2,-1.979711801E-1,3.874635696E-1
9.399700000E-1,-1.539197862E-1,-1.749478877E-1,4.553810954E-1
9.499980000E-1,-1.200648919E-1,-2.418002635E-1,4.816729128E-1
9.600260000E-1,-1.929593459E-2,-2.905861735E-1,4.377360642E-1
9.700550000E-1,9.139747918E-2,-2.227900177E-1,5.030168295E-1
9.800830000E-1,8.083511889E-2,-2.308348864E-1,5.079306364E-1
9.901120000E-1,4.403341562E-2,-1.092955936E-3,4.255169630E-1
1.000140000E0,-2.098712698E-2,1.360582840E-2,3.438710868E-1
1.010168000E0,-3.198337927E-2,1.148309279E-2,1.738474965E-1
1.020197000E0,4.406185448E-2,-3.399983747E-3,-8.986961842E-2
1.030225000E0,7.658727467E-2,8.357591927E-2,-2.864027321E-1
1.040254000E0,1.009184495E-1,1.568821073E-2,-4.112232327E-1
1.050282000E0,2.453148812E-1,6.905315444E-3,-3.841047883E-1
1.060311000E0,2.528031170E-1,1.337652653E-1,-1.464839727E-1
1.070339000E0,1.261559278E-1,2.232725769E-1,3.643851727E-2
1.080367000E0,9.286960959E-2,3.037573099E-1,2.225010693E-1
1.090396000E0,8.932406455E-2,3.317866027E-1,3.134709299E-1
1.100424000E0,1.732770354E-1,2.385823429E-1,2.846187949E-1
1.110453000E0,3.109466136E-1,3.785480559E-2,1.579816937E-1
1.120481000E0,4.354134500E-1,-1.508496106E-1,8.190211654E-2
1.130509000E0,3.936025798E-1,-3.558688164E-1,-5.206947029E-2
1.140538000E0,3.016990125E-1,-3.504732549E-1,-3.955181688E-2
1.150566000E0,1.868037283E-1,-2.750088871E-1,3.924893215E-2
1.160595000E0,5.982713401E-2,-1.657785475E-1,6.825262308E-2
1.170623000E0,-2.417132258E-2,-1.160756797E-1,5.281408876E-2
1.180652000E0,-2.133771963E-2,-1.466737986E-1,5.611827224E-2
1.190680000E0,1.917362213E-2,-2.689190507E-1,8.292955160E-2
1.200708000E0,9.731183946E-2,-3.867514133E-1,9.123434871E-2
1.210737000E0,1.843145639E-1,-4.293741882E-1,7.546048611E-2
1.220765000E0,2.269349992E-1,-3.970095813E-1,6.788485497E-2
1.230794000E0,1.893249601E-1,-2.649221718E-1,4.202798009E-2
1.240822000E0,8.782363683E-2,-1.202611178E-1,3.188174451E-3
1.250850000E0,1.463810913E-3,-2.558863722E-2,-1.905559562E-2
1.260879000E0,-3.631366044E-2,1.154027879E-3,-6.449817866E-2
1.270907000E0,-3.666336834E-2,-3.646393120E-2,-1.419458985E-1
1.280936000E0,-2.343118563E-2,-1.049412638E-1,-2.108376175E-1
1.290964000E0,-4.286662675E-3,-3.737691045E-2,-1.892949641E-1
1.300993000E0,-1.799102314E-2,6.805470586E-2,-8.049951494E-2
1.311021000E0,1.438494306E-2,1.296492517E-1,7.419473678E-2
1.321049000E0,9.201875329E-2,2.134890258E-1,1.904030889E-1
1.331078000E0,1.178364754E-1,2.130340487E-1,2.053361833E-1
1.341106000E0,1.243894547E-1,1.314867288E-1,1.272632182E-1
