"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.229675417E-1,-8.752299500E-1,5.990542603E-1,6.867718506E0
9.329975417E-1,-8.761280823E-1,5.333409119E-1,6.855893097E0
9.430265417E-1,-9.982740784E-1,2.941383362E-1,7.688910828E0
9.530565417E-1,-9.557624817E-1,2.200424194E-1,8.012388153E0
9.630855417E-1,-7.686515808E-1,6.096821594E-1,7.960595856E0
9.731155417E-1,-6.021977234E-1,1.069675598E0,8.111931152E0
9.831445417E-1,-6.090834045E-1,1.308279419E0,8.341403961E0
9.931745417E-1,-9.267228699E-1,1.290466461E0,8.896898804E0
1.003203542E0,-1.299298096E0,1.065484314E0,8.916657715E0
1.013233542E0,-1.322948914E0,9.500743103E-1,8.088280334E0
1.023262542E0,-1.166224823E0,1.188977509E0,7.294630737E0
1.033292542E0,-1.087488556E0,1.333726501E0,7.038064270E0
1.043321542E0,-1.090632019E0,1.312470703E0,7.187752991E0
1.053351542E0,-1.385967865E0,1.413809967E0,7.721093903E0
1.063380542E0,-1.693877563E0,1.584305420E0,8.483907623E0
1.073410542E0,-1.772763519E0,1.637594604E0,8.997339935E0
1.083439542E0,-1.762884064E0,1.618584137E0,9.235195312E0
1.093469542E0,-1.856589203E0,1.506018219E0,9.303004303E0
1.103498542E0,-1.978735199E0,1.241667938E0,8.964558105E0
1.113528542E0,-1.798509979E0,1.077309723E0,8.309819641E0
1.123557542E0,-1.436113586E0,1.446442108E0,8.153843994E0
1.133587542E0,-1.284179535E0,2.136207733E0,8.537645874E0
1.143616542E0,-1.249900818E0,2.385439453E0,8.879385223E0
1.153646542E0,-1.202898560E0,2.386636963E0,9.237889709E0
1.163675542E0,-1.253044281E0,2.384691010E0,9.580078125E0
1.173705542E0,-1.404529266E0,2.459685059E0,9.877210236E0
1.183734542E0,-1.463057556E0,2.585273895E0,9.967322845E0
1.193764542E0,-1.387165375E0,2.503693542E0,9.797126770E0
1.203793542E0,-1.508862305E0,2.299667816E0,9.647438049E0
1.213823542E0,-1.698966980E0,2.199226685E0,9.754764862E0
1.223852542E0,-1.770218811E0,2.239942017E0,1.015742752E1
1.233882542E0,-1.674418030E0,2.189197540E0,1.033226395E1
1.243911542E0,-1.432071991E0,2.158960419E0,1.009680359E1
1.253941542E0,-1.256936188E0,2.353406067E0,9.591454468E0
1.263970542E0,-1.150507507E0,2.532583466E0,9.330547028E0
1.274000542E0,-1.434616699E0,2.593207397E0,9.418713684E0
1.284029542E0,-1.834135895E0,2.209405518E0,9.249266052E0
1.294059542E0,-1.797462158E0,1.952240295E0,9.099727020E0
1.304088542E0,-1.522933044E0,1.974992981E0,8.782237244E0
1.314118542E0,-1.444645844E0,2.067500610E0,8.532556458E0
1.324147542E0,-1.498084717E0,2.134860535E0,8.763975220E0
1.334177542E0,-1.499431915E0,2.393522644E0,9.363179169E0
1.344206542E0,-1.499431915E0,2.647694092E0,9.670490112E0
1.354236542E0,-1.486259308E0,2.786156158E0,9.862091675E0
1.364265542E0,-1.430275726E0,2.726729736E0,1.013706985E1
1.374295542E0,-1.140178986E0,2.392624512E0,1.005758514E1
1.384324542E0,-8.931925964E-1,2.189496918E0,9.944121094E0
1.394354542E0,-1.065933380E0,1.923350372E0,9.623487854E0
1.404383542E0,-1.347647552E0,1.758842468E0,9.069190521E0
1.414413542E0,-1.463356934E0,1.807491302E0,9.038354645E0
1.424442542E0,-1.535955963E0,1.840273132E0,9.085207214E0
1.434472542E0,-1.540596313E0,1.748963013E0,8.924291840E0
1.444501542E0,-1.394799500E0,1.566941528E0,8.893156586E0
1.454531542E0,-1.240320740E0,1.550475769E0,9.089847565E0
1.464560542E0,-1.126707001E0,1.610201569E0,9.397308197E0
1.474590542E0,-1.112935638E0,1.678759003E0,9.679471436E0
1.484619542E0,-1.224902802E0,1.735491028E0,9.879754944E0
1.494649542E0,-1.293609924E0,1.698368225E0,9.896220703E0
1.504678542E0,-1.266965332E0,1.524130554E0,9.838889923E0
1.514708542E0,-1.088835754E0,1.394200745E0,9.835147705E0
1.524737542E0,-8.535250854E-1,1.361718292E0,9.800120544E0
1.534767542E0,-7.110214233E-1,1.350641327E0,9.705666962E0
1.544796542E0,-6.707551575E-1,1.403331757E0,9.540709991E0
1.554826542E0,-7.068301392E-1,1.515897675E0,9.581125946E0
1.564851833E0,-8.244854736E-1,1.637893982E0,9.798473969E0
1.574881833E0,-9.871971130E-1,1.728156281E0,9.893825684E0
1.584910833E0,-1.068029022E0,1.785636749E0,9.930798798E0
1.594940833E0,-1.044976959E0,1.845362549E0,1.001731888E1
1.604969833E0,-9.057664490E-1,1.898352356E0,1.004052063E1
1.614999833E0,-7.427554321E-1,1.907034302E0,1.005010071E1
1.625028833E0,-7.836204529E-1,1.815275116E0,1.017898270E1
1.635058833E0,-8.276289368E-1,1.718875580E0,1.035905823E1
1.645087833E0,-8.108638000E-1,1.611698456E0,1.036205200E1
1.655117833E0,-9.086105347E-1,1.538051605E0,1.023062531E1
1.665146833E0,-1.076710968E0,1.518891449E0,1.021071671E1
1.675176833E0,-1.047821045E0,1.508562927E0,1.008243347E1
1.685206833E0,-9.807604980E-1,1.428030396E0,9.685908051E0
1.695235833E0,-7.872129822E-1,1.391656036E0,9.568851471E0
1.705265833E0,-8.264314270E-1,1.529968414E0,9.878407745E0
