"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.278458333E-2,3.303662872E1,-2.450566101E1,-4.246551514E1
2.281358333E-2,3.259257507E1,-2.423071289E1,-4.287554932E1
3.284358334E-2,3.218888092E1,-2.405996704E1,-4.314385986E1
4.287258333E-2,3.146272659E1,-2.326556396E1,-4.412646484E1
5.290258333E-2,3.094021225E1,-2.280241394E1,-4.488909912E1
6.293158334E-2,3.046766663E1,-2.254318237E1,-4.542752075E1
7.296158333E-2,3.018272018E1,-2.260671997E1,-4.579196167E1
8.299158333E-2,3.038331985E1,-2.253410339E1,-4.559933472E1
9.302058334E-2,3.028418350E1,-2.249804688E1,-4.564425659E1
1.030505833E-1,3.032044983E1,-2.243336487E1,-4.560623169E1
1.130795833E-1,3.018389511E1,-2.253410339E1,-4.580535889E1
1.231095833E-1,3.019602966E1,-2.253771973E1,-4.575332642E1
1.331385833E-1,2.983403778E1,-2.260397339E1,-4.532778931E1
1.431685833E-1,3.000521088E1,-2.275338745E1,-4.543499756E1
1.531975833E-1,3.000709915E1,-2.241825867E1,-4.581393433E1
1.632275833E-1,2.984670258E1,-2.239128113E1,-4.615100098E1
1.732565833E-1,2.969688034E1,-2.234274292E1,-4.613891602E1
1.832865833E-1,2.961794281E1,-2.218876648E1,-4.646313477E1
1.933155833E-1,2.983507156E1,-2.205191040E1,-4.623178101E1
2.033455833E-1,2.964210129E1,-2.192481995E1,-4.609658813E1
2.133745833E-1,2.950471115E1,-2.233099365E1,-4.608688354E1
2.234045833E-1,2.944093704E1,-2.208497620E1,-4.611169434E1
2.334335833E-1,2.931101608E1,-2.197760010E1,-4.621389771E1
2.434635833E-1,2.926023102E1,-2.194323730E1,-4.599188232E1
2.534925833E-1,2.934290695E1,-2.199546814E1,-4.610064697E1
2.635225833E-1,2.933622360E1,-2.175126648E1,-4.606362915E1
2.735515833E-1,2.928750229E1,-2.172758484E1,-4.595602417E1
2.835815833E-1,2.933975601E1,-2.152911377E1,-4.636138916E1
2.936105833E-1,2.943330765E1,-2.167131042E1,-4.634527588E1
3.036405833E-1,2.945442200E1,-2.160786438E1,-4.605667114E1
3.136695833E-1,2.957221222E1,-2.148027039E1,-4.614022827E1
3.236995833E-1,2.950614929E1,-2.147296143E1,-4.676046753E1
3.337285833E-1,2.950401688E1,-2.163340759E1,-4.672930908E1
3.437585833E-1,2.926700211E1,-2.131375122E1,-4.690231323E1
3.537875833E-1,2.909378815E1,-2.106634521E1,-4.684912109E1
3.638175833E-1,2.885729218E1,-2.097888184E1,-4.707000732E1
3.738465833E-1,2.899392700E1,-2.086245728E1,-4.723757935E1
3.838765833E-1,2.900496674E1,-2.091870117E1,-4.735845947E1
3.939055833E-1,2.884981918E1,-2.077684021E1,-4.755935669E1
4.039355833E-1,2.867934036E1,-2.064802551E1,-4.766708374E1
4.139645833E-1,2.858884811E1,-2.061405945E1,-4.748721313E1
4.239945833E-1,2.837246704E1,-2.064825439E1,-4.788928223E1
4.340235833E-1,2.838143539E1,-2.089662170E1,-4.806045532E1
4.440535833E-1,2.816914749E1,-2.098991394E1,-4.832586670E1
4.540825833E-1,2.789276886E1,-2.058303833E1,-4.805725098E1
4.641125833E-1,2.801852036E1,-2.071801758E1,-4.834136963E1
4.741415833E-1,2.747629929E1,-2.048233032E1,-4.809030151E1
4.841715833E-1,2.741384506E1,-2.019319153E1,-4.856301880E1
4.942005833E-1,2.745429611E1,-2.008618164E1,-4.836083984E1
5.042305833E-1,2.718902206E1,-2.013356018E1,-4.835821533E1
5.142595833E-1,2.719340897E1,-1.990797424E1,-4.907861328E1
5.242895833E-1,2.701609421E1,-1.944633484E1,-4.913049316E1
5.343185833E-1,2.692941666E1,-1.930528259E1,-4.926052856E1
5.443485833E-1,2.688488388E1,-1.903732300E1,-4.946148682E1
5.543775833E-1,2.658002090E1,-1.900827026E1,-4.968414307E1
5.644115417E-1,2.668712997E1,-1.907173157E1,-4.998712158E1
5.744405417E-1,2.644038391E1,-1.883758545E1,-4.984295654E1
