"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.452375417E-1,7.156287879E-2,9.234868288E-1,6.202253103E-1
8.552675417E-1,-2.431227118E-1,7.988445163E-1,5.992313623E-1
8.652965417E-1,-6.116357446E-1,4.562879503E-1,6.004747748E-1
8.753265417E-1,-9.004034400E-1,-3.373599946E-1,5.815735459E-1
8.853555417E-1,-1.128745198E0,-9.135524631E-1,5.835288167E-1
8.953855417E-1,-1.180269003E0,-9.843539000E-1,5.869127512E-1
9.054145417E-1,-1.116058826E0,-8.957779408E-1,5.189976096E-1
9.154445417E-1,-9.384646416E-1,-5.775517821E-1,4.188438356E-1
9.254735417E-1,-6.869245172E-1,-2.238674909E-1,3.384219706E-1
9.355035417E-1,-3.835952580E-1,-1.511533000E-2,2.451908141E-1
9.455325417E-1,-1.063330397E-1,1.867099255E-1,1.135542318E-1
9.555625417E-1,8.230880648E-2,4.115296900E-1,3.897823021E-2
9.655915417E-1,1.989336908E-1,4.667039812E-1,7.883616537E-2
9.756215417E-1,2.614705861E-1,2.884516418E-1,2.114349157E-1
9.856505417E-1,3.320363760E-1,-1.126198769E-1,3.037771285E-1
9.956805417E-1,4.470646083E-1,-4.556296766E-1,2.166945040E-1
1.005709542E0,6.078430414E-1,-5.082233548E-1,2.317857556E-2
1.015739542E0,8.121697307E-1,-3.771812916E-1,-1.198620796E-1
1.025768542E0,9.886568785E-1,-1.923760027E-1,-1.890004128E-1
1.035798542E0,1.046277881E0,2.679341473E-3,-2.323390692E-1
1.045827542E0,9.745547771E-1,1.660187393E-1,-2.663233876E-1
1.055857542E0,7.898333073E-1,2.420892119E-1,-2.988310754E-1
1.065886542E0,5.409417152E-1,1.830077767E-1,-3.084163368E-1
1.075916542E0,2.913841605E-1,-2.765095606E-2,-2.677320540E-1
1.085945542E0,1.046848297E-1,-3.111934662E-1,-1.822448522E-1
1.095975542E0,2.179572545E-2,-4.412841201E-1,-1.265990734E-1
1.106004542E0,1.331142709E-2,-2.513751388E-1,-1.576382220E-1
1.116034542E0,3.502926975E-2,3.378770873E-2,-2.046937644E-1
1.126063542E0,9.391735494E-2,1.668778509E-1,-1.865808070E-1
1.136093542E0,1.540614963E-1,2.102792263E-1,-1.486123651E-1
1.146122542E0,1.672143191E-1,1.708271503E-1,-1.100069284E-1
1.156152542E0,1.612218618E-1,8.309661597E-2,-7.503195107E-2
1.166181542E0,1.552891433E-1,-2.153924666E-2,-5.344969779E-2
1.176211542E0,1.566069424E-1,-9.542916715E-2,-3.497702628E-2
1.186240542E0,1.556426287E-1,-1.715481579E-1,-2.097371733E-3
1.196270542E0,1.548802257E-1,-1.887122095E-1,2.657322586E-2
1.206299542E0,1.312105805E-1,-1.257193983E-1,3.945466876E-2
1.216329542E0,9.804046899E-2,-8.718747646E-2,6.579162925E-2
1.226358542E0,6.689853221E-2,-4.590129107E-2,6.604330242E-2
