beta,acc_thresh,gyro_thresh,score,zupt_ratio
0.05,0.1,0.0349065850398866,2566.60976859723,0
0.05,0.1,0.0523598775598299,2566.60976859723,0
0.05,0.1,0.0698131700797732,2566.60976859723,0
0.05,0.15,0.0349065850398866,2566.60976859723,0
0.05,0.15,0.0523598775598299,2566.60976859723,0
0.05,0.15,0.0698131700797732,2566.60976859723,0
0.05,0.2,0.0349065850398866,2566.60976859723,0
0.05,0.2,0.0523598775598299,2566.60976859723,0
0.05,0.2,0.0698131700797732,2566.60976859723,0
0.1,0.1,0.0349065850398866,3348.96870843309,0
0.1,0.1,0.0523598775598299,3348.96870843309,0
0.1,0.1,0.0698131700797732,3348.96870843309,0
0.1,0.15,0.0349065850398866,3348.96870843309,0
0.1,0.15,0.0523598775598299,3348.96870843309,0
0.1,0.15,0.0698131700797732,3348.96870843309,0
0.1,0.2,0.0349065850398866,3348.96870843309,0
0.1,0.2,0.0523598775598299,3348.96870843309,0
0.1,0.2,0.0698131700797732,3348.96870843309,0
0.2,0.1,0.0349065850398866,3191.50542813358,0
0.2,0.1,0.0523598775598299,3191.50542813358,0
0.2,0.1,0.0698131700797732,3191.50542813358,0
0.2,0.15,0.0349065850398866,3191.50542813358,0
0.2,0.15,0.0523598775598299,3191.50542813358,0
0.2,0.15,0.0698131700797732,3191.50542813358,0
0.2,0.2,0.0349065850398866,3191.50542813358,0
0.2,0.2,0.0523598775598299,3191.50542813358,0
0.2,0.2,0.0698131700797732,3191.50542813358,0
0.3,0.1,0.0349065850398866,3969.66515458761,0
0.3,0.1,0.0523598775598299,3969.66515458761,0
0.3,0.1,0.0698131700797732,3969.66515458761,0
0.3,0.15,0.0349065850398866,3969.66515458761,0
0.3,0.15,0.0523598775598299,3969.66515458761,0
0.3,0.15,0.0698131700797732,3969.66515458761,0
0.3,0.2,0.0349065850398866,3969.66515458761,0
0.3,0.2,0.0523598775598299,3969.66515458761,0
0.3,0.2,0.0698131700797732,3969.66515458761,0
