"Time (s)","X (hPa)"
-4.962324167E-1,9.919731903E2
5.315855833E-1,9.919761658E2
1.559388583E0,9.919762421E2
2.587133583E0,9.919791412E2
3.614929583E0,9.919832611E2
3.813947583E0,9.919926453E2
4.874861583E0,9.919948578E2
5.935715583E0,9.919972992E2
6.996627583E0,9.919972992E2
8.057510583E0,9.919996643E2
9.118427583E0,9.920014954E2
1.017928558E1,9.920098114E2
1.124017758E1,9.920151520E2
1.230107558E1,9.920267487E2
1.336199958E1,9.920418549E2
1.442289058E1,9.920487976E2
1.548381958E1,9.920487976E2
1.654479158E1,9.920430756E2
1.760569958E1,9.920386505E2
1.866656058E1,9.920326233E2
1.972749158E1,9.920168304E2
2.078839858E1,9.920114899E2
2.184927358E1,9.920088959E2
2.291017158E1,9.920082855E2
2.397102458E1,9.920082855E2
2.503186358E1,9.920142365E2
2.609271658E1,9.920172119E2
2.715354758E1,9.920229340E2
2.821445058E1,9.920246887E2
2.927543658E1,9.920283508E2
3.033634158E1,9.920331573E2
3.139723858E1,9.920331573E2
3.245814758E1,9.920302582E2
3.351904158E1,9.920208740E2
3.457996558E1,9.920162201E2
3.564090058E1,9.920034027E2
3.670187958E1,9.919897461E2
3.776284558E1,9.919878387E2
3.882375458E1,9.919897461E2
3.988468758E1,9.919906616E2
4.094560658E1,9.919953156E2
4.200654758E1,9.919984436E2
4.306757958E1,9.919984436E2
4.412864458E1,9.920048523E2
4.518964258E1,9.920185852E2
4.625054358E1,9.920223999E2
4.731143058E1,9.920241547E2
4.837237858E1,9.920337677E2
4.943329658E1,9.920337677E2
5.049419758E1,9.920355988E2
5.155507458E1,9.920378113E2
5.261597058E1,9.920378113E2
5.367689058E1,9.920375061E2
5.473784958E1,9.920369720E2
5.579880658E1,9.920304108E2
5.685976358E1,9.920247650E2
5.792072558E1,9.920189667E2
5.898165058E1,9.920165253E2
6.004255858E1,9.920129395E2
6.110353058E1,9.920111847E2
6.216452458E1,9.920053101E2
6.322550058E1,9.920042419E2
6.428654558E1,9.920042419E2
6.534754158E1,9.920047760E2
6.640854258E1,9.920084381E2
6.746952558E1,9.920098114E2
6.853048958E1,9.920172882E2
6.959147258E1,9.920184326E2
7.065251158E1,9.920220184E2
7.171354558E1,9.920257568E2
7.277456258E1,9.920331573E2
7.383554158E1,9.920336914E2
7.489652658E1,9.920352173E2
7.595752058E1,9.920352936E2
7.701848558E1,9.920377350E2
7.807952758E1,9.920378113E2
7.914054958E1,9.920455933E2
8.020156358E1,9.920481873E2
8.126259658E1,9.920497894E2
8.232372058E1,9.920504761E2
8.338482558E1,9.920518494E2
8.444586258E1,9.920518494E2
8.550687658E1,9.920518494E2
8.656792558E1,9.920490265E2
8.762906358E1,9.920469666E2
8.869012758E1,9.920469666E2
8.975120958E1,9.920481110E2
9.081236458E1,9.920503235E2
9.187347958E1,9.920512390E2
9.293463658E1,9.920540619E2
9.399574758E1,9.920540619E2
9.505683458E1,9.920483398E2
9.611791758E1,9.920481873E2
9.717907558E1,9.920483398E2
9.824025058E1,9.920532990E2
9.930142758E1,9.920606995E2
1.003626236E2,9.920706940E2
1.014237776E2,9.920767975E2
1.024849356E2,9.920802307E2
1.035461716E2,9.920861816E2
1.046072946E2,9.920905304E2
1.056684336E2,9.921045685E2
1.067296116E2,9.921132660E2
1.077908166E2,9.921176147E2
1.088519976E2,9.921199799E2
1.099132436E2,9.921205139E2
1.109744436E2,9.921205139E2
1.120356166E2,9.921156311E2
1.130967686E2,9.921085358E2
1.141579306E2,9.921049500E2
1.152191136E2,9.920913696E2
1.162802636E2,9.920777130E2
1.173414166E2,9.920644379E2
1.184025566E2,9.920634460E2
1.194637126E2,9.920520020E2
1.205248456E2,9.920520020E2
1.215860306E2,9.920520020E2
1.226471896E2,9.920578766E2
1.237083456E2,9.920578766E2
1.247695636E2,9.920575714E2
1.258307966E2,9.920566559E2
1.268920476E2,9.920508575E2
1.279532476E2,9.920504761E2
1.290144576E2,9.920504761E2
1.300756496E2,9.920507050E2
1.311368396E2,9.920507050E2
1.321980256E2,9.920503235E2
1.332591926E2,9.920452118E2
1.343203776E2,9.920427704E2
1.353816436E2,9.920391846E2
1.364428936E2,9.920391846E2
1.375041086E2,9.920424652E2
1.385653536E2,9.920500183E2
1.396266016E2,9.920522308E2
1.406878816E2,9.920540619E2
1.417491536E2,9.920540619E2
1.428104236E2,9.920540619E2
1.438716686E2,9.920561218E2
1.449329436E2,9.920561218E2
1.459942486E2,9.920549011E2
1.470555146E2,9.920542145E2
1.481167426E2,9.920533752E2
1.491779866E2,9.920533752E2
1.502392146E2,9.920574951E2
1.513004576E2,9.920616913E2
1.523617276E2,9.920676422E2
1.534230736E2,9.920689392E2
1.544843616E2,9.920689392E2
1.555456186E2,9.920635986E2
1.566068636E2,9.920597076E2
1.576680966E2,9.920555878E2
1.587293966E2,9.920549774E2
1.597907126E2,9.920549774E2
1.608519826E2,9.920597076E2
1.619132756E2,9.920597076E2
1.629745486E2,9.920585632E2
1.640358616E2,9.920585632E2
1.650971116E2,9.920585632E2
1.661583476E2,9.920608521E2
1.672195636E2,9.920608521E2
1.682808576E2,9.920680237E2
1.693421186E2,9.920696259E2
1.704034196E2,9.920719910E2
1.714647606E2,9.920750427E2
1.725260956E2,9.920761108E2
1.735874046E2,9.920788574E2
1.746487656E2,9.920788574E2
1.757101466E2,9.920822144E2
1.767714646E2,9.920858002E2
1.778327426E2,9.920858002E2
1.788940946E2,9.920858002E2
1.799554186E2,9.920850372E2
1.810167316E2,9.920850372E2
1.820780486E2,9.920854950E2
1.831393406E2,9.920854950E2
1.842006176E2,9.920877075E2
1.852619366E2,9.920861816E2
1.863232806E2,9.920895386E2
1.873845546E2,9.920877075E2
1.884458286E2,9.920895386E2
1.895071346E2,9.920877075E2
1.905684336E2,9.920920563E2
1.916296636E2,9.920905304E2
1.926909696E2,9.920944977E2
1.937522956E2,9.920938110E2
1.948136466E2,9.920998383E2
1.958749706E2,9.920960999E2
1.969362966E2,9.920971680E2
1.979976236E2,9.920960999E2
1.990589556E2,9.920952606E2
2.001203066E2,9.920941162E2
2.011815626E2,9.920941162E2
2.022428296E2,9.920941162E2
2.033041376E2,9.920973969E2
2.043654366E2,9.921031189E2
2.054267276E2,9.921083832E2
2.064880156E2,9.921099091E2
2.075493566E2,9.921138000E2
2.086107226E2,9.921213531E2
2.096721266E2,9.921234131E2
2.107335026E2,9.921234131E2
2.117948986E2,9.921234131E2
2.128563176E2,9.921234894E2
2.139177316E2,9.921234894E2
2.149791456E2,9.921234894E2
2.160405256E2,9.921231842E2
2.171019176E2,9.921249390E2
2.181633556E2,9.921249390E2
2.192247076E2,9.921280670E2
2.202860176E2,9.921316528E2
2.213472916E2,9.921343994E2
2.224086276E2,9.921316528E2
