"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.814984583E-1,-4.224594533E-1,-1.280932546E0,6.188330054E-1
8.915294583E-1,-4.753688276E-1,-1.396852851E0,6.777194142E-1
9.015604584E-1,-8.683640957E-1,-1.615660906E0,7.342934608E-1
9.115914583E-1,-1.245465159E0,-1.373153329E0,7.678381205E-1
9.216214583E-1,-1.632885337E0,-9.594725370E-1,8.252100348E-1
9.316524583E-1,-2.084609032E0,-3.072180450E-1,8.893090487E-1
9.416834583E-1,-2.628669024E0,3.675340116E-1,8.266485929E-1
9.517144584E-1,-3.235879421E0,1.035121083E0,5.469682813E-1
9.617444583E-1,-3.614895344E0,1.806210876E0,1.694359034E-1
9.717754583E-1,-3.530232191E0,2.320300579E0,1.487163268E-2
9.818064584E-1,-2.937173367E0,1.353069663E0,2.861529589E-1
9.918364583E-1,-2.201631308E0,-1.166929007E-1,6.437807679E-1
1.001867458E0,-1.577671051E0,-1.276734948E0,9.252731800E-1
1.011898458E0,-1.193532705E0,-1.998082995E0,1.054352999E0
1.021929458E0,-1.088174105E0,-2.345285892E0,1.064468145E0
1.031959458E0,-1.250828743E0,-2.269764662E0,1.044744253E0
1.041990458E0,-1.588333488E0,-1.733768940E0,8.569493294E-1
1.052021458E0,-1.931213260E0,-1.086342335E0,5.867409110E-1
1.062052458E0,-2.163527727E0,-6.041117311E-1,2.767523825E-1
1.072082458E0,-2.261488438E0,-3.835205436E-1,4.928040504E-2
1.082113458E0,-2.191272497E0,-5.119656324E-1,-1.009642258E-1
1.092144458E0,-1.987018108E0,-9.432294965E-1,-1.675800681E-1
1.102175458E0,-1.758917809E0,-1.442245126E0,-3.811528161E-2
1.112206458E0,-1.648635626E0,-1.776671290E0,3.203327656E-1
1.122236458E0,-1.634196758E0,-1.868777275E0,5.657669902E-1
1.132267458E0,-1.890818715E0,-1.981744409E0,3.218724430E-1
1.142298458E0,-2.464385033E0,-2.416798115E0,6.938587874E-2
1.152328458E0,-3.079061031E0,-2.680364847E0,1.905335486E-1
1.162359458E0,-3.519718170E0,-2.268369436E0,3.084071875E-1
1.172390458E0,-3.639643669E0,-2.027412176E0,3.574320376E-1
1.182421458E0,-3.288374424E0,-1.951761961E0,5.409712791E-1
1.192452458E0,-2.815066338E0,-1.850110054E0,5.792822838E-1
1.202482458E0,-2.590479136E0,-1.543907046E0,5.865737200E-1
