"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.442054167E-2,-4.505780182E0,5.639223175E0,6.817423096E0
3.445054166E-2,-4.198469238E0,5.287754059E0,7.532336426E0
4.447954167E-2,-3.883823547E0,5.096900940E0,7.430847473E0
5.450954166E-2,-3.751798096E0,5.046755219E0,7.078629913E0
6.453854166E-2,-3.842359772E0,5.188660126E0,7.109166412E0
7.456854166E-2,-4.085454254E0,5.453309784E0,7.056026917E0
8.459854167E-2,-4.387526093E0,5.536536713E0,6.886429596E0
9.462754166E-2,-4.395309906E0,5.479954376E0,6.661597137E0
1.046575417E-1,-4.147575073E0,5.549110565E0,6.519093475E0
1.146865417E-1,-3.664529572E0,5.784421234E0,6.694828033E0
1.247165417E-1,-2.932402039E0,5.968388672E0,6.895560608E0
1.347455417E-1,-2.312990112E0,6.005511475E0,7.043003998E0
1.447755417E-1,-1.976040802E0,5.926625519E0,7.320975952E0
1.548045417E-1,-1.929188232E0,5.801036682E0,7.792944489E0
1.648345417E-1,-2.134261780E0,5.674250336E0,8.454418945E0
1.748645417E-1,-2.370919647E0,5.517077179E0,8.988508301E0
1.848935417E-1,-2.581531677E0,5.310357056E0,9.320068817E0
1.949235417E-1,-2.736758881E0,5.077142029E0,9.315278778E0
2.049525417E-1,-2.913241882E0,4.881798248E0,8.765621796E0
2.149825417E-1,-2.815046082E0,4.838837585E0,7.981851654E0
2.250115417E-1,-2.785557404E0,5.300327911E0,7.436086578E0
2.350415417E-1,-2.917283478E0,5.944438477E0,7.144792328E0
2.450705417E-1,-2.823578339E0,6.421047363E0,7.253915405E0
2.551005417E-1,-2.473007355E0,6.489155731E0,7.860903168E0
2.651305417E-1,-2.008972321E0,6.195466461E0,8.222551117E0
2.751595417E-1,-2.098486176E0,5.781277771E0,8.129444733E0
2.851895417E-1,-2.583028564E0,5.588179321E0,7.842042389E0
2.952185417E-1,-2.989283752E0,5.562881927E0,7.337292023E0
3.052485417E-1,-3.154689789E0,5.721551971E0,7.090605011E0
3.152775417E-1,-3.170706482E0,5.971232758E0,6.955885162E0
3.253075417E-1,-3.011287994E0,6.193520508E0,6.870712280E0
3.353365417E-1,-2.776127014E0,6.158493347E0,6.804549866E0
3.453665417E-1,-2.399510193E0,5.986950073E0,6.572981415E0
3.553965417E-1,-2.291434937E0,6.141877899E0,6.141728210E0
3.654250000E-1,-2.456840973E0,6.420598297E0,5.559289398E0
3.754550000E-1,-2.741848297E0,6.518345032E0,5.260810089E0
3.854840000E-1,-2.858156433E0,6.651118927E0,5.311554565E0
3.955140000E-1,-2.629881134E0,6.527026978E0,5.701942749E0
4.055430000E-1,-2.247725830E0,5.698799286E0,6.456673279E0
4.155730000E-1,-1.936672668E0,4.689298553E0,7.266638947E0
4.256020000E-1,-1.746867371E0,4.111350403E0,7.513625336E0
4.356320000E-1,-1.723964996E0,4.066892853E0,7.285200348E0
4.456620000E-1,-1.735191650E0,4.402494965E0,7.293433228E0
