"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.059686983E1,5.058361849E1,8.699390418E0,1.778132501E2,2.313945820E0,1.417956813E2,4.706097551E0,3.417189324E0
4.159685934E1,5.058360302E1,8.699423796E0,1.782289700E2,2.441249123E0,1.323690566E2,4.707544900E0,3.415195170E0
4.259685028E1,5.058359749E1,8.699469936E0,1.785217098E2,2.626400008E0,1.163306591E2,4.709599823E0,3.412360845E0
4.359684157E1,5.058358664E1,8.699502344E0,1.783409630E2,2.472235312E0,1.158847303E2,4.710384554E0,3.411277531E0
4.459683287E1,5.058357139E1,8.699521508E0,1.789046586E2,2.156638356E0,1.279963889E2,4.707070809E0,3.415848566E0
4.559682357E1,5.058356022E1,8.699549164E0,1.787618269E2,2.041601712E0,1.281882935E2,4.704823861E0,3.418942741E0
4.659681606E1,5.058355089E1,8.699576133E0,1.783582292E2,1.994620804E0,1.252763130E2,4.704198650E0,3.419802932E0
4.759680891E1,5.058354674E1,8.699613113E0,1.782465065E2,2.087780474E0,1.143776303E2,4.701891863E0,3.422973845E0
4.859680045E1,5.058354398E1,8.699654271E0,1.782168451E2,2.348118564E0,1.037783944E2,4.703060631E0,3.421367816E0
4.959679401E1,5.058354147E1,8.699684427E0,1.781780421E2,2.238374457E0,9.911617307E1,4.703518311E0,3.420738595E0
5.059678674E1,5.058353317E1,8.699722879E0,1.791618704E2,2.394159754E0,1.037726646E2,4.704277656E0,3.419694250E0
5.159677994E1,5.058353350E1,8.699762632E0,1.793431991E2,2.481362963E0,9.639014221E1,4.708269585E0,3.414196032E0
5.259677446E1,5.058353300E1,8.699794975E0,1.791634883E2,2.308587921E0,9.264909994E1,4.710207548E0,3.411521931E0
5.359676826E1,5.058352877E1,8.699835941E0,1.796261261E2,2.446126990E0,9.587107330E1,4.709865525E0,3.411994105E0
5.459676158E1,5.058353653E1,8.699870738E0,1.792615260E2,2.373506031E0,8.313493650E1,4.712734063E0,3.408030910E0
5.559675622E1,5.058354049E1,8.699908066E0,1.803666690E2,2.395155034E0,8.005917406E1,4.714606710E0,3.405439855E0
5.659679377E1,5.058354345E1,8.699947801E0,1.803263177E2,2.510788041E0,8.076257846E1,4.715721382E0,3.403896133E0
5.759674489E1,5.058355408E1,8.699979547E0,1.806643004E2,2.396504343E0,7.187239630E1,4.716836136E0,3.402351231E0
5.859673905E1,5.058356016E1,8.700006682E0,1.812207898E2,2.178777076E0,7.131253446E1,4.716780967E0,3.402427713E0
5.959673345E1,5.058357647E1,8.700035508E0,1.799534439E2,2.340235661E0,6.057871462E1,4.712692991E0,3.408087705E0
6.059672904E1,5.058359180E1,8.700067263E0,1.805005155E2,2.497508473E0,5.658238736E1,4.716672610E0,3.402577923E0
6.159672391E1,5.058360652E1,8.700100828E0,1.801457208E2,2.588005925E0,5.652043197E1,4.714520278E0,3.405559511E0
6.259671855E1,5.058362565E1,8.700130108E0,1.806542486E2,2.600334331E0,5.050569829E1,4.714954081E0,3.404958891E0
6.359671366E1,5.058364204E1,8.700156008E0,1.809449979E2,2.424337647E0,4.660865849E1,4.716430804E0,3.402913091E0
6.459670937E1,5.058366078E1,8.700184143E0,1.803646527E2,2.520380117E0,4.338288243E1,4.716765590E0,3.402449030E0
6.559670472E1,5.058368471E1,8.700206023E0,1.812170274E2,2.606614656E0,3.662347525E1,4.717797624E0,3.401017879E0
6.659670043E1,5.058370514E1,8.700231549E0,1.811375547E2,2.628976661E0,3.691207684E1,4.719431492E0,3.398750274E0
6.759669518E1,5.058371896E1,8.700265332E0,1.815938420E2,2.538834933E0,4.629531411E1,4.720180555E0,3.397709900E0
6.859669197E1,5.058373643E1,8.700291988E0,1.813511932E2,2.509439907E0,4.535272955E1,4.722745677E0,3.394143530E0
6.959668791E1,5.058375517E1,8.700318789E0,1.811857094E2,2.514319874E0,4.444365848E1,4.722803551E0,3.394063001E0
7.059668219E1,5.058377063E1,8.700349031E0,1.821348910E2,2.499721182E0,4.772015517E1,4.723254675E0,3.393435178E0
7.159667838E1,5.058378860E1,8.700371314E0,1.817770703E2,2.428260986E0,4.386298991E1,4.722495051E0,3.394492234E0
7.259667540E1,5.058380606E1,8.700395887E0,1.815923135E2,2.420828884E0,4.434961524E1,4.723844377E0,3.392614233E0
7.359667063E1,5.058382123E1,8.700422039E0,1.809481086E2,2.408801452E0,4.719741588E1,4.727823456E0,3.387066932E0
7.459666646E1,5.058383569E1,8.700447580E0,1.806631625E2,2.367996874E0,4.753270310E1,4.722635591E0,3.394296702E0
7.559666288E1,5.058385177E1,8.700471892E0,1.802608366E2,2.336695609E0,4.657353072E1,4.718048469E0,3.400669886E0
7.659665859E1,5.058387025E1,8.700493072E0,1.806589694E2,2.329985446E0,4.219115383E1,4.719315068E0,3.398911932E0
7.759665525E1,5.058388539E1,8.700518969E0,1.793920343E2,2.325006543E0,4.500965611E1,4.718253294E0,3.400385696E0
7.859665191E1,5.058390654E1,8.700543293E0,1.802700621E2,2.471088856E0,4.288487299E1,4.713674656E0,3.406729850E0
7.959664810E1,5.058392638E1,8.700570328E0,1.800778218E2,2.477441351E0,4.217456775E1,4.716785029E0,3.402422082E0
8.059664392E1,5.058394538E1,8.700601647E0,1.807546027E2,2.557098621E0,4.484657452E1,4.717482244E0,3.401455323E0
8.159663999E1,5.058396301E1,8.700630536E0,1.809569819E2,2.592063016E0,4.658699049E1,4.718370155E0,3.400223539E0
8.259663653E1,5.058397832E1,8.700655013E0,1.807038907E2,2.487449669E0,4.548349250E1,4.719261635E0,3.398986121E0
8.359663343E1,5.058399750E1,8.700681777E0,1.811259046E2,2.514748200E0,4.308339701E1,4.720007985E0,3.397949625E0
8.459662867E1,5.058401512E1,8.700708375E0,1.811716878E2,2.536384672E0,4.337535792E1,4.721253806E0,3.396218416E0
8.559662592E1,5.058403156E1,8.700734720E0,1.816176393E2,2.483783166E0,4.400411876E1,4.722404209E0,3.394618611E0
8.659662259E1,5.058404868E1,8.700761952E0,1.815891008E2,2.471769464E0,4.386933261E1,4.723183852E0,3.393533753E0
8.759661841E1,5.058406514E1,8.700794480E0,1.823194178E2,2.546274715E0,4.748818497E1,4.723955207E0,3.392459908E0
8.859661508E1,5.058408360E1,8.700819540E0,1.823304314E2,2.510180264E0,4.366672333E1,4.724408664E0,3.391828387E0
8.959661210E1,5.058410181E1,8.700842201E0,1.820944234E2,2.456050921E0,4.046290908E1,4.724823112E0,3.391251037E0
9.059660840E1,5.058411938E1,8.700870176E0,1.829329606E2,2.502100929E0,4.333107741E1,4.725130022E0,3.390823397E0
9.159660506E1,5.058413563E1,8.700894473E0,1.824701609E2,2.449125742E0,4.424616771E1,4.725372651E0,3.390485266E0
9.259660220E1,5.058415364E1,8.700919253E0,1.829282037E2,2.443998639E0,4.242391900E1,4.726052854E0,3.389537056E0
9.359659827E1,5.058416892E1,8.700944521E0,1.827080135E2,2.391974955E0,4.440783057E1,4.727083453E0,3.388099624E0
