beta,acc_thresh,gyro_thresh,score,zupt_ratio
0.05,0.1,0.0349065850398866,1569.72783349683,0
0.05,0.1,0.0523598775598299,1569.72783349683,0
0.05,0.1,0.0698131700797732,1569.72783349683,0
0.05,0.15,0.0349065850398866,1569.72783349683,0
0.05,0.15,0.0523598775598299,1569.72783349683,0
0.05,0.15,0.0698131700797732,1569.72783349683,0
0.05,0.2,0.0349065850398866,1569.72783349683,0
0.05,0.2,0.0523598775598299,1569.72783349683,0
0.05,0.2,0.0698131700797732,1569.72783349683,0
0.1,0.1,0.0349065850398866,1141.05688124612,0
0.1,0.1,0.0523598775598299,1141.05688124612,0
0.1,0.1,0.0698131700797732,1141.05688124612,0
0.1,0.15,0.0349065850398866,1141.05688124612,0
0.1,0.15,0.0523598775598299,1141.05688124612,0
0.1,0.15,0.0698131700797732,1141.05688124612,0
0.1,0.2,0.0349065850398866,1141.05688124612,0
0.1,0.2,0.0523598775598299,1141.05688124612,0
0.1,0.2,0.0698131700797732,1141.05688124612,0
0.2,0.1,0.0349065850398866,372.529293665271,0
0.2,0.1,0.0523598775598299,372.529293665271,0
0.2,0.1,0.0698131700797732,372.529293665271,0
0.2,0.15,0.0349065850398866,372.529293665271,0
0.2,0.15,0.0523598775598299,372.529293665271,0
0.2,0.15,0.0698131700797732,372.529293665271,0
0.2,0.2,0.0349065850398866,372.529293665271,0
0.2,0.2,0.0523598775598299,372.529293665271,0
0.2,0.2,0.0698131700797732,372.529293665271,0
0.3,0.1,0.0349065850398866,497.982346831953,0
0.3,0.1,0.0523598775598299,497.982346831953,0
0.3,0.1,0.0698131700797732,497.982346831953,0
0.3,0.15,0.0349065850398866,497.982346831953,0
0.3,0.15,0.0523598775598299,497.982346831953,0
0.3,0.15,0.0698131700797732,497.982346831953,0
0.3,0.2,0.0349065850398866,497.982346831953,0
0.3,0.2,0.0523598775598299,497.982346831953,0
0.3,0.2,0.0698131700797732,497.982346831953,0
