Run_Name,Distance_m,Elevation_Gain,Elevation_Loss,Min_Pace,Max_Pace,Avg_Pace,GT_Dist,GT_Ele_Gain,GT_Ele_drop
Run1_ELE1,648.652999120285,11.8328775531095,11.7362004613431,2.85311105029093,166.335202864399,6.52788677316842,NaN,13.2,13.2
Run1_ELE2,1463.92294553692,26.6714148650362,26.2986400003243,4.60829354472016,166.198960210542,6.1585664014304,NaN,25.8,25.8
Run2_ELE1,567.251789135424,9.58926648508469,9.90856908307313,4.79243874987832,75.0224632105848,6.58731578857054,NaN,13.2,13.2
Run2_ELE2,1426.87119323971,26.2922324888776,26.2289281763087,5.07028498456169,166.37955000404,8.11343966307719,NaN,25.8,25.8
Run3_ELE1,658.691884552999,11.62740717411,12.0837305287879,5.05451182962928,166.036928385943,6.51037827229871,NaN,13.2,13.2
Run3_ELE2,1521.97553754121,27.280775643161,25.9872355450059,0.129304648494968,85.9770194007593,5.86923581423953,NaN,25.8,25.8
Run1_Dist1200,1236.81838039841,1.15735510489804,1.96204821136882,3.45979190632462,112.266717407293,5.68663390260073,1200,NaN,NaN
Run1_Dist1600,1593.72392371407,0.533322388678471,1.50573903851756,5.80592473825534,13.3395564412795,7.1548360187502,1600,NaN,NaN
Run1_Dist800,803.992382450449,0.430965560116363,0.528944306195513,1.12780595123064,15.8103751263537,6.68393563251768,800,NaN,NaN
Run2_Dist1200,1236.81838039841,1.15735510489804,1.96204821136882,3.45979190632462,112.266717407293,5.68663390260073,1200,NaN,NaN
Run2_Dist800,812.278042002733,0.291052944352657,0.789911907151975,4.72507693729208,166.572265725184,5.63702709732726,800,NaN,NaN
Run2_Dist1600,1611.65961857382,0.467240556617867,1.03242245166996,4.31725566427256,166.504559539199,5.16175990520975,1600,NaN,NaN
