Run_Name,Distance_m,Elevation_Gain,Elevation_Loss,Min_Pace,Max_Pace,Avg_Pace,GT_Dist,GT_Ele_Gain,GT_Ele_drop
Run1_dist,390.460113335017,0,0.228490431717233,0.0319641774665023,26.6453895895545,4.98471743172232,400,NaN,NaN
Run2_dist,385.483517575337,0.537171617090792,0,0.0364788211347429,82.5437181679265,5.09187356616286,400,NaN,NaN
Run3_dist,376.777770353754,0,0,0.101141360848068,90.7391019064094,4.60616346439587,400,NaN,NaN
Run4_dist,376.646820765117,0.626365284049967,0.309528851632052,0.0559385451760396,128.306179027814,6.82469586435991,400,NaN,NaN
Run5_dist,1245.30891576532,0.343764027161328,0,0.0488586817288976,33.4946481057077,7.0705347793875,1200,NaN,NaN
Run6_dist,828.69032885618,0.223325879048289,0,0.0505476855624578,26.5414391822622,6.74337140434578,800,NaN,NaN
Run7_dist,622.770104265157,0.207455754533697,0.238246328379404,0.174123182304497,28.7960828964005,6.1860708688735,600,NaN,NaN
Run8_dist,327.642213987604,0,0,0.076237597543363,26.5141920017524,6.02537335662539,300,NaN,NaN
Run9_dist,208.180244047487,0,0,0.141270953401851,27.386532383707,6.10848869202301,200,NaN,NaN
Run10_dist,411.362669243011,0,0.207748042708403,0.0704882915259989,69.9278469749818,5.39507714061013,400,NaN,NaN
Run1_ELE,2707.40994489821,4.12601339277884,1.2030610269299,0.0592340422768976,166.581650455175,8.31015637007492,NaN,4.1,2.3
Run2_ELE,1409.30057317929,22.7268430424174,5.85764097550035,0.0228907081826749,100.882719516738,7.17720089371348,NaN,23.2,6
Run3_ELE,3227.82523276565,7.16907022290988,23.4692354876986,0.00683944708051496,152.954999759497,3.37606051985545,NaN,6,23.2
Run4_ELE,2671.54798486204,11.1447043204405,8.89841224915273,0.0556540524092754,166.630448418722,8.9384507167043,NaN,10.1,9.2
Run5_ELE,150.11708227772,104.185821933781,1.48901290071163,0.464363977159753,156.121258214512,196.114700738732,NaN,102.8,4.7
Run6_ELE,5394.89237767151,38.2224970165949,32.9878264725771,3.8208420851489,48.1890481261552,5.38215864821366,NaN,58.4,85.2
Run7_ELE,35.9811668194192,1.39735517555786,10.5990527062375,2.20092176931827,22.9846864498392,471.802376092983,NaN,1,10.1
Run8_ELE,3698.99082093842,10.1414139509598,3.71482554837095,0.0388358720191969,47.3787051304177,7.36335971579678,NaN,9.2,3.2
Run9_ELE,6061.29049740049,22.3417453284881,18.1568505786585,0.0322762919429462,162.496901658256,7.10637996179303,NaN,33.3,28.1
Run10_ELE,1428.67757143936,28.0277778351026,16.4287499829059,0.0284300091846698,134.012166674719,7.51907466602884,NaN,26.9,14.9
