Run_Name,Distance_m,Elevation_Gain,Elevation_Loss,Min_Pace,Max_Pace,Avg_Pace,GT_Dist,GT_Ele_Gain,GT_Ele_drop
Run1_ELE1,645.621325427017,11.836616519907,11.7589577597457,0.12474296402498,71.485677959185,6.55854007073376,NaN,13.2,13.2
Run1_ELE2,1484.48074127503,26.6457861201646,26.2939367276658,0.169576582365405,84.138450844432,6.07327964317209,NaN,25.8,25.8
Run2_ELE1,564.118723092664,9.59492410470119,9.92011394870315,0.61481646289975,70.8290017431704,6.62390116424636,NaN,13.2,13.2
Run2_ELE2,1440.1402545365,26.2875022855469,26.2308181862059,0.0762465187597963,151.728540032908,8.03868463287925,NaN,25.8,25.8
Run3_ELE1,666.379701060284,11.6298292234844,12.1034760982839,0.0621491000156442,94.3466407437404,6.43527005175896,NaN,13.2,13.2
Run3_ELE2,1535.09882792864,27.2679728550374,25.9862035884934,0.0831563377488119,98.6285625588471,5.81906074763064,NaN,25.8,25.8
Run1_Dist1200,1204.99543559764,1.15773894890032,1.97723634001483,0.291627976431842,78.2262218591935,5.83681325717637,1200,NaN,NaN
Run1_Dist1600,1608.37694735476,0.531026780995944,1.51624038141347,0.107885999118057,17.8920481941132,7.08965230575282,1600,NaN,NaN
Run1_Dist800,811.292701717604,0.430937850985231,0.530613516343578,0.135344998835885,20.5376351142073,6.62379104601371,800,NaN,NaN
Run2_Dist1200,1204.99543559764,1.15773894890032,1.97723634001483,0.291627976431842,78.2262218591935,5.83681325717637,1200,NaN,NaN
Run2_Dist800,828.108671336221,0.292474531969788,0.800650877271607,0.288819111821188,166.659031899066,5.52926625674021,800,NaN,NaN
Run2_Dist1600,1629.05586322479,0.478561892869152,1.05575495164061,0.0810073506829424,166.220369064192,5.10663887457621,1600,NaN,NaN
