Run_Name,Distance_m,Elevation_Gain,Elevation_Loss,Min_Pace,Max_Pace,Avg_Pace,GT_Dist,GT_Ele_Gain,GT_Ele_drop
Run1_ELE1,638.325183791123,0,33.2958830799674,0.0379421481305126,153.543209866644,6.63350505487642,NaN,13.2,13.2
Run1_ELE2,1532.35569339558,0,156.609016851388,0.0512671898880867,130.682619597407,5.88353389850932,NaN,25.8,25.8
Run2_ELE1,556.794523417691,0,93.0091285770804,0.190170299250253,160.744332918177,6.71103344143982,NaN,13.2,13.2
Run2_ELE2,1470.96606231696,0,229.613377181313,0.0229851671809626,134.604231635329,7.87022462985878,NaN,25.8,25.8
Run3_ELE1,684.16300187083,0,36.7406927917291,0.0187112116567948,155.878936099612,6.26799947031186,NaN,13.2,13.2
Run3_ELE2,1565.69865196712,0,169.097348085466,0.0250903355266159,161.79513952157,5.70533373207562,NaN,25.8,25.8
Run1_Dist1200,1130.74189772917,0,23.8559505715431,0.0889526693063946,161.0759935033,6.22010500137843,1200,NaN,NaN
Run1_Dist1600,1642.56569316131,0,320.38824301372,0.0325585917670875,159.124238410521,6.94208662752918,1600,NaN,NaN
Run1_Dist800,828.326780007606,0,210.163200368716,0.0408812238403431,156.800908845499,6.48757647710483,800,NaN,NaN
Run2_Dist1200,1130.74189772917,0,23.8559505715431,0.0889526693063946,161.0759935033,6.22010500137843,1200,NaN,NaN
Run2_Dist800,864.009379009445,0,45.2162679547479,0.0866891483024715,165.87877259181,5.29951808923973,800,NaN,NaN
Run2_Dist1600,1669.30953446183,0,248.516667704565,0.0244517609635391,166.615287316473,4.98349756486713,1600,NaN,NaN
