"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.757150833E-1,2.335333228E-1,1.008442119E-1,4.387247562E-1
8.857450833E-1,9.476105869E-2,5.148145556E-2,4.074738920E-1
8.957750833E-1,1.142589599E-1,1.238911673E-1,3.874544501E-1
9.058050833E-1,1.527549475E-1,1.140281558E-1,3.826112151E-1
9.158350833E-1,1.557333320E-1,-9.980857372E-2,4.830906987E-1
9.258650833E-1,1.937864423E-1,-2.433042228E-1,5.002553463E-1
9.358950833E-1,2.514153421E-1,-1.937073320E-1,4.551519752E-1
9.459250833E-1,2.503258586E-1,-1.587059349E-1,4.293896258E-1
9.559550833E-1,1.871724427E-1,-2.355549037E-1,4.033809304E-1
9.659840833E-1,1.461781412E-1,-2.239555120E-1,3.669113219E-1
9.760140833E-1,1.325413138E-1,-6.114425138E-2,2.949907482E-1
9.860440833E-1,1.303457916E-1,-4.915068857E-3,2.300839275E-1
9.960740833E-1,1.588346511E-1,-3.199207038E-2,1.248966902E-1
1.006104083E0,2.620020509E-1,8.459739387E-2,1.192166377E-2
1.016134083E0,2.953343391E-1,1.521464884E-1,-4.380137846E-2
1.026164083E0,2.759228349E-1,2.484818548E-2,-3.428457305E-2
1.036194083E0,2.539183497E-1,-4.184798896E-2,-1.983618364E-2
1.046224083E0,2.122169882E-1,-4.487520456E-2,-2.657131478E-2
1.056254083E0,1.920624673E-1,-4.818386957E-2,-1.536060311E-2
1.066284083E0,1.765378416E-1,-1.848536357E-2,-3.027164005E-2
1.076314083E0,1.461511850E-1,2.171240747E-2,-5.014431477E-2
1.086344083E0,1.195920035E-1,4.583931342E-2,-4.981860518E-2
1.096374083E0,1.052896976E-1,6.787826866E-2,-2.733685076E-2
1.106404083E0,8.338413388E-2,7.607787102E-2,-9.182614274E-3
1.116434083E0,9.938398749E-2,1.051737368E-1,-5.721509084E-2
1.126464083E0,9.351465106E-2,1.610785574E-1,-1.116717421E-2
1.136494083E0,1.942593604E-2,1.971421540E-1,-7.210908458E-3
1.146524083E0,3.580128774E-3,1.650902182E-1,-9.879929014E-3
1.156554083E0,1.659681089E-3,1.719149947E-1,-8.379081264E-3
1.166583083E0,1.305480488E-3,1.602956206E-1,-4.914840683E-3
1.176613083E0,2.187028155E-2,1.422660947E-1,1.112554595E-2
1.186643083E0,4.301125556E-2,1.118437424E-1,3.008432128E-2
1.196673083E0,7.037305832E-2,6.997552514E-2,6.843683124E-2
1.206703083E0,8.118762076E-2,2.652658522E-2,9.928075969E-2
1.216733083E0,6.923543662E-2,1.565961540E-2,1.115271971E-1
1.226763083E0,3.786446154E-2,3.377949819E-2,1.290073991E-1
1.236793083E0,9.117153473E-3,5.140237510E-2,1.376300156E-1
1.246823083E0,-1.885509305E-2,4.246906564E-2,1.029684395E-1
1.256853083E0,1.300771162E-2,5.448178947E-2,4.273474216E-2
1.266883083E0,-1.179217733E-2,1.257671416E-1,1.112799868E-1
1.276913083E0,-8.889183402E-2,1.320035607E-1,1.424390525E-1
1.286943083E0,-9.120611846E-2,1.139097735E-1,1.568720639E-1
1.296972917E0,-8.660074323E-2,-2.062838525E-3,2.432946116E-1
1.307002917E0,-1.321298778E-1,-6.071816385E-2,1.633614302E-1
1.317032917E0,-1.352438629E-1,-8.701996505E-2,1.574591696E-1
