id,Run3,distance,angle,Z_1
,Run3,0,200.256462174456,165.127014160156
,Run3,1,200.256462174456,165.172012329102
,Run3,2,200.256462174456,165.18701171875
,Run3,3,200.256462174456,165.20100402832
,Run3,4,200.256462174456,165.231002807617
,Run3,5,200.256462174456,165.226013183594
,Run3,6,200.256462174456,165.218002319336
,Run3,7,200.256462174456,165.250015258789
,Run3,8,200.256462174456,165.258010864258
,Run3,9,200.256462174456,165.301010131836
,Run3,10,200.256462174456,165.300003051758
,Run3,11,200.256462174456,165.233001708984
,Run3,12,200.256462174456,165.255004882812
,Run3,13,200.256462174456,165.238006591797
,Run3,14,200.256462174456,165.304000854492
,Run3,15,200.256462174456,165.324005126953
,Run3,16,200.256462174456,165.371002197266
,Run3,17,200.256462174456,165.383010864258
,Run3,18,200.256462174456,165.40901184082
,Run3,19,200.256462174456,165.43701171875
,Run3,20,200.256462174456,165.457000732422
,Run3,21,200.256462174456,165.464004516602
,Run3,22,200.256462174456,165.500015258789
,Run3,23,200.256462174456,165.545013427734
,Run3,24,200.256462174456,165.529006958008
,Run3,25,200.256462174456,165.558013916016
,Run3,26,200.256462174456,165.558013916016
,Run3,27,200.256462174456,165.653015136719
,Run3,28,200.256462174456,165.645004272461
,Run3,29,200.256462174456,165.641006469727
,Run3,30,200.256462174456,165.776000976562
,Run3,31,200.256462174456,165.743011474609
,Run3,32,200.256462174456,165.742004394531
,Run3,33,200.256462174456,165.82600402832
,Run3,34,200.256462174456,165.789001464844
,Run3,35,200.256462174456,165.895004272461
,Run3,36,200.256462174456,165.844009399414
,Run3,37,200.256462174456,165.843002319336
,Run3,38,200.256462174456,165.920013427734
,Run3,39,200.256462174456,165.917007446289
,Run3,40,200.256462174456,165.933013916016
,Run3,41,200.256462174456,165.980010986328
,Run3,42,200.256462174456,165.980010986328
,Run3,43,200.256462174456,165.985000610352
,Run3,44,200.256462174456,166.040008544922
,Run3,45,200.256462174456,166.021011352539
,Run3,46,200.256462174456,166.06201171875
,Run3,47,200.256462174456,166.073013305664
,Run3,48,200.256462174456,166.113006591797
,Run3,49,200.256462174456,166.153015136719
,Run3,50,200.256462174456,166.144012451172
,Run3,51,200.256462174456,166.168014526367
,Run3,52,200.256462174456,166.189010620117
,Run3,53,200.256462174456,166.226013183594
,Run3,54,200.256462174456,166.279006958008
,Run3,55,200.256462174456,166.291000366211
,Run3,56,200.256462174456,166.296005249023
,Run3,57,200.256462174456,166.328002929688
,Run3,58,200.256462174456,166.328002929688
,Run3,59,200.256462174456,166.34001159668
,Run3,60,200.256462174456,166.379013061523
,Run3,61,200.256462174456,166.394012451172
,Run3,62,200.256462174456,166.397003173828
,Run3,63,200.256462174456,166.427001953125
,Run3,64,200.256462174456,166.461013793945
,Run3,65,200.256462174456,166.476013183594
,Run3,66,200.256462174456,166.496002197266
,Run3,67,200.256462174456,166.510009765625
,Run3,68,200.256462174456,166.540008544922
