"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.218645096E-1,5.058430469E1,8.687468518E0,1.648637066E2,3.778623961E-2,NaN,4.778890831E0,3.314625086E0
1.421852708E0,5.058430281E1,8.687469050E0,1.648757970E2,7.314231892E-2,NaN,4.784603207E0,3.306374024E0
2.421840668E0,5.058430080E1,8.687471043E0,1.645119413E2,9.800912799E-2,NaN,4.787028835E0,3.302861178E0
3.421828508E0,5.058430183E1,8.687466567E0,1.645893072E2,2.128333688E-1,NaN,4.790078744E0,3.298436395E0
4.421817064E0,5.058429910E1,8.687471075E0,1.648125945E2,1.163791204E-1,NaN,4.793002752E0,3.294186038E0
5.421804547E0,5.058430014E1,8.687486897E0,1.646763675E2,5.383890159E-1,6.469532212E1,4.795407236E0,3.290684804E0
6.421792626E0,5.058430451E1,8.687512285E0,1.644709001E2,1.249721006E0,7.738570137E1,4.799633064E0,3.284518150E0
7.421781063E0,5.058431715E1,8.687551069E0,1.644894986E2,2.037608674E0,6.931417477E1,4.802730440E0,3.279987402E0
8.421767712E0,5.058432832E1,8.687585819E0,1.648760369E2,2.312733515E0,6.685898685E1,4.807618003E0,3.272819300E0
9.421755314E0,5.058433618E1,8.687622308E0,1.645718968E2,2.337887533E0,7.369665734E1,4.807133495E0,3.273530906E0
1.042174280E1,5.058435197E1,8.687669248E0,1.646653548E2,2.390394336E0,6.591566503E1,4.803356081E0,3.279071117E0
1.142173064E1,5.058435703E1,8.687692353E0,1.644086966E2,2.214534334E0,7.103597558E1,4.797051827E0,3.288286910E0
1.242171812E1,5.058436324E1,8.687725061E0,1.643752601E2,2.250912672E0,7.571886111E1,4.790962406E0,3.297152750E0
1.342170584E1,5.058438117E1,8.687766384E0,1.648877229E2,2.723313026E0,7.455710296E1,4.785488073E0,3.305093181E0
