beta,acc_thresh,gyro_thresh,score,zupt_ratio
0.05,0.1,0.0349065850398866,252.638348271354,0
0.05,0.1,0.0523598775598299,252.638348271354,0
0.05,0.1,0.0698131700797732,252.638348271354,0
0.05,0.15,0.0349065850398866,252.638348271354,0
0.05,0.15,0.0523598775598299,252.638348271354,0
0.05,0.15,0.0698131700797732,252.638348271354,0
0.05,0.2,0.0349065850398866,252.638348271354,0
0.05,0.2,0.0523598775598299,252.638348271354,0
0.05,0.2,0.0698131700797732,252.638348271354,0
0.1,0.1,0.0349065850398866,551.828724048304,0
0.1,0.1,0.0523598775598299,551.828724048304,0
0.1,0.1,0.0698131700797732,551.828724048304,0
0.1,0.15,0.0349065850398866,551.828724048304,0
0.1,0.15,0.0523598775598299,551.828724048304,0
0.1,0.15,0.0698131700797732,551.828724048304,0
0.1,0.2,0.0349065850398866,551.828724048304,0
0.1,0.2,0.0523598775598299,551.828724048304,0
0.1,0.2,0.0698131700797732,551.828724048304,0
0.2,0.1,0.0349065850398866,569.302004742094,0
0.2,0.1,0.0523598775598299,569.302004742094,0
0.2,0.1,0.0698131700797732,569.302004742094,0
0.2,0.15,0.0349065850398866,569.302004742094,0
0.2,0.15,0.0523598775598299,569.302004742094,0
0.2,0.15,0.0698131700797732,569.302004742094,0
0.2,0.2,0.0349065850398866,569.302004742094,0
0.2,0.2,0.0523598775598299,569.302004742094,0
0.2,0.2,0.0698131700797732,569.302004742094,0
0.3,0.1,0.0349065850398866,550.767773183458,0
0.3,0.1,0.0523598775598299,550.767773183458,0
0.3,0.1,0.0698131700797732,550.767773183458,0
0.3,0.15,0.0349065850398866,550.767773183458,0
0.3,0.15,0.0523598775598299,550.767773183458,0
0.3,0.15,0.0698131700797732,550.767773183458,0
0.3,0.2,0.0349065850398866,550.767773183458,0
0.3,0.2,0.0523598775598299,550.767773183458,0
0.3,0.2,0.0698131700797732,550.767773183458,0
