beta,acc_thresh,gyro_thresh,score,zupt_ratio
0.05,0.1,0.0349065850398866,2398.16343438499,0
0.05,0.1,0.0523598775598299,2398.16343438499,0
0.05,0.1,0.0698131700797732,2398.16343438499,0
0.05,0.15,0.0349065850398866,2398.16343438499,0
0.05,0.15,0.0523598775598299,2398.16343438499,0
0.05,0.15,0.0698131700797732,2398.16343438499,0
0.05,0.2,0.0349065850398866,2398.16343438499,0
0.05,0.2,0.0523598775598299,2398.16343438499,0
0.05,0.2,0.0698131700797732,2398.16343438499,0
0.1,0.1,0.0349065850398866,1907.47146958489,0
0.1,0.1,0.0523598775598299,1907.47146958489,0
0.1,0.1,0.0698131700797732,1907.47146958489,0
0.1,0.15,0.0349065850398866,1907.47146958489,0
0.1,0.15,0.0523598775598299,1907.47146958489,0
0.1,0.15,0.0698131700797732,1907.47146958489,0
0.1,0.2,0.0349065850398866,1907.47146958489,0
0.1,0.2,0.0523598775598299,1907.47146958489,0
0.1,0.2,0.0698131700797732,1907.47146958489,0
0.2,0.1,0.0349065850398866,2655.56782591432,0
0.2,0.1,0.0523598775598299,2655.56782591432,0
0.2,0.1,0.0698131700797732,2655.56782591432,0
0.2,0.15,0.0349065850398866,2655.56782591432,0
0.2,0.15,0.0523598775598299,2655.56782591432,0
0.2,0.15,0.0698131700797732,2655.56782591432,0
0.2,0.2,0.0349065850398866,2655.56782591432,0
0.2,0.2,0.0523598775598299,2655.56782591432,0
0.2,0.2,0.0698131700797732,2655.56782591432,0
0.3,0.1,0.0349065850398866,2795.69180974322,0
0.3,0.1,0.0523598775598299,2795.69180974322,0
0.3,0.1,0.0698131700797732,2795.69180974322,0
0.3,0.15,0.0349065850398866,2795.69180974322,0
0.3,0.15,0.0523598775598299,2795.69180974322,0
0.3,0.15,0.0698131700797732,2795.69180974322,0
0.3,0.2,0.0349065850398866,2795.69180974322,0
0.3,0.2,0.0523598775598299,2795.69180974322,0
0.3,0.2,0.0698131700797732,2795.69180974322,0
