"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.288784584E-1,4.582720184E0,8.607101440E-2,1.277383667E1
9.389034584E-1,8.515042877E0,1.420695648E0,1.312126419E1
9.489284584E-1,7.648195496E0,1.576970673E0,1.333067871E1
9.589544584E-1,2.513123932E0,-4.567002869E-1,1.093251572E1
9.689794583E-1,8.912466431E-1,-1.629212036E0,9.453591156E0
9.790044583E-1,3.817062378E-1,-2.051184540E0,1.107591751E1
9.890294585E-1,3.475772095E-1,-2.744093628E0,1.212224167E1
9.990544585E-1,7.858657837E-2,-4.039499817E0,1.200698135E1
1.009079458E0,-1.959425354E-1,-4.437372437E0,1.197434921E1
1.019104458E0,-6.381230164E-1,-3.669618988E0,1.083102676E1
1.029129458E0,-7.159611511E-1,-3.303031311E0,9.171128540E0
1.039154458E0,-1.115180969E0,-3.135829010E0,7.739056549E0
1.049180458E0,-2.011217651E0,-3.284769287E0,6.959178314E0
1.059205458E0,-3.004552002E0,-3.876788177E0,6.750362549E0
1.069230458E0,-3.551664276E0,-4.153562622E0,6.494394836E0
1.079255458E0,-3.371738434E0,-4.012555847E0,6.158044281E0
1.089280458E0,-2.493215332E0,-3.583398285E0,5.943390656E0
1.099305458E0,-1.685944061E0,-3.284320221E0,5.979765015E0
1.109330458E0,-1.056053925E0,-3.193309479E0,6.487658844E0
1.119355458E0,-1.886077881E-1,-2.885100403E0,6.991810455E0
1.129381459E0,4.923262024E-1,-2.186952209E0,7.048542480E0
1.139406458E0,9.764195251E-1,-1.593137054E0,6.940766602E0
1.149431458E0,1.337468719E0,-1.287322998E0,6.786138153E0
1.159456458E0,1.568438416E0,-1.228345642E0,6.832990723E0
1.169481458E0,2.042053528E0,-1.511706390E0,7.706424408E0
1.179506458E0,2.305206299E0,-1.553170166E0,8.844657440E0
1.189531458E0,2.515668640E0,-1.419498138E0,9.482481079E0
1.199556459E0,2.770738220E0,-1.246008911E0,9.879605255E0
1.209582458E0,3.144960022E0,-1.187330933E0,9.966873779E0
1.219607458E0,3.641477509E0,-1.693129120E0,9.654623108E0
1.229632458E0,3.554208984E0,-1.877845001E0,9.219477997E0
1.239657458E0,3.135379944E0,-1.721420288E0,8.918903046E0
1.249682458E0,2.900518341E0,-1.351988525E0,8.519982605E0
1.259707458E0,3.335364075E0,-1.052760773E0,7.976762238E0
1.269732458E0,4.096980286E0,-8.361611938E-1,7.651638336E0
1.279757458E0,4.749772797E0,-6.415658569E-1,7.620353394E0
1.289782458E0,5.299429779E0,-5.819897461E-1,8.008047180E0
1.299808458E0,5.585634613E0,-7.548802185E-1,8.609346771E0
1.309833458E0,5.713468781E0,-8.065228271E-1,9.380692749E0
1.319858458E0,5.538632355E0,-8.690927124E-1,9.947414246E0
1.329883458E0,4.978796539E0,-1.477577362E0,1.053643936E1
1.339908458E0,4.471950531E0,-2.176174622E0,1.049826874E1
1.349933458E0,4.209396515E0,-2.907104645E0,1.073402847E1
1.359958458E0,4.229754181E0,-2.815794525E0,1.073073532E1
1.369983458E0,4.685107269E0,-2.324965210E0,9.394763489E0
1.380008458E0,5.646408234E0,-2.011816406E0,7.958051147E0
1.390033458E0,6.399192810E0,-1.827848969E0,7.082970886E0
1.400059458E0,6.731651459E0,-1.346000977E0,6.030509491E0
1.410084458E0,6.667584686E0,-5.346881104E-1,4.809498596E0
1.420109459E0,6.824159088E0,-4.796026611E-1,4.114493866E0
1.430134458E0,7.030430145E0,-6.701564026E-1,3.618575134E0
1.440159458E0,7.770640869E0,-2.960842896E-1,3.616030426E0
1.450184458E0,8.579409027E0,4.059558105E-1,4.052373047E0
1.460209458E0,9.185348969E0,6.996450806E-1,3.927981720E0
1.470234458E0,9.759554901E0,7.177574158E-1,3.900888062E0
1.480259458E0,1.034498749E1,7.605683899E-1,3.834426270E0
1.490285459E0,1.082159637E1,5.170248413E-1,3.729494476E0
1.500310458E0,1.142499161E1,2.594105530E-1,3.702999573E0
1.510335458E0,1.224693237E1,9.729766846E-3,3.716022491E0
1.520360458E0,1.270018982E1,1.212478638E-2,4.037853241E0
1.530384708E0,1.281814453E1,-2.275268555E-2,4.256548462E0
1.540409708E0,1.245380219E1,-3.588038635E-1,4.484075317E0
1.550434708E0,1.182930084E1,-9.315129089E-1,4.915328522E0
1.560459708E0,1.059017761E1,-9.352551270E-1,5.386997681E0
1.570484708E0,9.465566254E0,-1.157991943E0,5.722450104E0
1.580510709E0,8.604257355E0,-1.399140472E0,6.040239258E0
1.590535708E0,8.040080566E0,-1.469494171E0,6.260880432E0
1.600560708E0,7.715854797E0,-1.595681763E0,6.220763855E0
1.610585708E0,7.542066193E0,-1.604812775E0,5.901777191E0
1.620610708E0,7.628286896E0,-1.600172424E0,5.606890411E0
1.630635708E0,7.815547485E0,-1.980681152E0,5.034480743E0
1.640660708E0,8.054151306E0,-2.376158752E0,4.930596771E0
1.650685709E0,8.341104584E0,-2.533930664E0,4.873565369E0
1.660710708E0,8.558003540E0,-2.866688690E0,4.466112671E0
1.670736708E0,8.945098572E0,-3.300935669E0,4.062551880E0
1.680761708E0,9.453591156E0,-3.586242371E0,3.757486267E0
1.690786708E0,1.002989273E1,-3.587140503E0,3.354524231E0
1.700811708E0,1.098101486E1,-3.745062103E0,2.753074951E0
1.710836708E0,1.219454132E1,-3.883524170E0,2.380499725E0
1.720861709E0,1.325343933E1,-3.540138245E0,2.426005096E0
1.730886708E0,1.393751678E1,-3.200344849E0,2.827170868E0
1.740911708E0,1.454046295E1,-2.852767639E0,3.848197632E0
1.750936708E0,1.461006821E1,-2.137854309E0,4.852908325E0
1.760961708E0,1.451321960E1,-1.401834869E0,5.721551971E0
1.770987708E0,1.438373886E1,-8.137078857E-1,6.691534882E0
1.781012708E0,1.402987473E1,-4.589456177E-1,7.713908844E0
1.791037708E0,1.366643051E1,-4.239184570E-1,8.708740082E0
1.801062708E0,1.325927719E1,-4.070036316E-1,9.433981934E0
